step,action,eef_pos
0,[ 4.05654979e-04  9.99830771e-01 -1.83919953e-02  1.00000000e+00],[-0.0009682  -0.34544979  0.79104221]
1,[ 0.00139219  0.99999791 -0.00149861  1.        ],[-0.00166632 -0.33742862  0.78655148]
2,[0.00242396 0.99998448 0.00501647 1.        ],[-0.00156944 -0.3288782   0.78673712]
3,[0.00231179 0.99998578 0.00480622 1.        ],[-0.00128499 -0.31954684  0.78778904]
4,[0.00191918 0.99999271 0.00330215 1.        ],[-0.00095882 -0.30937108  0.78881259]
5,[0.00145414 0.99999732 0.00180081 1.        ],[-6.97586757e-04 -2.98424000e-01  7.89627918e-01]
6,[1.07581804e-03 9.99999257e-01 5.73824974e-04 1.00000000e+00],[-5.83253656e-04 -2.86823792e-01  7.90210034e-01]
7,[ 9.15878751e-04  9.99999526e-01 -3.29814554e-04  1.00000000e+00],[-6.65921593e-04 -2.74705482e-01  7.90572760e-01]
8,[ 1.06597581e-03  9.99999012e-01 -9.16847242e-04  1.00000000e+00],[-0.00096424 -0.26220314  0.79074284]
9,[ 0.00157504  0.99999802 -0.00121339  1.        ],[-0.00147194 -0.2494384   0.79075192]
10,[ 0.00245553  0.9999962  -0.00125438  1.        ],[-0.00216611 -0.23651493  0.79063257]
11,[ 0.00369316  0.9999926  -0.00107851  1.        ],[-0.00301442 -0.22351651  0.79041574]
12,[ 5.25595889e-03  9.99985925e-01 -7.24878459e-04  1.00000000e+00],[-0.00398068 -0.21050743  0.79012925]
13,[ 7.10174181e-03  9.99974756e-01 -2.30581119e-04  1.00000000e+00],[-0.00502856 -0.19753411  0.7897969 ]
14,[9.18363282e-03 9.99957761e-01 3.70918099e-04 1.00000000e+00],[-0.00612397 -0.18462733  0.78943825]
15,[0.01145389 0.99993385 0.00105067 1.        ],[-0.00723624 -0.17180485  0.78906874]
16,[0.01386635 0.99990227 0.00178451 1.        ],[-0.00833866 -0.1590738   0.7887002 ]
17,[0.01637781 0.99986262 0.00255291 1.        ],[-0.00940852 -0.14643309  0.78834138]
18,[0.01894873 0.99981488 0.00334047 1.        ],[-0.01042695 -0.13387531  0.78799852]
19,[0.02154365 0.99975936 0.00413536 1.        ],[-0.01137868 -0.12138846  0.78767595]
20,[0.02413133 0.99969665 0.00492872 1.        ],[-0.01225178 -0.10895736  0.7873765 ]
21,[0.02668486 0.99962756 0.00571409 1.        ],[-0.01303746 -0.09656479  0.78710186]
22,[0.02918195 0.99955307 0.00648696 1.        ],[-0.01372996 -0.08419254  0.78685284]
23,[0.03160519 0.99947418 0.00724449 1.        ],[-0.01432641 -0.07182213  0.78662958]
24,[0.0339425  0.99939189 0.0079853  1.        ],[-0.01482672 -0.05943565  0.78643162]
25,[0.03618748 0.99930707 0.00870933 1.        ],[-0.01523337 -0.04701628  0.78625807]
26,[0.03833972 0.99922038 0.00941779 1.        ],[-0.01555117 -0.0345489   0.78610764]
27,[0.04040495 0.99913221 0.01011311 1.        ],[-0.0157869  -0.02201903  0.78597874]
28,[0.04239509 0.99904256 0.01079894 1.        ],[-0.01594899 -0.00941519  0.7858696 ]
29,[0.04432828 0.99895106 0.01147995 1.        ],[-0.01604626  0.00326939  0.78579308]
30,[0.04622587 0.99885749 0.01211923 1.        ],[-0.01613345  0.0160375   0.78573464]
31,[0.04824896 0.99875388 0.01275607 1.        ],[-0.01622478  0.02888613  0.78567382]
32,[0.05045762 0.99863558 0.01345405 1.        ],[-0.01631895  0.04181066  0.78560734]
33,[0.05287163 0.9984999  0.01423175 1.        ],[-0.01641496  0.05480763  0.78553615]
34,[0.05551555 0.99834368 0.01509677 1.        ],[-0.01651154  0.06787414  0.78546224]
35,[0.05841793 0.99816311 0.01605463 1.        ],[-0.01660722  0.08100674  0.78538768]
36,[0.06161208 0.99795348 0.0171115  1.        ],[-0.0167004   0.09420109  0.7853144 ]
37,[0.06513765 0.99770892 0.01827553 1.        ],[-0.01678952  0.10745411  0.78524419]
38,[0.06904357 0.99742192 0.01955731 1.        ],[-0.01687256  0.1207616   0.78517872]
39,[0.07338797 0.99708297 0.0209704  1.        ],[-0.01694651  0.134117    0.78511949]
40,[0.07823799 0.99668005 0.02253212 1.        ],[-0.01700741  0.14751285  0.78506798]
41,[0.08367318 0.99619779 0.02426458 1.        ],[-0.01705006  0.16094091  0.78502565]
42,[0.08978842 0.9956163  0.02619573 1.        ],[-0.01706776  0.17439218  0.78499412]
43,[0.09669772 0.99490965 0.02836093 1.        ],[-0.01705194  0.18785694  0.78497526]
44,[0.10453957 0.99404353 0.03080499 1.        ],[-0.01699181  0.20132473  0.78497137]
45,[0.11348483 0.99297192 0.03358523 1.        ],[-0.01687393  0.21478435  0.78498535]
46,[0.12374847 0.99163191 0.03677599 1.        ],[-0.01668173  0.22822374  0.78502092]
47,[0.13560804 0.98993544 0.04047563 1.        ],[-0.01639488  0.24162988  0.78508287]
48,[0.1494336  0.98775551 0.04481792 1.        ],[-0.0159885   0.25498853  0.78517742]
