step,action,eef_pos
0,[ 2.44879733e-05 -1.11886127e-06 -2.49999999e-01  1.00000000e+00],[2.67772936e-04 8.21335986e-06 1.30504580e+00]
1,[-1.29975286e-04 -3.98671284e-06 -2.49999966e-01  1.00000000e+00],[1.43140970e-03 8.02602909e-06 1.30458469e+00]
2,[-6.95417196e-04 -3.89926004e-06 -2.49999033e-01  1.00000000e+00],[ 2.85333794e-03 -1.13370465e-05  1.30295236e+00]
3,[-1.39062319e-03  5.52530407e-06 -2.49996132e-01  1.00000000e+00],[ 4.19943681e-03 -3.53945792e-05  1.30096277e+00]
4,[-2.05459929e-03  1.73170071e-05 -2.49991557e-01  1.00000000e+00],[ 5.37581206e-03 -5.89381830e-05  1.29877834e+00]
5,[-2.64138207e-03  2.89590220e-05 -2.49986044e-01  1.00000000e+00],[ 6.38967088e-03 -8.08136196e-05  1.29644437e+00]
6,[-3.15393098e-03  3.98894690e-05 -2.49980101e-01  1.00000000e+00],[ 7.23158051e-03 -1.01079015e-04  1.29395556e+00]
7,[-3.58704045e-03  5.01376588e-05 -2.49974260e-01  1.00000000e+00],[ 7.89964346e-03 -1.19980009e-04  1.29130782e+00]
8,[-3.93902824e-03  5.98260729e-05 -2.49968959e-01  1.00000000e+00],[ 8.40313183e-03 -1.37790286e-04  1.28850943e+00]
9,[-4.2135301e-03  6.9091326e-05 -2.4996448e-01  1.0000000e+00],[ 8.75712245e-03 -1.54784667e-04  1.28557415e+00]
10,[-4.41697534e-03  7.80713143e-05 -2.49960965e-01  1.00000000e+00],[ 8.97999072e-03 -1.71217607e-04  1.28251867e+00]
11,[-4.55744043e-03  8.68947498e-05 -2.49958441e-01  1.00000000e+00],[ 9.09154134e-03 -1.87315725e-04  1.27936096e+00]
12,[-4.64379710e-03  9.56775300e-05 -2.49956848e-01  1.00000000e+00],[ 9.11162702e-03 -2.03278856e-04  1.27611909e+00]
13,[-4.68507941e-03  1.04523328e-04 -2.49956074e-01  1.00000000e+00],[ 9.05916731e-03 -2.19284299e-04  1.27281028e+00]
14,[-4.69002650e-03  1.13525795e-04 -2.49955978e-01  1.00000000e+00],[ 8.95149149e-03 -2.35491054e-04  1.26945040e+00]
15,[-4.66676571e-03  1.22770778e-04 -2.49956409e-01  1.00000000e+00],[ 8.80393662e-03 -2.52042793e-04  1.26605347e+00]
16,[-4.62260588e-03  1.32337901e-04 -2.49957224e-01  1.00000000e+00],[ 8.62964623e-03 -2.69069351e-04  1.26263155e+00]
17,[-4.56391806e-03  1.42301369e-04 -2.49958297e-01  1.00000000e+00],[ 8.43952644e-03 -2.86687087e-04  1.25919465e+00]
18,[-4.49608706e-03  1.52730146e-04 -2.49959520e-01  1.00000000e+00],[ 8.24231856e-03 -3.04998620e-04  1.25575076e+00]
19,[-4.42351746e-03  1.63687767e-04 -2.49960808e-01  1.00000000e+00],[ 8.04475431e-03 -3.24092420e-04  1.25230603e+00]
20,[-4.34968073e-03  1.75232021e-04 -2.49962096e-01  1.00000000e+00],[ 7.85176545e-03 -3.44042597e-04  1.24886497e+00]
21,[-4.27719184e-03  1.87414690e-04 -2.49963338e-01  1.00000000e+00],[ 7.66672468e-03 -3.64909087e-04  1.24543062e+00]
22,[-4.20790555e-03  2.00281481e-04 -2.49964504e-01  1.00000000e+00],[ 7.49169859e-03 -3.86722546e-04  1.24200485e+00]
23,[-4.14302359e-03  2.13863467e-04 -2.49965577e-01  1.00000000e+00],[ 7.32769914e-03 -4.08778905e-04  1.23858856e+00]
24,[-4.08320633e-03  2.27783453e-04 -2.49966549e-01  1.00000000e+00],[ 7.17491908e-03 -4.30715124e-04  1.23518193e+00]
25,[-4.02868108e-03  2.41844382e-04 -2.49967420e-01  1.00000000e+00],[ 7.03294370e-03 -4.52481566e-04  1.23178457e+00]
26,[-3.97934282e-03  2.56020715e-04 -2.49968197e-01  1.00000000e+00],[ 6.90093806e-03 -4.74014815e-04  1.22839574e+00]
27,[-3.93484614e-03  2.70278526e-04 -2.49968886e-01  1.00000000e+00],[ 6.77780660e-03 -4.95253374e-04  1.22501449e+00]
28,[-3.89468621e-03  2.84584173e-04 -2.49969499e-01  1.00000000e+00],[ 6.66232328e-03 -5.16142789e-04  1.22163972e+00]
29,[-3.85826694e-03  2.98907239e-04 -2.49970047e-01  1.00000000e+00],[ 6.55323277e-03 -5.36636130e-04  1.21827036e+00]
30,[-3.82495571e-03  3.13220894e-04 -2.49970541e-01  1.00000000e+00],[ 6.44932508e-03 -5.56693124e-04  1.21490534e+00]
31,[-3.79412548e-03  3.27501489e-04 -2.49970993e-01  1.00000000e+00],[ 6.34948720e-03 -5.76278969e-04  1.21154373e+00]
32,[-3.76518539e-03  3.41727936e-04 -2.49971412e-01  1.00000000e+00],[ 6.25273528e-03 -5.95363254e-04  1.20818466e+00]
33,[-3.73760131e-03  3.55881127e-04 -2.49971806e-01  1.00000000e+00],[ 6.15823182e-03 -6.13926180e-04  1.20482743e+00]
