step,action,eef_pos
0,[ 5.20490566e-05 -7.05285263e-06 -9.99999999e-01  1.00000000e+00],[6.05619251e-04 2.05218152e-06 1.30158445e+00]
1,[-1.18381008e-03 -4.01141998e-06 -9.99999299e-01  1.00000000e+00],[ 2.59509136e-03 -3.63504182e-05  1.29309586e+00]
2,[-5.15817566e-03  7.22525017e-05 -9.99986694e-01  1.00000000e+00],[ 4.86851490e-03 -9.44045127e-05  1.28269421e+00]
3,[-9.88093030e-03  1.91599375e-04 -9.99951164e-01  1.00000000e+00],[ 6.91323906e-03 -1.55104444e-04  1.27166793e+00]
4,[-1.43512291e-02  3.21982126e-04 -9.99896964e-01  1.00000000e+00],[ 8.58517397e-03 -2.13685481e-04  1.26025703e+00]
5,[-1.82533002e-02  4.54325707e-04 -9.99833291e-01  1.00000000e+00],[ 9.84028002e-03 -2.68890429e-04  1.24850681e+00]
6,[-2.14566344e-02  5.86312951e-04 -9.99769608e-01  1.00000000e+00],[ 1.06675150e-02 -3.20875097e-04  1.23642941e+00]
7,[-2.38883637e-02  7.18553571e-04 -9.99714374e-01  1.00000000e+00],[ 1.10771088e-02 -3.70215019e-04  1.22403894e+00]
8,[-2.55126856e-02  8.52675513e-04 -9.99674135e-01  1.00000000e+00],[ 1.10987435e-02 -4.17497746e-04  1.21135971e+00]
9,[-2.63311597e-02  9.90490487e-04 -9.99652784e-01  1.00000000e+00],[ 1.07755024e-02 -4.63183873e-04  1.19842376e+00]
10,[-0.02637395  0.00113368 -0.9996515   1.        ],[ 1.01584234e-02 -5.06879597e-04  1.18526750e+00]
11,[-0.02569162  0.00128195 -0.99966909  1.        ],[ 9.30220201e-03 -5.41557287e-04  1.17192891e+00]
12,[-0.0243486   0.00141753 -0.99970252  1.        ],[ 8.26178777e-03 -5.63598669e-04  1.15844526e+00]
13,[-0.02241772  0.00152928 -0.99974752  1.        ],[ 7.08985567e-03 -5.71330363e-04  1.14485143e+00]
14,[-0.01997577  0.00160973 -0.99979917  1.        ],[ 5.83496188e-03 -5.66608572e-04  1.13117871e+00]
15,[-0.01709984  0.00166049 -0.99985241  1.        ],[ 4.54028263e-03 -5.56361204e-04  1.11745406e+00]
16,[-0.01386405  0.00169889 -0.99990245  1.        ],[ 3.24285782e-03 -5.45850831e-04  1.10369976e+00]
17,[-0.01033689  0.00173995 -0.99994506  1.        ],[ 1.97324777e-03 -5.37275855e-04  1.08993333e+00]
18,[-0.0065788   0.00179128 -0.99997676  1.        ],[ 7.55551118e-04 -5.32851119e-04  1.07616785e+00]
19,[-0.00264022  0.00186201 -0.99999478  1.        ],[-3.92286372e-04 -5.36719434e-04  1.06241232e+00]
20,[ 0.00144004  0.00197024 -0.99999702  1.        ],[-1.45790172e-03 -5.50727594e-04  1.04867222e+00]
21,[ 0.00563599  0.00212902 -0.99998185  1.        ],[-2.43376100e-03 -5.74846266e-04  1.03495017e+00]
22,[ 0.00993522  0.00234667 -0.99994789  1.        ],[-3.31628885e-03 -6.07673075e-04  1.02124653e+00]
23,[ 0.0143394   0.00262754 -0.99989373  1.        ],[-4.13086099e-03 -6.48429621e-04  1.00754854e+00]
24,[ 0.01898472  0.00298007 -0.99981533  1.        ],[-4.88122696e-03 -6.96481343e-04  9.93854022e-01]
25,[ 0.02393772  0.00341557 -0.99970762  1.        ],[-5.55802894e-03 -7.50894194e-04  9.80164234e-01]
26,[ 0.02921482  0.00394695 -0.99956536  1.        ],[-6.16105165e-03 -8.09796325e-04  9.66476556e-01]
27,[ 0.03488982  0.00458585 -0.99938064  1.        ],[-6.69020921e-03 -8.70296765e-04  9.52788706e-01]
28,[ 0.04106225  0.00534159 -0.99914231  1.        ],[-7.14444281e-03 -9.28448132e-04  9.39098839e-01]
29,[ 0.04786165  0.00621981 -0.99883461  1.        ],[-0.00752128 -0.00097932  0.92540554]
30,[ 0.05545939  0.00722114 -0.99843483  1.        ],[-0.00781638 -0.00101718  0.91170786]
31,[ 0.06408822  0.00834009 -0.99790939  1.        ],[-0.00802294 -0.00103588  0.89800539]
32,[0. 0. 0. 1.],[-0.00877474 -0.001004    0.88902422]
