step,action,eef_pos
0,[-5.00670067e-04 -7.25204266e-05  4.99999744e-01  1.00000000e+00],[-7.63110561e-04  1.60382851e-04  7.89672100e-01]
1,[ 7.62609514e-04 -1.60277546e-04  4.99999393e-01  1.00000000e+00],[-3.39138977e-03  2.60562217e-04  7.88156238e-01]
2,[ 3.37885228e-03 -2.59598955e-04  4.99988516e-01  1.00000000e+00],[-5.60746760e-03  3.74218087e-04  7.92136071e-01]
3,[ 5.63116752e-03 -3.75799717e-04  4.99968148e-01  1.00000000e+00],[-7.50433609e-03  5.07109429e-04  7.97506169e-01]
4,[ 7.61782241e-03 -5.14778326e-04  4.99941700e-01  1.00000000e+00],[-9.02955122e-03  6.22961950e-04  8.03291516e-01]
5,[ 9.27453559e-03 -6.39863779e-04  4.99913566e-01  1.00000000e+00],[-1.02010274e-02  7.31260983e-04  8.09284459e-01]
6,[ 1.06078530e-02 -7.60424288e-04  4.99886882e-01  1.00000000e+00],[-0.01106347  0.00084168  0.8154259 ]
7,[ 1.16530243e-02 -8.86535414e-04  4.99863402e-01  1.00000000e+00],[-0.01167159  0.0009596   0.82168383]
8,[ 0.01245733 -0.0010242   0.49984374  1.        ],[-0.01207956  0.00108431  0.82803238]
9,[ 0.01306953 -0.00117317  0.49982778  1.        ],[-0.0123364   0.00121207  0.83444897]
10,[ 0.01353508 -0.00132984  0.499815    1.        ],[-0.01248429  0.00134029  0.84091412]
11,[ 0.01389424 -0.00149166  0.49980469  1.        ],[-0.01255806  0.00146726  0.84741167]
12,[ 0.01418129 -0.00165692  0.4997961   1.        ],[-0.0125854   0.00159206  0.85392862]
13,[ 0.01442434 -0.00182469  0.49978856  1.        ],[-0.01258745  0.00171419  0.86045494]
14,[ 0.01464567 -0.00199449  0.49978148  1.        ],[-0.01257959  0.00183301  0.86698324]
15,[ 0.01486219 -0.00216562  0.49977437  1.        ],[-0.01257233  0.00194791  0.87350832]
16,[ 0.0150861  -0.00233738  0.49976689  1.        ],[-0.01257227  0.00205842  0.88002685]
17,[ 0.01532564 -0.00250922  0.49975877  1.        ],[-0.01258287  0.00216418  0.88653695]
18,[ 0.01558578 -0.00268066  0.49974984  1.        ],[-0.0126053   0.00226487  0.89303785]
19,[ 0.01586895 -0.00285127  0.49973998  1.        ],[-0.01263908  0.00236018  0.89952964]
20,[ 0.01617567 -0.00302059  0.49972915  1.        ],[-0.01268265  0.00244978  0.90601293]
21,[ 0.01650509 -0.00318813  0.49971734  1.        ],[-0.0127338   0.00253332  0.91248872]
22,[ 0.01685549 -0.00335331  0.49970456  1.        ],[-0.01279001  0.00261043  0.91895818]
23,[ 0.01722461 -0.00351553  0.49969086  1.        ],[-0.01284874  0.00268074  0.92542255]
24,[ 0.01761001 -0.00367412  0.49967628  1.        ],[-0.01290757  0.00274389  0.93188306]
25,[ 0.01800923 -0.0038284   0.4996609   1.        ],[-0.01296434  0.00279959  0.93834081]
26,[ 0.01842001 -0.00397771  0.49964475  1.        ],[-0.01301718  0.0028476   0.9447968 ]
27,[ 0.01884034 -0.00412146  0.49962792  1.        ],[-0.01306455  0.00288779  0.95125185]
28,[ 0.01926855 -0.00425913  0.49961043  1.        ],[-0.01310524  0.00292014  0.95770665]
29,[ 0.01970331 -0.00439034  0.49959234  1.        ],[-0.01313833  0.00294475  0.96416171]
30,[ 0.02014362 -0.00451488  0.49957367  1.        ],[-0.01316316  0.00296182  0.97061741]
31,[ 0.02058883 -0.00463265  0.49955444  1.        ],[-0.0131793   0.00297165  0.97707401]
