step,action,eef_pos
0,[-1.33713625e-03  5.11829574e-05  9.99999105e-01  1.00000000e+00],[-1.42388607e-03 -6.03564678e-05  7.87871865e-01]
1,[2.83569121e-03 1.20200842e-04 9.99995972e-01 1.00000000e+00],[-5.81769313e-03 -1.38209715e-04  7.86334960e-01]
2,[1.15499477e-02 2.74389682e-04 9.99933259e-01 1.00000000e+00],[-9.72547156e-03 -2.11632409e-04  7.93011351e-01]
3,[1.95650527e-02 4.25747914e-04 9.99808495e-01 1.00000000e+00],[-1.31451317e-02 -2.89231815e-04  8.03582932e-01]
4,[2.70145371e-02 5.94399797e-04 9.99634864e-01 1.00000000e+00],[-1.60853378e-02 -3.65537658e-04  8.15100812e-01]
5,[3.38516352e-02 7.69274951e-04 9.99426573e-01 1.00000000e+00],[-1.84967057e-02 -4.25083499e-04  8.26970022e-01]
6,[3.99152500e-02 9.17315461e-04 9.99202648e-01 1.00000000e+00],[-2.04020550e-02 -4.71927962e-04  8.39065249e-01]
7,[0.04519766 0.00104548 0.99897752 1.        ],[-2.18587408e-02 -5.14419093e-04  8.51344236e-01]
8,[0.04976941 0.00117126 0.99876005 1.        ],[-2.29359691e-02 -5.54499591e-04  8.63776733e-01]
9,[0.05373431 0.00129908 0.99855442 1.        ],[-2.37026486e-02 -5.91541398e-04  8.76334295e-01]
10,[0.05720515 0.00142766 0.99836142 1.        ],[-2.42218929e-02 -6.25797940e-04  8.88990194e-01]
11,[0.06029229 0.00155771 0.99817955 1.        ],[-2.45486250e-02 -6.58494211e-04  9.01720382e-01]
12,[0.06309801 0.00169255 0.9980059  1.        ],[-2.47287721e-02 -6.96630132e-04  9.14504102e-01]
13,[0.06571384 0.00185121 0.99783679 1.        ],[-2.47993258e-02 -7.38829414e-04  9.27324085e-01]
14,[0.06821931 0.00203241 0.99766828 1.        ],[-2.47889527e-02 -7.79856886e-04  9.40166472e-01]
15,[0.07068188 0.00222364 0.99749643 1.        ],[-2.47189271e-02 -8.16258115e-04  9.53020526e-01]
16,[0.07315762 0.00241578 0.99731747 1.        ],[-2.46042121e-02 -8.46756599e-04  9.65878237e-01]
17,[0.07569237 0.00260496 0.99712781 1.        ],[-2.44545694e-02 -8.71256762e-04  9.78733885e-01]
18,[0.07832317 0.00279046 0.99692412 1.        ],[-2.42756363e-02 -8.90324332e-04  9.91583583e-01]
19,[0.08108    0.00297366 0.99670316 1.        ],[-2.40699057e-02 -9.05037145e-04  1.00442483e+00]
20,[0.08398749 0.00315796 0.99646181 1.        ],[-2.38375735e-02 -9.16551635e-04  1.01725608e+00]
21,[0.08706671 0.0033477  0.99619686 1.        ],[-2.35773443e-02 -9.24416469e-04  1.03007637e+00]
22,[0.09033728 0.00354193 0.99590493 1.        ],[-2.33072222e-02 -9.26707020e-04  1.04287452e+00]
23,[0.09389598 0.00373335 0.99557501 1.        ],[-2.30315355e-02 -9.21969199e-04  1.05564333e+00]
24,[0.09780365 0.00391515 0.99519803 1.        ],[-2.27320835e-02 -9.09619175e-04  1.06838657e+00]
25,[0.10203913 0.00408307 0.99477201 1.        ],[-2.24009714e-02 -8.89774346e-04  1.08110419e+00]
26,[0.10662288 0.0042351  0.99429051 1.        ],[-2.20309783e-02 -8.63023282e-04  1.09379612e+00]
27,[0.11158384 0.00437109 0.99374541 1.        ],[-2.16146926e-02 -8.30194477e-04  1.10646220e+00]
28,[0.11695754 0.0044922  0.99312676 1.        ],[-2.11444972e-02 -7.92175746e-04  1.11910194e+00]
29,[0.12278822 0.00460024 0.99242223 1.        ],[-2.06125378e-02 -7.49797663e-04  1.13171443e+00]
30,[0.12913197 0.00469728 0.99161629 1.        ],[-2.00106173e-02 -7.03774160e-04  1.14429827e+00]
31,[0.13606083 0.00478526 0.99068893 1.        ],[-1.93300214e-02 -6.54684753e-04  1.15685157e+00]
32,[0.14366867 0.00486589 0.98961388 1.        ],[-1.85612780e-02 -6.02982146e-04  1.16937183e+00]
33,[0.15208012 0.00494048 0.98835582 1.        ],[-1.76938364e-02 -5.49012204e-04  1.18185589e+00]
34,[0.16146456 0.00500999 0.98686579 1.        ],[-1.67156306e-02 -4.93037632e-04  1.19429972e+00]
