step,action,eef_pos
0,[-9.99643635e-01 -1.57318244e-05 -2.66946097e-02  1.00000000e+00],[2.43521059e-01 3.86214225e-05 7.88818572e-01]
1,[-9.99997132e-01 -7.82566641e-05  2.39386953e-03  1.00000000e+00],[2.36456378e-01 7.77796038e-05 7.80278148e-01]
2,[-9.99800346e-01 -1.59858269e-04  1.99810527e-02  1.00000000e+00],[2.30541921e-01 1.05595706e-04 7.80272080e-01]
3,[-9.99795136e-01 -2.19697947e-04  2.02394975e-02  1.00000000e+00],[2.26938980e-01 1.36257416e-04 7.85776559e-01]
4,[-9.99960753e-01 -2.85680294e-04  8.85495875e-03  1.00000000e+00],[2.24115334e-01 1.69756690e-04 7.92427687e-01]
5,[-9.99986827e-01 -3.58044639e-04 -5.12038975e-03  1.00000000e+00],[2.21468105e-01 2.02967108e-04 7.99004266e-01]
6,[-9.99817584e-01 -4.30421657e-04 -1.90948721e-02  1.00000000e+00],[2.18734673e-01 2.41839636e-04 8.05212076e-01]
7,[-9.99473668e-01 -5.15669870e-04 -3.24364076e-02  1.00000000e+00],[2.15693983e-01 2.87460396e-04 8.10962753e-01]
8,[-9.98988217e-01 -6.16648613e-04 -4.49684653e-02  1.00000000e+00],[2.12144789e-01 3.32153269e-04 8.16194410e-01]
9,[-9.98397287e-01 -7.17569322e-04 -5.65892513e-02  1.00000000e+00],[2.07855456e-01 3.71207875e-04 8.20830104e-01]
10,[-9.97740293e-01 -8.08921351e-04 -6.71837300e-02  1.00000000e+00],[2.02565540e-01 4.01552031e-04 8.24784866e-01]
11,[-9.97058789e-01 -8.84669615e-04 -7.66354330e-02  1.00000000e+00],[1.96007274e-01 4.21583857e-04 8.27966519e-01]
12,[-9.96395969e-01 -9.41833195e-04 -8.48185423e-02  1.00000000e+00],[1.87959616e-01 4.30664946e-04 8.30298571e-01]
13,[-9.95792895e-01 -9.79206936e-04 -9.16272392e-02  1.00000000e+00],[1.78287940e-01 4.28014616e-04 8.31736887e-01]
14,[-9.95284759e-01 -9.94649591e-04 -9.69910270e-02  1.00000000e+00],[1.66975276e-01 4.12645518e-04 8.32284193e-01]
15,[-9.94897151e-01 -9.84566411e-04 -1.00889491e-01  1.00000000e+00],[1.54136618e-01 3.83955640e-04 8.31999346e-01]
16,[-9.94642846e-01 -9.44974331e-04 -1.03366898e-01  1.00000000e+00],[1.40006221e-01 3.42217631e-04 8.30995476e-01]
17,[-9.94520411e-01 -8.72658949e-04 -1.04538943e-01  1.00000000e+00],[1.24899038e-01 2.88835663e-04 8.29426306e-01]
18,[-9.94515306e-01 -7.66210258e-04 -1.04588331e-01  1.00000000e+00],[1.09158621e-01 2.26366756e-04 8.27464895e-01]
19,[-9.94603210e-01 -6.26868155e-04 -1.03749993e-01  1.00000000e+00],[9.31078725e-02 1.58486486e-04 8.25280890e-01]
20,[-9.94754716e-01 -4.59491581e-04 -1.02288039e-01  1.00000000e+00],[7.70152676e-02 8.87251892e-05 8.23022217e-01]
21,[-9.94940081e-01 -2.69945338e-04 -1.00469706e-01  1.00000000e+00],[6.10803862e-02 1.40472189e-05 8.20804369e-01]
22,[-9.95132905e-01 -4.49364550e-05 -9.85418631e-02  1.00000000e+00],[ 4.54349587e-02 -6.09005391e-05  8.18707188e-01]
23,[-9.95312219e-01  2.05172235e-04 -9.67137234e-02  1.00000000e+00],[ 3.01526753e-02 -1.31333116e-04  8.16777281e-01]
24,[-9.95463087e-01  4.66664359e-04 -9.51473859e-02  1.00000000e+00],[ 1.52624907e-02 -1.93932116e-04  8.15033834e-01]
25,[-9.95576055e-01  7.27860809e-04 -9.39563151e-02  1.00000000e+00],[ 7.61880516e-04 -2.46525483e-04  8.13475785e-01]
26,[-9.95645969e-01  9.78825423e-04 -9.32102229e-02  1.00000000e+00],[-1.33749519e-02 -2.87940418e-04  8.12087272e-01]
27,[-0.99567108  0.0012116  -0.09293884  1.        ],[-2.71890866e-02 -3.17843902e-04  8.10843217e-01]
28,[-0.99565202  0.00142032 -0.09313992  1.        ],[-4.07279304e-02 -3.36480847e-04  8.09715025e-01]
29,[-0.99559051  0.00160077 -0.09379222  1.        ],[-5.40387240e-02 -3.43613481e-04  8.08674518e-01]
30,[-0.99548842  0.00174557 -0.09486704  1.        ],[-6.71645572e-02 -3.39504424e-04  8.07696151e-01]
31,[-0.99534706  0.00184825 -0.09633697  1.        ],[-8.01422478e-02 -3.26055741e-04  8.06757977e-01]
32,[-0.99516664  0.0019103  -0.09818203  1.        ],[-9.30014920e-02 -3.04543730e-04  8.05841801e-01]
33,[-0.99494587  0.00192998 -0.10039417  1.        ],[-1.05764845e-01 -2.75334292e-04  8.04932848e-01]
34,[-0.99468155  0.00189877 -0.10298064  1.        ],[-1.18445436e-01 -2.46728388e-04  8.04027446e-01]
35,[-0.99436149  0.00186491 -0.10602712  1.        ],[-1.31050317e-01 -2.26246498e-04  8.03120379e-01]
36,[-0.99396992  0.00189057 -0.10963679  1.        ],[-1.43583958e-01 -1.93181461e-04  8.02192563e-01]
37,[-0.99349865  0.00180354 -0.1138296   1.        ],[-1.56046286e-01 -1.47642925e-04  8.01232690e-01]
