step,action,eef_pos
0,[ 6.68397274e-05  3.14103994e-06 -4.99999996e-01  1.00000000e+00],[ 3.35738922e-04 -1.23384553e-05  1.30220337e+00]
1,[-3.27739792e-04  1.20444861e-05 -4.99999892e-01  1.00000000e+00],[ 1.79727703e-03 -4.05068629e-05  1.29906871e+00]
2,[-1.76524875e-03  3.97850125e-05 -4.99996882e-01  1.00000000e+00],[ 3.52256740e-03 -6.94310388e-05  1.29450788e+00]
3,[-3.49100744e-03  6.88089808e-05 -4.99987808e-01  1.00000000e+00],[ 5.15167761e-03 -9.64418151e-05  1.28953723e+00]
4,[-5.15617587e-03  9.65260246e-05 -4.99973404e-01  1.00000000e+00],[ 6.58769893e-03 -1.21303437e-04  1.28433375e+00]
5,[-6.66261791e-03  1.22682967e-04 -4.99955592e-01  1.00000000e+00],[ 7.78871314e-03 -1.44117193e-04  1.27891271e+00]
6,[-7.96433028e-03  1.47366697e-04 -4.99936544e-01  1.00000000e+00],[ 8.74331210e-03 -1.64540146e-04  1.27327742e+00]
7,[-9.04437153e-03  1.70205774e-04 -4.99918164e-01  1.00000000e+00],[ 9.45364832e-03 -1.81066228e-04  1.26743360e+00]
8,[-9.89854380e-03  1.89587335e-04 -4.99901973e-01  1.00000000e+00],[ 9.93298311e-03 -1.94473442e-04  1.26139386e+00]
9,[-1.05334186e-02  2.06229101e-04 -4.99888992e-01  1.00000000e+00],[ 1.02027402e-02 -2.05532317e-04  1.25517676e+00]
10,[-1.09638819e-02  2.20865375e-04 -4.99879730e-01  1.00000000e+00],[ 1.02891474e-02 -2.14690413e-04  1.24880446e+00]
11,[-1.12101785e-02  2.33908386e-04 -4.99874261e-01  1.00000000e+00],[ 1.02206031e-02 -2.22217112e-04  1.24230079e+00]
12,[-1.12955732e-02  2.45589192e-04 -4.99872333e-01  1.00000000e+00],[ 1.00257136e-02 -2.28188640e-04  1.23568963e+00]
13,[-1.12445701e-02  2.55930228e-04 -4.99873478e-01  1.00000000e+00],[ 9.73187714e-03 -2.32072093e-04  1.22899381e+00]
14,[-1.10815747e-02  2.64257779e-04 -4.99877114e-01  1.00000000e+00],[ 9.36429267e-03 -2.33687908e-04  1.22223424e+00]
15,[-1.08298851e-02  2.70262078e-04 -4.99882627e-01  1.00000000e+00],[ 8.94532997e-03 -2.33222938e-04  1.21542947e+00]
16,[-1.05109689e-02  2.74042328e-04 -4.99889432e-01  1.00000000e+00],[ 8.49419612e-03 -2.30830552e-04  1.20859530e+00]
17,[-1.01439822e-02  2.75663639e-04 -4.99897013e-01  1.00000000e+00],[ 8.02683192e-03 -2.26585587e-04  1.20174478e+00]
18,[-9.74548590e-03  2.75100645e-04 -4.99904941e-01  1.00000000e+00],[ 7.55598504e-03 -2.20506906e-04  1.19488824e+00]
19,[-9.32932563e-03  2.72258444e-04 -4.99912882e-01  1.00000000e+00],[ 7.09141419e-03 -2.12835303e-04  1.18803351e+00]
20,[-8.90664701e-03  2.67316061e-04 -4.99920594e-01  1.00000000e+00],[ 6.64018390e-03 -2.05242737e-04  1.18118617e+00]
21,[-8.48601906e-03  2.62296016e-04 -4.99927913e-01  1.00000000e+00],[ 6.20701714e-03 -1.98213995e-04  1.17434987e+00]
22,[-8.07364279e-03  2.57822550e-04 -4.99934746e-01  1.00000000e+00],[ 5.79467444e-03 -1.91816672e-04  1.16752668e+00]
23,[-7.67361830e-03  2.54013911e-04 -4.99941048e-01  1.00000000e+00],[ 5.40433916e-03 -1.84685839e-04  1.16071741e+00]
24,[-7.28825265e-03  2.49065984e-04 -4.99946817e-01  1.00000000e+00],[ 5.03597745e-03 -1.75419930e-04  1.15392194e+00]
25,[-6.91837208e-03  2.40990029e-04 -4.99952076e-01  1.00000000e+00],[ 4.68866667e-03 -1.63658870e-04  1.14713945e+00]
26,[-6.56362971e-03  2.29104839e-04 -4.99956864e-01  1.00000000e+00],[ 4.36089064e-03 -1.49535890e-04  1.14036869e+00]
27,[-6.22280558e-03  2.13381359e-04 -4.99961230e-01  1.00000000e+00],[ 4.05079175e-03 -1.33887297e-04  1.13360818e+00]
28,[-5.89408260e-03  1.94811987e-04 -4.99965221e-01  1.00000000e+00],[ 3.75637163e-03 -1.17482434e-04  1.12685633e+00]
29,[-5.57528169e-03  1.74369771e-04 -4.99968885e-01  1.00000000e+00],[ 3.47564521e-03 -1.00781379e-04  1.12011160e+00]
30,[-5.26405680e-03  1.52638970e-04 -4.99972266e-01  1.00000000e+00],[ 3.20675166e-03 -8.40056703e-05  1.11337254e+00]
31,[-4.95804920e-03  1.29883536e-04 -4.99975400e-01  1.00000000e+00],[ 2.94802775e-03 -6.72258153e-05  1.10663785e+00]
32,[-4.65500239e-03  1.06151080e-04 -4.99978319e-01  1.00000000e+00],[ 2.69804940e-03 -5.04260348e-05  1.09990643e+00]
33,[-4.35284140e-03  8.13537854e-05 -4.99981046e-01  1.00000000e+00],[ 2.45564801e-03 -3.35465853e-05  1.09317736e+00]
34,[-4.04972101e-03  5.53232023e-05 -4.99983596e-01  1.00000000e+00],[ 2.21990738e-03 -1.65093637e-05  1.08644988e+00]
35,[-3.74404797e-03  2.78443373e-05 -4.99985981e-01  1.00000000e+00],[1.99014681e-03 7.67465579e-07 1.07972342e+00]
36,[-3.43448226e-03 -1.32444848e-06 -4.99988204e-01  1.00000000e+00],[1.76589509e-03 1.83621643e-05 1.07299753e+00]
37,[-3.11992248e-03 -3.24416378e-05 -4.99990265e-01  1.00000000e+00],[1.54685942e-03 3.63461789e-05 1.06627191e+00]
38,[-2.79947963e-03 -6.57786907e-05 -4.99992159e-01  1.00000000e+00],[1.33289245e-03 5.47831611e-05 1.05954633e+00]
39,[-2.47244344e-03 -1.01619802e-04 -4.99993877e-01  1.00000000e+00],[1.12395997e-03 7.37290602e-05 1.05282066e+00]
40,[-2.13824447e-03 -1.40263674e-04 -4.99995408e-01  1.00000000e+00],[9.20110952e-04 9.32325486e-05 1.04609481e+00]
41,[-1.79641470e-03 -1.82026222e-04 -4.99996740e-01  1.00000000e+00],[7.21451172e-04 1.13335426e-04 1.03936872e+00]
42,[-1.44654887e-03 -2.27243697e-04 -4.99997856e-01  1.00000000e+00],[5.28121071e-04 1.34072955e-04 1.03264238e+00]
43,[-1.08826774e-03 -2.76276180e-04 -4.99998739e-01  1.00000000e+00],[3.20790020e-04 1.55427288e-04 1.02590625e+00]
44,[-6.79909186e-04 -3.29425589e-04 -4.99999429e-01  1.00000000e+00],[8.87599414e-05 1.77401457e-04 1.01915545e+00]
45,[-1.93667459e-04 -3.87076522e-04 -4.99999813e-01  1.00000000e+00],[-1.54242609e-04  2.00082501e-04  1.01239564e+00]
46,[ 3.46775037e-04 -4.49834305e-04 -4.99999677e-01  1.00000000e+00],[-4.04789328e-04  2.23513141e-04  1.00562778e+00]
47,[ 9.38627662e-04 -5.18283470e-04 -4.99998850e-01  1.00000000e+00],[-6.60199410e-04  2.47731047e-04  9.98852966e-01]
48,[ 1.58052734e-03 -5.93071862e-04 -4.99997150e-01  1.00000000e+00],[-9.17710664e-04  2.72843588e-04  9.92072449e-01]
49,[ 2.27072114e-03 -6.75105702e-04 -4.99994388e-01  1.00000000e+00],[-1.17458985e-03  2.98911551e-04  9.85287486e-01]
50,[ 3.00727724e-03 -7.65296846e-04 -4.99990371e-01  1.00000000e+00],[-1.42826447e-03  3.25928942e-04  9.78499246e-01]
51,[ 3.78840066e-03 -8.64510354e-04 -4.99984900e-01  1.00000000e+00],[-1.67640864e-03  3.53843912e-04  9.71708756e-01]
52,[ 4.61269495e-03 -9.73613468e-04 -4.99977775e-01  1.00000000e+00],[-1.91698602e-03  3.82563135e-04  9.64916878e-01]
53,[ 0.00547936 -0.00109349 -0.49996878  1.        ],[-2.14825909e-03  4.11953128e-04  9.58124309e-01]
54,[ 0.00638836 -0.00122504 -0.49995769  1.        ],[-2.36877380e-03  4.41841295e-04  9.51331580e-01]
55,[ 0.0073405  -0.00136921 -0.49994424  1.        ],[-2.57732751e-03  4.72016719e-04  9.44539084e-01]
56,[ 0.00833756 -0.00152696 -0.49992815  1.        ],[-2.77292664e-03  5.02237793e-04  9.37747087e-01]
57,[ 0.00938233 -0.00169934 -0.49990908  1.        ],[-2.95473984e-03  5.32710111e-04  9.30955760e-01]
58,[ 0.01047871 -0.00188921 -0.49988661  1.        ],[-3.12204551e-03  5.63497625e-04  9.24165198e-01]
59,[ 0.01163183 -0.00209943 -0.49986027  1.        ],[-3.27418395e-03  5.94526360e-04  9.17375437e-01]
60,[ 0.01284811 -0.00233296 -0.49982945  1.        ],[-3.41051157e-03  6.25735093e-04  9.10586481e-01]
61,[ 0.01413551 -0.00259348 -0.49979342  1.        ],[-3.53035730e-03  6.57050034e-04  9.03798306e-01]
62,[ 0.01550375 -0.00288547 -0.49975125  1.        ],[-3.63298161e-03  6.88377492e-04  8.97010885e-01]
63,[ 0.0169647  -0.00321447 -0.49970178  1.        ],[-3.71753714e-03  7.19596515e-04  8.90224189e-01]
64,[ 0.01853289 -0.00358737 -0.49964354  1.        ],[-3.78302900e-03  7.50549126e-04  8.83438198e-01]
65,[ 0.02022626 -0.00401287 -0.49957461  1.        ],[-3.82827259e-03  7.81027507e-04  8.76652910e-01]
