step,action,eef_pos
0,[ 1.15405491e-04 -2.16252753e-05  2.49999972e-01  1.00000000e+00],[-1.00664956e-03  1.14592164e-04  7.96233598e-01]
1,[ 5.09677974e-04 -5.80192992e-05  2.49999474e-01  1.00000000e+00],[-3.05608720e-03  1.77343216e-04  7.94019532e-01]
2,[ 1.54039785e-03 -8.93885192e-05  2.49995238e-01  1.00000000e+00],[-4.85507126e-03  2.55652489e-04  7.95519168e-01]
3,[ 2.45451203e-03 -1.29246735e-04  2.49987917e-01  1.00000000e+00],[-6.32583196e-03  3.39391744e-04  7.97905504e-01]
4,[ 3.21346200e-03 -1.72407753e-04  2.49979287e-01  1.00000000e+00],[-7.44506697e-03  4.19919082e-04  8.00602463e-01]
5,[ 3.80273822e-03 -2.14483274e-04  2.49970985e-01  1.00000000e+00],[-8.25431205e-03  4.81654409e-04  8.03473225e-01]
6,[ 4.24083562e-03 -2.47460619e-04  2.49963906e-01  1.00000000e+00],[-8.80518748e-03  5.25889019e-04  8.06470173e-01]
7,[ 4.55179918e-03 -2.71855791e-04  2.49958411e-01  1.00000000e+00],[-9.15133207e-03  5.68547826e-04  8.09563600e-01]
8,[ 4.76112237e-03 -2.95795820e-04  2.49954484e-01  1.00000000e+00],[-9.34249492e-03  6.09332263e-04  8.12729286e-01]
9,[ 4.89276717e-03 -3.19113997e-04  2.49951913e-01  1.00000000e+00],[-9.42210020e-03  6.48676352e-04  8.15946697e-01]
10,[ 4.96791754e-03 -3.42022538e-04  2.49950401e-01  1.00000000e+00],[-9.42644435e-03  6.91332338e-04  8.19198794e-01]
11,[ 5.00452483e-03 -3.67030210e-04  2.49949635e-01  1.00000000e+00],[-9.38464875e-03  7.36927730e-04  8.22471959e-01]
12,[ 5.01721085e-03 -3.93975512e-04  2.49949340e-01  1.00000000e+00],[-9.31912791e-03  7.84742145e-04  8.25755714e-01]
13,[ 5.01742178e-03 -4.22505450e-04  2.49949289e-01  1.00000000e+00],[-0.00924636  0.00083423  0.82904234]
14,[ 5.01374081e-03 -4.52353581e-04  2.49949310e-01  1.00000000e+00],[-0.00917779  0.00088492  0.83232644]
