step,action,eef_pos
0,[-1.25940524e-04  2.49989573e-01 -2.27985477e-03  1.00000000e+00],[-1.43920249e-04 -3.49496531e-01  7.85269118e-01]
1,[5.14359070e-05 2.49994277e-01 1.69077817e-03 1.00000000e+00],[-0.00080248 -0.34814137  0.78152358]
2,[2.87341093e-04 2.49981410e-01 3.03512598e-03 1.00000000e+00],[-0.00091132 -0.34689231  0.78128331]
3,[3.26896965e-04 2.49980232e-01 3.12673970e-03 1.00000000e+00],[-0.00080171 -0.34539972  0.78171059]
4,[2.88197018e-04 2.49982074e-01 2.97987452e-03 1.00000000e+00],[-5.74563622e-04 -3.43545079e-01  7.82208727e-01]
5,[2.07097992e-04 2.49984140e-01 2.80831749e-03 1.00000000e+00],[-2.89808837e-04 -3.41350336e-01  7.82660258e-01]
6,[1.04792196e-04 2.49985890e-01 2.65398296e-03 1.00000000e+00],[ 1.97696487e-05 -3.38873619e-01  7.83044568e-01]
7,[-7.17426262e-06  2.49987258e-01  2.52407596e-03  1.00000000e+00],[ 3.19856747e-04 -3.36162482e-01  7.83356521e-01]
8,[-1.16532793e-04  2.49988256e-01  2.42040581e-03  1.00000000e+00],[ 5.85713618e-04 -3.33264198e-01  7.83598942e-01]
9,[-2.14297670e-04  2.49988938e-01  2.34198370e-03  1.00000000e+00],[ 0.00080233 -0.33022298  0.78377834]
10,[-2.94863531e-04  2.49989369e-01  2.28652767e-03  1.00000000e+00],[ 0.00096265 -0.32707771  0.78390295]
11,[-3.55427255e-04  2.49989612e-01  2.25114487e-03  1.00000000e+00],[ 0.00106572 -0.32386096  0.78398166]
12,[-3.95363388e-04  2.49989717e-01  2.23269053e-03  1.00000000e+00],[ 0.00111482 -0.32059899  0.78402331]
13,[-4.15589049e-04  2.49989726e-01  2.22802634e-03  1.00000000e+00],[ 0.00111583 -0.31731209  0.78403612]
14,[-4.18012434e-04  2.49989667e-01  2.23420105e-03  1.00000000e+00],[ 0.00107599 -0.31401527  0.78402742]
15,[-4.05091490e-04  2.49989559e-01  2.24856526e-03  1.00000000e+00],[ 0.00100301 -0.31071906  0.7840035 ]
16,[-3.79499305e-04  2.49989417e-01  2.26883344e-03  1.00000000e+00],[ 0.00090436 -0.30743036  0.78396951]
17,[-3.43883190e-04  2.49989247e-01  2.29310552e-03  1.00000000e+00],[ 0.00078686 -0.30415318  0.78392956]
18,[-3.00703535e-04  2.49989055e-01  2.31985831e-03  1.00000000e+00],[ 6.56481648e-04 -3.00889387e-01  7.83886791e-01]
19,[-2.52136682e-04  2.49988847e-01  2.34791656e-03  1.00000000e+00],[ 5.18204627e-04 -2.97639311e-01  7.83843489e-01]
20,[-2.00026867e-04  2.49988625e-01  2.37641175e-03  1.00000000e+00],[ 3.76024614e-04 -2.94402244e-01  7.83801245e-01]
21,[-1.45874396e-04  2.49988392e-01  2.40473522e-03  1.00000000e+00],[ 2.33012128e-04 -2.91176861e-01  7.83761077e-01]
22,[-9.08489908e-05  2.49988149e-01  2.43249061e-03  1.00000000e+00],[ 9.14102667e-05 -2.87961523e-01  7.83723562e-01]
23,[-3.58194965e-05  2.49987899e-01  2.45944873e-03  1.00000000e+00],[-4.72456000e-05 -2.84754509e-01  7.83688941e-01]
24,[1.86069040e-05 2.49987644e-01 2.48550682e-03 1.00000000e+00],[-1.82001523e-04 -2.81554166e-01  7.83657225e-01]
25,[7.20414602e-05 2.49987383e-01 2.51065344e-03 1.00000000e+00],[-3.12362724e-04 -2.78359010e-01  7.83628264e-01]
26,[1.24270768e-04 2.49987117e-01 2.53493939e-03 1.00000000e+00],[-4.38181257e-04 -2.75167771e-01  7.83601810e-01]
27,[1.75216247e-04 2.49986847e-01 2.55845449e-03 1.00000000e+00],[-5.59557404e-04 -2.71979418e-01  7.83577569e-01]
28,[2.24897856e-04 2.49986572e-01 2.58130959e-03 1.00000000e+00],[-6.76756684e-04 -2.68793145e-01  7.83555229e-01]
29,[2.73402987e-04 2.49986292e-01 2.60362338e-03 1.00000000e+00],[-0.00079014 -0.26560836  0.78353449]
30,[3.20860851e-04 2.49986007e-01 2.62551294e-03 1.00000000e+00],[-0.00090013 -0.26242464  0.78351506]
31,[3.67422176e-04 2.49985715e-01 2.64708759e-03 1.00000000e+00],[-0.00100712 -0.25924173  0.78349671]
32,[4.13243794e-04 2.49985417e-01 2.66844518e-03 1.00000000e+00],[-0.00111152 -0.25605948  0.78347921]
33,[4.58477508e-04 2.49985111e-01 2.68967023e-03 1.00000000e+00],[-0.0012137  -0.25287782  0.7834624 ]
34,[5.03262563e-04 2.49984796e-01 2.71083345e-03 1.00000000e+00],[-0.00131395 -0.24969676  0.78344613]
35,[5.47721038e-04 2.49984472e-01 2.73199219e-03 1.00000000e+00],[-0.00141253 -0.24651633  0.78343029]
36,[5.91955526e-04 2.49984139e-01 2.75319144e-03 1.00000000e+00],[-0.00150966 -0.2433366   0.78341481]
37,[6.36048525e-04 2.49983795e-01 2.77446517e-03 1.00000000e+00],[-0.00160548 -0.24015765  0.78339962]
38,[6.80063042e-04 2.49983441e-01 2.79583789e-03 1.00000000e+00],[-0.00170011 -0.23697954  0.7833847 ]
39,[7.24044006e-04 2.49983076e-01 2.81732610e-03 1.00000000e+00],[-0.00179361 -0.23380234  0.78337002]
40,[7.68020172e-04 2.49982701e-01 2.83893975e-03 1.00000000e+00],[-0.00188602 -0.23062611  0.78335558]
41,[8.12006247e-04 2.49982314e-01 2.86068355e-03 1.00000000e+00],[-0.00197735 -0.2274509   0.78334138]
42,[8.56005066e-04 2.49981916e-01 2.88255813e-03 1.00000000e+00],[-0.00206757 -0.22427674  0.78332742]
43,[9.00009689e-04 2.49981506e-01 2.90456100e-03 1.00000000e+00],[-0.00215666 -0.22110364  0.78331373]
44,[9.44005327e-04 2.49981086e-01 2.92668738e-03 1.00000000e+00],[-0.00224457 -0.21793162  0.78330032]
45,[9.87971061e-04 2.49980655e-01 2.94893086e-03 1.00000000e+00],[-0.00233125 -0.21476066  0.78328721]
