step,action,eef_pos
0,[ 1.08809437e-04 -6.31652052e-06 -4.99999988e-01  1.00000000e+00],[3.06916638e-04 1.52810757e-05 1.29943108e+00]
1,[-3.01234643e-04 -1.49981749e-05 -4.99999909e-01  1.00000000e+00],[1.74759555e-03 4.20830041e-05 1.29626271e+00]
2,[-1.72596665e-03 -4.15621692e-05 -4.99997019e-01  1.00000000e+00],[3.44329383e-03 6.89229636e-05 1.29166792e+00]
3,[-3.43176487e-03 -6.86921932e-05 -4.99988218e-01  1.00000000e+00],[5.04519614e-03 9.09479361e-05 1.28666596e+00]
4,[-5.07880159e-03 -9.15537295e-05 -4.99974197e-01  1.00000000e+00],[6.45407429e-03 1.07309552e-04 1.28143160e+00]
5,[-6.56603853e-03 -1.09171141e-04 -4.99956873e-01  1.00000000e+00],[7.62933453e-03 1.19758915e-04 1.27598177e+00]
6,[-7.84843664e-03 -1.23198197e-04 -4.99938383e-01  1.00000000e+00],[8.56025488e-03 1.29415937e-04 1.27032039e+00]
7,[-8.90956909e-03 -1.34696951e-04 -4.99920595e-01  1.00000000e+00],[9.24955079e-03 1.36874906e-04 1.26445357e+00]
8,[-9.74573042e-03 -1.44217375e-04 -4.99904991e-01  1.00000000e+00],[9.71090353e-03 1.42419337e-04 1.25839417e+00]
9,[-1.03639384e-02 -1.51996695e-04 -4.99892554e-01  1.00000000e+00],[9.96592554e-03 1.46163500e-04 1.25216082e+00]
10,[-1.07793742e-02 -1.58093802e-04 -4.99883767e-01  1.00000000e+00],[1.00408451e-02 1.48136827e-04 1.24577560e+00]
11,[-1.10124467e-02 -1.62471275e-04 -4.99878685e-01  1.00000000e+00],[9.96392188e-03 1.48329618e-04 1.23926210e+00]
12,[-1.10864813e-02 -1.65040790e-04 -4.99877048e-01  1.00000000e+00],[9.76352464e-03 1.46716995e-04 1.23264391e+00]
13,[-1.10259619e-02 -1.65687706e-04 -4.99878386e-01  1.00000000e+00],[9.46674553e-03 1.43267061e-04 1.22594352e+00]
