step,action,eef_pos
0,[-9.67496142e-05  5.06301903e-05  2.49999976e-01  1.00000000e+00],[-5.74133978e-04 -2.02312619e-04  7.92468972e-01]
1,[2.88491328e-04 1.01658216e-04 2.49999813e-01 1.00000000e+00],[-2.61515162e-03 -3.46297092e-04  7.90243220e-01]
2,[1.30819395e-03 1.73230400e-04 2.49996517e-01 1.00000000e+00],[-4.38911125e-03 -5.15834651e-04  7.91754203e-01]
3,[2.20219550e-03 2.58815210e-04 2.49990167e-01 1.00000000e+00],[-5.83466071e-03 -6.95786245e-04  7.94155682e-01]
4,[2.94157403e-03 3.50784193e-04 2.49982448e-01 1.00000000e+00],[-0.00693311 -0.00087247  0.79686631]
5,[3.51446911e-03 4.42263122e-04 2.49974905e-01 1.00000000e+00],[-0.00772584 -0.00103767  0.79974854]
6,[3.93923407e-03 5.29083413e-04 2.49968403e-01 1.00000000e+00],[-0.00826409 -0.00118656  0.80275482]
7,[4.23958912e-03 6.08720491e-04 2.49963308e-01 1.00000000e+00],[-0.00860119 -0.0013085   0.80585554]
8,[4.44072276e-03 6.75569713e-04 2.49959644e-01 1.00000000e+00],[-0.00878661 -0.00140264  0.80902665]
9,[4.56631814e-03 7.28938831e-04 2.49957231e-01 1.00000000e+00],[-0.00886336 -0.00147581  0.81224789]
10,[4.63723449e-03 7.72132477e-04 2.49955796e-01 1.00000000e+00],[-0.0088672  -0.00153642  0.81550257]
11,[4.67104930e-03 8.09354816e-04 2.49955048e-01 1.00000000e+00],[-0.00882667 -0.00158861  0.81877742]
12,[4.68200809e-03 8.42662945e-04 2.49954733e-01 1.00000000e+00],[-0.00876369 -0.00163409  0.82206223]
13,[4.68122977e-03 8.72869025e-04 2.49954644e-01 1.00000000e+00],[-0.0086943  -0.0016742   0.82534953]
14,[4.67702349e-03 9.00622018e-04 2.49954625e-01 1.00000000e+00],[-0.00862961 -0.00171029  0.8286341 ]
15,[4.67527040e-03 9.26587717e-04 2.49954562e-01 1.00000000e+00],[-0.00857665 -0.00174363  0.83191262]
16,[4.67983025e-03 9.51409652e-04 2.49954384e-01 1.00000000e+00],[-0.00853929 -0.00177553  0.83518321]
17,[4.69294275e-03 9.75778400e-04 2.49954044e-01 1.00000000e+00],[-0.008519   -0.00180848  0.83844512]
18,[0.0047156  0.00100107 0.24995352 1.        ],[-0.00851555 -0.00184187  0.84169839]
