step,action,eef_pos
0,[ 2.49900455e-01  4.41749411e-06 -7.05424880e-03  1.00000000e+00],[-2.49456118e-01 -1.11470031e-05  7.94099305e-01]
1,[ 2.49991580e-01  5.57938286e-06 -2.05181560e-03  1.00000000e+00],[-2.48941017e-01 -2.36926331e-05  7.90806559e-01]
2,[ 2.49999673e-01  1.18714444e-05 -4.04134876e-04  1.00000000e+00],[-2.48367437e-01 -3.89031477e-05  7.89508334e-01]
3,[2.49999878e-01 1.95152842e-05 2.46638278e-04 1.00000000e+00],[-2.48669852e-01  1.92404756e-05  7.89263042e-01]
4,[ 2.49999727e-01 -9.64588821e-06  3.69461494e-04  1.00000000e+00],[-2.48163015e-01  2.21591720e-05  7.88993152e-01]
5,[ 2.49999489e-01 -1.11204195e-05  5.05279429e-04  1.00000000e+00],[-2.46798624e-01 -5.26406413e-07  7.88583317e-01]
6,[2.49998984e-01 2.64898214e-07 7.12903032e-04 1.00000000e+00],[-2.45012631e-01 -2.45254246e-05  7.88214396e-01]
7,[2.49998373e-01 1.23861814e-05 9.01791303e-04 1.00000000e+00],[-2.42893814e-01 -4.88363290e-05  7.87923430e-01]
8,[2.49997780e-01 2.47699880e-05 1.05324491e-03 1.00000000e+00],[-2.40486807e-01 -7.32470992e-05  7.87710419e-01]
9,[2.49997274e-01 3.73334712e-05 1.16698120e-03 1.00000000e+00],[-2.37830521e-01 -9.77454087e-05  7.87566781e-01]
10,[2.49996885e-01 5.00912646e-05 1.24694377e-03 1.00000000e+00],[-2.34963290e-01 -1.22345739e-04  7.87482019e-01]
11,[2.49996622e-01 6.30687358e-05 1.29800917e-03 1.00000000e+00],[-2.31922663e-01 -1.47044276e-04  7.87445478e-01]
12,[2.49996476e-01 7.62789421e-05 1.32515363e-03 1.00000000e+00],[-2.28744403e-01 -1.71812174e-04  7.87446966e-01]
13,[2.49996429e-01 8.97189183e-05 1.33317374e-03 1.00000000e+00],[-2.25461571e-01 -1.96599389e-04  7.87477070e-01]
14,[2.49996459e-01 1.03371448e-04 1.32654987e-03 1.00000000e+00],[-2.22103837e-01 -2.21340817e-04  7.87527348e-01]
15,[2.49996544e-01 1.17208197e-04 1.30936110e-03 1.00000000e+00],[-2.18697044e-01 -2.45962477e-04  7.87590435e-01]
16,[2.49996662e-01 1.31193057e-04 1.28522931e-03 1.00000000e+00],[-2.15262994e-01 -2.70386044e-04  7.87660096e-01]
17,[2.49996796e-01 1.45284808e-04 1.25728587e-03 1.00000000e+00],[-2.11819442e-01 -2.94533017e-04  7.87731223e-01]
18,[2.49996932e-01 1.59439695e-04 1.22815828e-03 1.00000000e+00],[-2.08380254e-01 -3.18327527e-04  7.87799796e-01]
19,[2.49997060e-01 1.73613381e-04 1.19997455e-03 1.00000000e+00],[-2.04955700e-01 -3.41697900e-04  7.87862806e-01]
20,[2.49997171e-01 1.87762255e-04 1.17438345e-03 1.00000000e+00],[-2.01552845e-01 -3.64577441e-04  7.87918159e-01]
21,[2.49997262e-01 2.01844287e-04 1.15258816e-03 1.00000000e+00],[-1.98175995e-01 -3.86904190e-04  7.87964559e-01]
22,[2.49997329e-01 2.15819266e-04 1.13539086e-03 1.00000000e+00],[-1.94827178e-01 -4.08619949e-04  7.88001378e-01]
23,[2.49997371e-01 2.29648542e-04 1.12324593e-03 1.00000000e+00],[-1.91506605e-01 -4.29668755e-04  7.88028538e-01]
24,[2.49997389e-01 2.43294361e-04 1.11631462e-03 1.00000000e+00],[-1.88213108e-01 -4.49994931e-04  7.88046387e-01]
25,[2.49997384e-01 2.56718828e-04 1.11452197e-03 1.00000000e+00],[-1.84944554e-01 -4.69540806e-04  7.88055579e-01]
26,[2.49997356e-01 2.69882584e-04 1.11761404e-03 1.00000000e+00],[-1.81698199e-01 -4.88244401e-04  7.88056971e-01]
27,[2.49997308e-01 2.82743328e-04 1.12521203e-03 1.00000000e+00],[-1.78470997e-01 -5.06037134e-04  7.88051531e-01]
28,[2.49997241e-01 2.95254260e-04 1.13686056e-03 1.00000000e+00],[-1.75259830e-01 -5.22841635e-04  7.88040263e-01]
29,[2.49997157e-01 3.07362494e-04 1.15206875e-03 1.00000000e+00],[-1.72061693e-01 -5.38569976e-04  7.88024148e-01]
30,[2.49997057e-01 3.19007651e-04 1.17034361e-03 1.00000000e+00],[-1.68873815e-01 -5.53433712e-04  7.88004099e-01]
31,[2.49996944e-01 3.30306483e-04 1.19121579e-03 1.00000000e+00],[-1.65693750e-01 -5.68197516e-04  7.87980936e-01]
32,[2.49996818e-01 3.41712068e-04 1.21425808e-03 1.00000000e+00],[-1.62519407e-01 -5.82860458e-04  7.87955366e-01]
33,[2.49996680e-01 3.53227452e-04 1.23909733e-03 1.00000000e+00],[-1.59349068e-01 -5.97418954e-04  7.87927976e-01]
34,[2.49996531e-01 3.64854052e-04 1.26542086e-03 1.00000000e+00],[-1.56181378e-01 -6.11904336e-04  7.87899235e-01]
35,[2.49996373e-01 3.76614668e-04 1.29297821e-03 1.00000000e+00],[-1.53015313e-01 -6.26356740e-04  7.87869501e-01]
36,[2.49996205e-01 3.88538110e-04 1.32157931e-03 1.00000000e+00],[-1.49850147e-01 -6.40814261e-04  7.87839032e-01]
37,[2.49996028e-01 4.00652647e-04 1.35108989e-03 1.00000000e+00],[-1.46685405e-01 -6.55308912e-04  7.87807999e-01]
38,[2.49995842e-01 4.12983440e-04 1.38142513e-03 1.00000000e+00],[-1.43520817e-01 -6.69865502e-04  7.87776502e-01]
39,[2.49995647e-01 4.25551718e-04 1.41254233e-03 1.00000000e+00],[-1.40356272e-01 -6.84501483e-04  7.87744585e-01]
40,[2.49995443e-01 4.38374540e-04 1.44443314e-03 1.00000000e+00],[-1.37191783e-01 -6.99227494e-04  7.87712248e-01]
