step,action,eef_pos
0,[ 5.42131221e-04  9.99810201e-01 -1.94747909e-02  1.00000000e+00],[-0.00112563 -0.34543096  0.79179076]
1,[ 0.0016186   0.99999537 -0.00257503  1.        ],[-0.00186702 -0.3373892   0.78729012]
2,[0.00271607 0.99998854 0.00394223 1.        ],[-0.00182825 -0.32880025  0.78743839]
3,[0.00269332 0.99998925 0.00377369 1.        ],[-0.00160497 -0.31943166  0.78844526]
4,[0.0023975  0.99999443 0.00232247 1.        ],[-0.00133431 -0.30921908  0.78942482]
5,[2.02407849e-03 9.99997571e-01 8.72518459e-04 1.00000000e+00],[-0.00111924 -0.29823499  0.79019988]
6,[ 1.72659193e-03  9.99998462e-01 -3.08346501e-04  1.00000000e+00],[-0.00104016 -0.2865976   0.79074623]
7,[ 0.00163393  0.99999798 -0.00117222  1.        ],[-0.00114677 -0.27444236  0.7910779 ]
8,[ 0.00183646  0.99999682 -0.00172618  1.        ],[-0.00145831 -0.26190379  0.79122149]
9,[ 0.00238322  0.99999517 -0.0019962   1.        ],[-0.00197    -0.24910389  0.79120813]
10,[ 0.00328822  0.99999256 -0.00201655  1.        ],[-0.0026611  -0.23614655  0.79106958]
11,[ 0.00453994  0.99998803 -0.00182474  1.        ],[-0.00350191 -0.22311576  0.7908358 ]
12,[ 0.00611018  0.99998027 -0.00145832  1.        ],[-0.00445903 -0.21007598  0.79053352]
13,[ 7.96121184e-03  9.99967855e-01 -9.52546414e-04  1.00000000e+00],[-0.00549893 -0.19707394  0.79018541]
14,[ 1.00510173e-02  9.99949430e-01 -3.38894710e-04  1.00000000e+00],[-0.00659008 -0.18414088  0.78981   ]
15,[1.23367882e-02 9.99923836e-01 3.55680765e-04 1.00000000e+00],[-0.00770405 -0.1712952   0.78942187]
16,[0.01477705 0.9998902  0.0011089  1.        ],[-0.00881584 -0.15854492  0.78903218]
17,[0.01733278 0.99984797 0.00190283 1.        ],[-0.00990384 -0.14588995  0.78864924]
18,[0.01996779 0.99979691 0.00272336 1.        ],[-0.01094962 -0.13332401  0.78827917]
19,[0.02264886 0.99973715 0.00355947 1.        ],[-0.01193763 -0.12083618  0.7879264 ]
20,[0.02534572 0.99966905 0.00440262 1.        ],[-0.01285499 -0.10841226  0.78759412]
21,[0.02803101 0.99959329 0.00524615 1.        ],[-0.01369129 -0.09603573  0.78728461]
22,[0.03068047 0.99951072 0.00608485 1.        ],[-0.01443862 -0.08368869  0.78699945]
23,[0.03327337 0.99942237 0.00691467 1.        ],[-0.01509161 -0.07135256  0.78673965]
24,[0.03579303 0.99932931 0.00773264 1.        ],[-0.01564744 -0.05900879  0.78650568]
25,[0.03822762 0.99923259 0.00853682 1.        ],[-0.01610592 -0.04663947  0.7862976 ]
26,[0.04057074 0.99913314 0.00932633 1.        ],[-0.01646937 -0.03422794  0.78611498]
27,[0.04282205 0.99903165 0.01010145 1.        ],[-0.0167425 -0.0217592  0.785957 ]
28,[0.04498761 0.99892847 0.01086366 1.        ],[-0.01693195 -0.00921784  0.78582298]
29,[0.04708014 0.99882359 0.01161441 1.        ],[-0.0170443   0.00340525  0.78572758]
30,[0.04911338 0.99871733 0.01231103 1.        ],[-0.01713151  0.01611475  0.78565453]
31,[0.05123785 0.99860191 0.01299666 1.        ],[-0.01721246  0.02891074  0.78558349]
32,[0.05352455 0.99847209 0.01373377 1.        ],[-0.01728687  0.04178949  0.78551077]
33,[0.05599394 0.99832522 0.01454108 1.        ],[-0.01735451  0.05474699  0.78543714]
34,[0.05867019 0.99815823 0.01542561 1.        ],[-0.01741491  0.0677799   0.78536435]
35,[0.0615814  0.99796745 0.01639225 1.        ],[-0.01746743  0.08088459  0.78529427]
36,[0.06476067 0.9977483  0.01744656 1.        ],[-0.01751138  0.09405696  0.78522856]
37,[0.06824766 0.99749509 0.0185959  1.        ],[-0.01754597  0.10729257  0.78516867]
38,[0.0720903  0.99720056 0.01985028 1.        ],[-0.01757003  0.12058601  0.78511582]
39,[0.07634573 0.99685552 0.02122286 1.        ],[-0.01758205  0.13393264  0.78507116]
40,[0.08108398 0.99644805 0.02273055 1.        ],[-0.01757905  0.14732459  0.78503575]
41,[0.08638487 0.99596313 0.02439472 1.        ],[-0.01755672  0.16075305  0.78501064]
42,[0.09234299 0.99538139 0.0262425  1.        ],[-0.01750916  0.17420849  0.78499703]
43,[0.0990717  0.99467756 0.0283082  1.        ],[-0.01742859  0.18768064  0.78499636]
44,[0.10670845 0.99381828 0.03063536 1.        ],[-0.01730497  0.2011586   0.78501047]
45,[0.11542259 0.99275883 0.03327973 1.        ],[-0.01712561  0.21463071  0.78504179]
46,[0.1254271  0.99143803 0.03631366 1.        ],[-0.01687466  0.22808458  0.78509355]
47,[0.13699696 0.98977026 0.03983298 1.        ],[-0.01653257  0.24150692  0.78517002]
48,[0.15049899 0.98763194 0.04396817 1.        ],[-0.01607526  0.25488329  0.78527684]
