step,action,eef_pos
0,[ 5.26913991e-05  1.63881931e-05 -9.99999998e-01  1.00000000e+00],[ 5.74721318e-04 -1.93826789e-05  1.30352111e+00]
1,[-1.11917689e-03  3.77446350e-05 -9.99999373e-01  1.00000000e+00],[ 2.59845308e-03 -1.99146250e-05  1.29508591e+00]
2,[-5.14450839e-03  3.94276719e-05 -9.99986766e-01  1.00000000e+00],[ 4.91599748e-03 -2.15102485e-05  1.28473278e+00]
3,[-9.93618167e-03  4.34763723e-05 -9.99950634e-01  1.00000000e+00],[ 7.00604395e-03 -2.44159263e-05  1.27375164e+00]
4,[-1.44812105e-02  5.04667357e-05 -9.99895141e-01  1.00000000e+00],[ 8.72185258e-03 -2.76989482e-05  1.26238268e+00]
5,[-1.84603854e-02  5.86266797e-05 -9.99829591e-01  1.00000000e+00],[ 1.00180336e-02 -3.10271346e-05  1.25067096e+00]
6,[-2.17414739e-02  6.73361323e-05 -9.99763624e-01  1.00000000e+00],[ 1.08826007e-02 -3.40179157e-05  1.23862831e+00]
7,[-2.42503653e-02  7.58042037e-05 -9.99705914e-01  1.00000000e+00],[ 1.13247627e-02 -3.62218002e-05  1.22626827e+00]
8,[-2.59495127e-02  8.29984779e-05 -9.99663251e-01  1.00000000e+00],[ 1.13735279e-02 -3.74633218e-05  1.21361483e+00]
9,[-2.68390763e-02  8.84053707e-05 -9.99639763e-01  1.00000000e+00],[ 1.10717008e-02 -3.75497427e-05  1.20069998e+00]
10,[-2.69483330e-02  9.13954408e-05 -9.99636824e-01  1.00000000e+00],[ 1.04703392e-02 -3.69315361e-05  1.18756031e+00]
11,[-2.63273515e-02  9.28632311e-05 -9.99653371e-01  1.00000000e+00],[ 9.62438308e-03 -3.67445876e-05  1.17423412e+00]
12,[-2.50403721e-02  9.56007400e-05 -9.99686436e-01  1.00000000e+00],[ 8.58919355e-03 -3.68425781e-05  1.16075912e+00]
13,[-2.31602923e-02  9.93440041e-05 -9.99731760e-01  1.00000000e+00],[ 7.41796293e-03 -3.64595350e-05  1.14717070e+00]
14,[-2.07641991e-02  1.02056730e-04 -9.99784396e-01  1.00000000e+00],[ 6.15983084e-03 -3.47668363e-05  1.13350070e+00]
15,[-1.79296305e-02  1.01197021e-04 -9.99839246e-01  1.00000000e+00],[ 4.85858466e-03 -3.21518653e-05  1.11977660e+00]
16,[-1.47313587e-02  9.74853160e-05 -9.99891483e-01  1.00000000e+00],[ 3.55186100e-03 -3.01181698e-05  1.10602118e+00]
17,[-1.12386033e-02  9.52982574e-05 -9.99936840e-01  1.00000000e+00],[ 2.27077738e-03 -2.94244660e-05  1.09225241e+00]
18,[-7.51263910e-03  9.73478932e-05 -9.99971775e-01  1.00000000e+00],[ 1.03992976e-03 -3.27393479e-05  1.07848373e+00]
19,[-3.60478912e-03  1.13486938e-04 -9.99993496e-01  1.00000000e+00],[-1.22303448e-04 -4.31036318e-05  1.06472439e+00]
20,[ 4.45185929e-04  1.56897705e-04 -9.99999889e-01  1.00000000e+00],[-1.20321687e-03 -5.93618759e-05  1.05098009e+00]
21,[ 4.61032892e-03  2.27455066e-04 -9.99989347e-01  1.00000000e+00],[-2.19505022e-03 -7.98400453e-05  1.03725353e+00]
22,[ 8.87738043e-03  3.22894871e-04 -9.99960543e-01  1.00000000e+00],[-3.09413527e-03 -1.05544662e-04  1.02354511e+00]
23,[ 1.32473913e-02  4.51884393e-04 -9.99912147e-01  1.00000000e+00],[-3.92164641e-03 -1.37305459e-04  1.00984387e+00]
24,[ 1.78354841e-02  6.24459495e-04 -9.99840740e-01  1.00000000e+00],[-4.68803209e-03 -1.75004235e-04  9.96144739e-01]
25,[ 2.27355722e-02  8.48718896e-04 -9.99741153e-01  1.00000000e+00],[-5.38231524e-03 -2.18921404e-04  9.82449938e-01]
26,[ 0.0279564  0.0011371 -0.9996085  1.       ],[-6.00436255e-03 -2.67762683e-04  9.68756829e-01]
27,[ 0.03357059  0.00149707 -0.99943523  1.        ],[-6.55433167e-03 -3.19874843e-04  9.55063102e-01]
28,[ 0.03967669  0.00193636 -0.99921069  1.        ],[-7.03134205e-03 -3.73617237e-04  9.41366935e-01]
29,[ 0.04640212  0.00246562 -0.9989198   1.        ],[-7.43299007e-03 -4.27042417e-04  9.27666988e-01]
30,[ 0.05391375  0.00309747 -0.99854079  1.        ],[-7.75488840e-03 -4.77903896e-04  9.13962429e-01]
31,[ 0.06243586  0.00384768 -0.99804156  1.        ],[-7.99009686e-03 -5.23718460e-04  9.00252975e-01]
32,[ 0.07228021  0.00473767 -0.99737311  1.        ],[-8.12834113e-03 -5.60395680e-04  8.86538958e-01]
