step,action,eef_pos
0,[ 1.93116803e-04 -2.58238228e-05  4.99999962e-01  1.00000000e+00],[-1.36504084e-03  3.05670259e-05  7.96062870e-01]
1,[ 1.38179086e-03 -3.09421051e-05  4.99998090e-01  1.00000000e+00],[-4.08093776e-03  6.53536385e-05  7.94381922e-01]
2,[ 4.11687907e-03 -6.59292160e-05  4.99983047e-01  1.00000000e+00],[-6.41499201e-03  9.40952823e-05  7.98261702e-01]
3,[ 6.52221529e-03 -9.56680363e-05  4.99957450e-01  1.00000000e+00],[-8.41679474e-03  1.12711100e-04  8.03563470e-01]
4,[ 8.65018796e-03 -1.15836519e-04  4.99925155e-01  1.00000000e+00],[-1.00213483e-02  1.27894989e-04  8.09297362e-01]
5,[ 1.04213813e-02 -1.33000311e-04  4.99891365e-01  1.00000000e+00],[-1.12474169e-02  1.50375312e-04  8.15251874e-01]
6,[ 1.18423439e-02 -1.58329346e-04  4.99859714e-01  1.00000000e+00],[-1.21420625e-02  1.74948818e-04  8.21366298e-01]
7,[ 1.29504004e-02 -1.86595750e-04  4.99832224e-01  1.00000000e+00],[-1.27631951e-02  1.92944294e-04  8.27607114e-01]
8,[ 1.37959894e-02 -2.08557293e-04  4.99809591e-01  1.00000000e+00],[-1.31683244e-02  2.06154530e-04  8.33946858e-01]
9,[ 1.44312535e-02 -2.25926108e-04  4.99791644e-01  1.00000000e+00],[-1.34097940e-02  2.18015535e-04  8.40361277e-01]
10,[ 1.49051139e-02 -2.42326347e-04  4.99777729e-01  1.00000000e+00],[-1.35328315e-02  2.29642320e-04  8.46829386e-01]
11,[ 1.52610803e-02 -2.58969446e-04  4.99766978e-01  1.00000000e+00],[-1.35749547e-02  2.39338231e-04  8.53333650e-01]
12,[ 1.55363445e-02 -2.73919235e-04  4.99758489e-01  1.00000000e+00],[-1.35660908e-02  2.46523524e-04  8.59859951e-01]
13,[ 1.57615485e-02 -2.86419467e-04  4.99751430e-01  1.00000000e+00],[-1.35291842e-02  2.50940387e-04  8.66397349e-01]
14,[ 1.59610507e-02 -2.96046842e-04  4.99745092e-01  1.00000000e+00],[-1.34810315e-02  2.52269893e-04  8.72937718e-01]
15,[ 1.61534529e-02 -3.02278786e-04  4.99738906e-01  1.00000000e+00],[-1.34332241e-02  2.50161567e-04  8.79475332e-01]
16,[ 1.63522885e-02 -3.04522138e-04  4.99732438e-01  1.00000000e+00],[-1.33931060e-02  2.44280253e-04  8.86006449e-01]
17,[ 1.65667865e-02 -3.02165817e-04  4.99725375e-01  1.00000000e+00],[-1.33646861e-02  2.34337865e-04  8.92528912e-01]
18,[ 1.68026500e-02 -2.94619500e-04  4.99717504e-01  1.00000000e+00],[-1.33494634e-02  2.20110987e-04  8.99041777e-01]
19,[ 1.70628026e-02 -2.81337923e-04  4.99708697e-01  1.00000000e+00],[-1.33471446e-02  2.01375856e-04  9.05544995e-01]
20,[ 1.73480725e-02 -2.61740098e-04  4.99698885e-01  1.00000000e+00],[-1.33562293e-02  1.78012236e-04  9.12039148e-01]
21,[ 1.76577763e-02 -2.35343387e-04  4.99688050e-01  1.00000000e+00],[-1.33744889e-02  1.50475041e-04  9.18525225e-01]
22,[ 1.79902226e-02 -2.02406200e-04  4.99676206e-01  1.00000000e+00],[-1.33993517e-02  1.19058159e-04  9.25004426e-01]
23,[ 1.83431416e-02 -1.62985547e-04  4.99663389e-01  1.00000000e+00],[-1.34281817e-02  8.38150235e-05  9.31478024e-01]
24,[ 1.87140168e-02 -1.16807755e-04  4.99649649e-01  1.00000000e+00],[-1.34584709e-02  4.47071603e-05  9.37947257e-01]
25,[ 1.91003303e-02 -6.34486289e-05  4.99635040e-01  1.00000000e+00],[-1.34879598e-02  2.96811943e-06  9.44413271e-01]
26,[ 1.94997339e-02 -4.29105218e-06  4.99619616e-01  1.00000000e+00],[-1.35146984e-02 -3.86893048e-05  9.50877075e-01]
27,[1.99101538e-02 5.69979431e-05 4.99603425e-01 1.00000000e+00],[-1.35370704e-02 -8.03266976e-05  9.57339515e-01]
28,[2.03298500e-02 1.20633909e-04 4.99586512e-01 1.00000000e+00],[-1.35537910e-02 -1.21903837e-04  9.63801271e-01]
29,[2.07574462e-02 1.86694064e-04 4.99568908e-01 1.00000000e+00],[-1.35638802e-02 -1.63277081e-04  9.70262861e-01]
30,[2.11919234e-02 2.55100706e-04 4.99550635e-01 1.00000000e+00],[-1.35666219e-02 -2.03604761e-04  9.76724666e-01]
31,[2.16325929e-02 3.24657010e-04 4.99531706e-01 1.00000000e+00],[-1.35615205e-02 -2.41985400e-04  9.83186942e-01]
32,[2.20790599e-02 3.93968370e-04 4.99512122e-01 1.00000000e+00],[-1.35482627e-02 -2.77608400e-04  9.89649842e-01]
33,[2.25311922e-02 4.61671607e-04 4.99491874e-01 1.00000000e+00],[-1.35266777e-02 -3.09819390e-04  9.96113432e-01]
34,[2.29890822e-02 5.26549357e-04 4.99470945e-01 1.00000000e+00],[-1.34967003e-02 -3.38232990e-04  1.00257771e+00]
