step,action,eef_pos
0,[ 4.99765840e-01  1.57819177e-04 -1.52996701e-02  1.00000000e+00],[-2.49217503e-01 -1.52768176e-04  7.94667063e-01]
1,[ 4.99978128e-01  1.53000939e-04 -4.67417366e-03  1.00000000e+00],[-2.46587212e-01 -3.07555299e-04  7.90976025e-01]
2,[ 4.99998938e-01  3.09668311e-04 -9.82730760e-04  1.00000000e+00],[-2.43872870e-01 -4.09821465e-04  7.89347922e-01]
3,[4.99999392e-01 4.14905324e-04 6.60166738e-04 1.00000000e+00],[-2.42885805e-01 -3.50537562e-04  7.88912135e-01]
4,[4.99998656e-01 3.55596181e-04 1.10356421e-03 1.00000000e+00],[-2.39991482e-01 -3.34908039e-04  7.88334892e-01]
5,[4.99996996e-01 3.41746785e-04 1.69910937e-03 1.00000000e+00],[-2.36184934e-01 -2.91093668e-04  7.87687333e-01]
6,[4.99994254e-01 2.99361727e-04 2.37835510e-03 1.00000000e+00],[-2.31826052e-01 -2.11697214e-04  7.87140551e-01]
7,[4.99991147e-01 2.19678311e-04 2.96725140e-03 1.00000000e+00],[-2.26986332e-01 -1.08056264e-04  7.86731134e-01]
8,[4.99988246e-01 1.13267107e-04 3.42650150e-03 1.00000000e+00],[-2.21708100e-01  1.14026989e-05  7.86458482e-01]
9,[ 4.99985908e-01 -1.20862643e-05  3.75382330e-03  1.00000000e+00],[-2.16036431e-01  1.41534430e-04  7.86311035e-01]
10,[ 4.99984313e-01 -1.51844341e-04  3.95768381e-03  1.00000000e+00],[-2.10021928e-01  2.77880002e-04  7.86273018e-01]
11,[ 4.99983500e-01 -3.02019116e-04  4.05074024e-03  1.00000000e+00],[-2.03718826e-01  4.16287134e-04  7.86326750e-01]
12,[ 4.99983405e-01 -4.58734896e-04  4.04780214e-03  1.00000000e+00],[-1.97182442e-01  5.52858991e-04  7.86453878e-01]
13,[ 4.99983898e-01 -6.18138297e-04  3.96483349e-03  1.00000000e+00],[-1.90466771e-01  6.83938343e-04  7.86636296e-01]
14,[ 4.99984818e-01 -7.76355472e-04  3.81822415e-03  1.00000000e+00],[-0.1836224   0.00079715  0.78685689]
15,[ 4.99986021e-01 -9.19151570e-04  3.62414599e-03  1.00000000e+00],[-0.17669492  0.00088794  0.7871001 ]
16,[ 0.49998737 -0.00104046  0.00339801  1.        ],[-0.16972381  0.00095825  0.78735234]
17,[ 0.49998875 -0.0011415   0.00315398  1.        ],[-0.16274175  0.00101401  0.78760224]
18,[ 0.49999005 -0.00122836  0.00290462  1.        ],[-0.15577442  0.00106473  0.7878408 ]
19,[ 0.4999912  -0.00131195  0.00266054  1.        ],[-0.14884074  0.0011142   0.78806132]
20,[ 0.49999214 -0.00139677  0.00243035  1.        ],[-0.14195337  0.00116145  0.78825927]
21,[ 0.49999287 -0.0014816   0.00222055  1.        ],[-0.13511958  0.00120431  0.78843204]
22,[ 0.49999341 -0.00156353  0.00203565  1.        ],[-0.12834219  0.00124218  0.78857867]
23,[ 0.49999378 -0.00164159  0.00187834  1.        ],[-0.12162047  0.00127511  0.78869952]
24,[ 0.499994   -0.00171559  0.00174972  1.        ],[-0.11494659  0.00130354  0.7888081 ]
25,[ 0.49999414 -0.00178591  0.00163296  1.        ],[-0.10831421  0.00132817  0.78890639]
26,[ 0.49999424 -0.00185334  0.00152603  1.        ],[-0.10171763  0.00134995  0.78898913]
27,[ 0.49999425 -0.00191906  0.00143703  1.        ],[-0.09515094  0.00136996  0.78905714]
28,[ 0.4999942  -0.00198456  0.00136585  1.        ],[-0.08860907  0.00138939  0.78911223]
29,[ 0.49999407 -0.00205159  0.0013109   1.        ],[-0.08208766  0.00140944  0.7891562 ]
30,[ 0.49999388 -0.00212206  0.00127043  1.        ],[-0.07558299  0.00143131  0.78919069]
31,[ 0.49999362 -0.00219804  0.00124285  1.        ],[-0.06909207  0.00145616  0.78921704]
32,[ 0.49999329 -0.0022817   0.00122683  1.        ],[-0.06261255  0.00148194  0.78923635]
33,[ 0.49999289 -0.00237022  0.00122138  1.        ],[-0.05614265  0.00150517  0.78924946]
34,[ 0.49999245 -0.00245825  0.00122578  1.        ],[-0.04968116  0.00152445  0.78925699]
35,[ 0.49999199 -0.00254341  0.00123964  1.        ],[-0.04322728  0.00153848  0.78925937]
