step,action,eef_pos
0,[ 2.81154966e-04 -3.53277380e-06 -9.99999960e-01  1.00000000e+00],[4.72216679e-04 1.16358591e-06 1.29379678e+00]
1,[-9.37315374e-04 -2.30963244e-06 -9.99999561e-01  1.00000000e+00],[2.43535678e-03 1.77391554e-06 1.28526585e+00]
2,[-4.91721232e-03 -3.58170081e-06 -9.99987910e-01  1.00000000e+00],[4.67635554e-03 2.39650202e-06 1.27480711e+00]
3,[-9.64535780e-03 -4.94297734e-06 -9.99953482e-01  1.00000000e+00],[6.68861789e-03 2.64214628e-06 1.26372560e+00]
4,[-1.41177747e-02 -5.57682117e-06 -9.99900339e-01  1.00000000e+00],[8.32997918e-03 2.58534403e-06 1.25226498e+00]
5,[-1.80169975e-02 -5.59186714e-06 -9.99837681e-01  1.00000000e+00],[9.55732465e-03 2.27423285e-06 1.24047145e+00]
6,[-2.12114981e-02 -5.04742568e-06 -9.99775011e-01  1.00000000e+00],[1.03604297e-02 1.70094055e-06 1.22835760e+00]
7,[-2.36280542e-02 -3.87917458e-06 -9.99720819e-01  1.00000000e+00],[1.07501283e-02 8.12000232e-07 1.21593767e+00]
8,[-2.52307013e-02 -1.90577589e-06 -9.99681655e-01  1.00000000e+00],[ 1.07565144e-02 -4.91842509e-07  1.20323578e+00]
9,[-2.60211551e-02  1.18981946e-06 -9.99661392e-01  1.00000000e+00],[ 1.04229309e-02 -2.36174445e-06  1.19028360e+00]
10,[-2.60300429e-02  5.89817872e-06 -9.99661161e-01  1.00000000e+00],[ 9.80052646e-03 -5.22602465e-06  1.17711699e+00]
11,[-2.53085949e-02  1.34955343e-05 -9.99679686e-01  1.00000000e+00],[ 8.94395094e-03 -7.85907046e-06  1.16377323e+00]
12,[-2.39219684e-02  2.10202892e-05 -9.99713829e-01  1.00000000e+00],[ 7.90797404e-03 -9.38762781e-06  1.15028877e+00]
13,[-2.19437034e-02  2.60495697e-05 -9.99759208e-01  1.00000000e+00],[ 6.74496353e-03 -1.01737115e-05  1.13669761e+00]
14,[-1.94512082e-02  2.93390735e-05 -9.99810807e-01  1.00000000e+00],[ 5.50305930e-03 -1.01931336e-05  1.12303017e+00]
15,[-1.65219510e-02  3.06030600e-05 -9.99863503e-01  1.00000000e+00],[ 4.22492749e-03 -9.37262075e-06  1.10931254e+00]
16,[-1.32301654e-02  2.93499291e-05 -9.99912477e-01  1.00000000e+00],[ 2.94701320e-03 -7.62541034e-06  1.09556617e+00]
17,[-9.64398694e-03  2.49538610e-05 -9.99953495e-01  1.00000000e+00],[ 1.69922305e-03 -5.42339442e-06  1.08180786e+00]
18,[-5.82298997e-03  1.85851830e-05 -9.99983046e-01  1.00000000e+00],[ 5.04973849e-04 -8.01214582e-06  1.06805000e+00]
19,[-1.81612304e-03  2.88154380e-05 -9.99998350e-01  1.00000000e+00],[-6.18454882e-04 -1.90443323e-05  1.05430103e+00]
20,[ 2.33995758e-03  7.20552639e-05 -9.99997260e-01  1.00000000e+00],[-1.65933441e-03 -4.06565286e-05  1.04056596e+00]
21,[ 6.62220053e-03  1.62255229e-04 -9.99978060e-01  1.00000000e+00],[-2.61071224e-03 -7.16754889e-05  1.02684704e+00]
22,[ 1.10221073e-02  3.02605134e-04 -9.99939209e-01  1.00000000e+00],[-3.47973998e-03 -1.10758678e-04  1.01313976e+00]
23,[ 1.55925442e-02  4.96304205e-04 -9.99878306e-01  1.00000000e+00],[-4.29106846e-03 -1.55192242e-04  9.99432722e-01]
24,[ 2.04847018e-02  7.40856697e-04 -9.99789892e-01  1.00000000e+00],[-5.02992504e-03 -2.03157413e-04  9.85730614e-01]
25,[ 0.02568971  0.0010376  -0.99966943  1.        ],[-5.69433125e-03 -2.53222999e-04  9.72031431e-01]
26,[ 0.03126681  0.00139041 -0.99951011  1.        ],[-6.28425351e-03 -3.03307023e-04  9.58332887e-01]
27,[ 0.03730625  0.00180057 -0.99930226  1.        ],[-6.79905369e-03 -3.48544218e-04  9.44633077e-01]
28,[ 0.0439264   0.00225183 -0.99903223  1.        ],[-7.23684629e-03 -3.84465680e-04  9.30930505e-01]
29,[ 0.0512827   0.00272445 -0.99868046  1.        ],[-7.59400500e-03 -4.06947584e-04  9.17224105e-01]
30,[ 0.05958363  0.00319297 -0.99821821  1.        ],[-7.86456034e-03 -4.11003232e-04  9.03513331e-01]
31,[ 0.069117    0.00361207 -0.99760202  1.        ],[-8.03942736e-03 -3.95439376e-04  8.89798244e-01]
