step,action,eef_pos
0,[-1.16827404e-03  6.01172265e-05  9.99999316e-01  1.00000000e+00],[-1.49511073e-03 -5.89578949e-05  7.88703721e-01]
1,[2.98247590e-03 1.17610353e-04 9.99995545e-01 1.00000000e+00],[-5.85150626e-03 -5.04039184e-05  7.87196392e-01]
2,[1.16369690e-02 1.00238949e-04 9.99932283e-01 1.00000000e+00],[-9.72886483e-03 -2.43887537e-05  7.93897523e-01]
3,[1.96068254e-02 4.91512671e-05 9.99807767e-01 1.00000000e+00],[-1.31281641e-02 -9.77859817e-06  8.04479765e-01]
4,[2.70294967e-02 2.01330959e-05 9.99634636e-01 1.00000000e+00],[-1.60551220e-02  1.49977190e-06  8.16002579e-01]
5,[ 3.38523360e-02 -3.16227944e-06  9.99426845e-01  1.00000000e+00],[-1.84588413e-02  2.53313615e-06  8.27873729e-01]
6,[ 3.99114589e-02 -5.47711298e-06  9.99203220e-01  1.00000000e+00],[-2.03609090e-02 -2.08471092e-05  8.39968858e-01]
7,[4.51970987e-02 4.62763649e-05 9.98978088e-01 1.00000000e+00],[-2.18176056e-02 -6.48037318e-05  8.52246235e-01]
8,[4.97781169e-02 1.47853426e-04 9.98760290e-01 1.00000000e+00],[-2.28971982e-02 -1.23611385e-04  8.64676003e-01]
9,[5.37568756e-02 2.90208513e-04 9.98554012e-01 1.00000000e+00],[-2.36678020e-02 -1.91881812e-04  8.77230049e-01]
10,[5.72449330e-02 4.64101460e-04 9.98360056e-01 1.00000000e+00],[-2.41918848e-02 -2.67592805e-04  8.89881916e-01]
11,[6.03516383e-02 6.67565355e-04 9.98176955e-01 1.00000000e+00],[-2.45238609e-02 -3.49794866e-04  9.02607763e-01]
12,[6.31784942e-02 9.01143300e-04 9.98001837e-01 1.00000000e+00],[-2.47092610e-02 -4.38408280e-04  9.15386987e-01]
13,[0.06581637 0.00116776 0.99783107 1.        ],[-2.47847974e-02 -5.33813769e-04  9.28202423e-01]
14,[0.06834435 0.001472   0.99766071 1.        ],[-2.47789365e-02 -6.33571614e-04  9.41040275e-01]
15,[0.07082955 0.00181104 0.99748679 1.        ],[-2.47127667e-02 -7.31216882e-04  9.53889886e-01]
16,[0.07332769 0.00216967 0.99730554 1.        ],[-2.46010798e-02 -8.19830548e-04  9.66743366e-01]
17,[0.07588419 0.00252884 0.99711343 1.        ],[-2.44535062e-02 -8.93591505e-04  9.79595133e-01]
18,[0.07853574 0.00286989 0.99690717 1.        ],[-2.42756120e-02 -9.48666015e-04  9.92441422e-01]
19,[0.08131207 0.00317759 0.99668363 1.        ],[-2.40698888e-02 -9.83603104e-04  1.00527981e+00]
20,[0.08423777 0.00344233 0.99643974 1.        ],[-2.38365957e-02 -9.99178227e-04  1.01810878e+00]
21,[0.08733404 0.00366085 0.99617236 1.        ],[-2.35747851e-02 -9.97801156e-04  1.03092719e+00]
22,[0.09062167 0.00383556 0.99587801 1.        ],[-2.33068883e-02 -9.82704691e-04  1.04372151e+00]
23,[0.09421461 0.00397244 0.99554399 1.        ],[-2.30301614e-02 -9.56768941e-04  1.05648773e+00]
24,[0.09814806 0.00407748 0.99516347 1.        ],[-2.27285303e-02 -9.17238041e-04  1.06922871e+00]
25,[0.10240842 0.00413282 0.99473385 1.        ],[-2.23944988e-02 -8.78004509e-04  1.08194428e+00]
26,[0.10701792 0.00419577 0.99424824 1.        ],[-2.20209276e-02 -8.48216059e-04  1.09463433e+00]
27,[0.11200614 0.00431432 0.99369815 1.        ],[-2.16004293e-02 -8.26527034e-04  1.10729860e+00]
28,[0.11740914 0.00449259 0.99307347 1.        ],[-2.11254028e-02 -8.11447995e-04  1.11993654e+00]
29,[0.12327186 0.004735   0.99236164 1.        ],[-2.05879964e-02 -7.98163364e-04  1.13254715e+00]
30,[0.12965128 0.00502637 0.99154691 1.        ],[-1.99800059e-02 -7.83003278e-04  1.14512900e+00]
31,[0.13662067 0.00535407 0.99060897 1.        ],[-1.92926980e-02 -7.64193570e-04  1.15768015e+00]
32,[0.14427563 0.00571483 0.98952104 1.        ],[-1.85165613e-02 -7.40585849e-04  1.17019805e+00]
33,[0.15274322 0.0061091  0.98824703 1.        ],[-1.76409778e-02 -7.11367739e-04  1.18267948e+00]
34,[0.16219641 0.00654053 0.98673682 1.        ],[-1.66537771e-02 -6.75938657e-04  1.19512036e+00]
