step,action,eef_pos
0,[ 2.49881922e-01  1.11485482e-05 -7.68277599e-03  1.00000000e+00],[-2.50163543e-01 -1.37245657e-05  7.95161071e-01]
1,[ 2.49986691e-01  6.85967384e-06 -2.57955442e-03  1.00000000e+00],[-2.49661359e-01 -2.96372922e-05  7.91791754e-01]
2,[ 2.49998392e-01  1.48285939e-05 -8.96478382e-04  1.00000000e+00],[-2.49052938e-01 -2.99314191e-05  7.90470725e-01]
3,[ 2.49999888e-01  1.49941036e-05 -2.35809058e-04  1.00000000e+00],[-2.48257848e-01 -1.98549654e-05  7.89688602e-01]
4,[2.49999951e-01 9.96219207e-06 1.56243214e-04 1.00000000e+00],[-2.47140862e-01 -7.47358418e-06  7.89088669e-01]
5,[2.49999580e-01 3.75827667e-06 4.58285373e-04 1.00000000e+00],[-2.45657789e-01  4.81771763e-06  7.88607591e-01]
6,[ 2.49999014e-01 -2.42995204e-06  7.02300947e-04  1.00000000e+00],[-2.43819934e-01  1.58372235e-05  7.88230450e-01]
7,[ 2.49998395e-01 -8.01766027e-06  8.95842020e-04  1.00000000e+00],[-2.41656936e-01  2.47947024e-05  7.87946316e-01]
8,[ 2.49997819e-01 -1.26076153e-05  1.04425785e-03  1.00000000e+00],[-2.39205181e-01  3.11394614e-05  7.87744115e-01]
9,[ 2.49997341e-01 -1.59131237e-05  1.15281950e-03  1.00000000e+00],[-2.36503963e-01  3.45123156e-05  7.87612311e-01]
10,[ 2.49996989e-01 -1.77346448e-05  1.22694789e-03  1.00000000e+00],[-2.33593266e-01  3.47150645e-05  7.87539294e-01]
11,[ 2.49996763e-01 -1.79461840e-05  1.27207854e-03  1.00000000e+00],[-2.30512139e-01  3.16844020e-05  7.87513799e-01]
12,[ 2.49996653e-01 -1.64844836e-05  1.29349875e-03  1.00000000e+00],[-2.27297457e-01  2.54676022e-05  7.87525247e-01]
13,[ 2.49996639e-01 -1.33393021e-05  1.29621452e-03  1.00000000e+00],[-2.23982991e-01  1.65494517e-05  7.87563978e-01]
14,[ 2.49996698e-01 -8.72881169e-06  1.28485070e-03  1.00000000e+00],[-2.20598761e-01  6.19926303e-06  7.87621414e-01]
15,[ 2.49996807e-01 -3.29324276e-06  1.26357919e-03  1.00000000e+00],[-2.17170653e-01 -5.23292622e-06  7.87690151e-01]
16,[2.49996944e-01 2.80029483e-06 1.23606929e-03 1.00000000e+00],[-2.13720275e-01 -1.75812062e-05  7.87763985e-01]
17,[2.49997094e-01 9.47823653e-06 1.20546212e-03 1.00000000e+00],[-2.10264998e-01 -3.07061714e-05  7.87837902e-01]
18,[2.49997241e-01 1.66783444e-05 1.17436383e-03 1.00000000e+00],[-2.06818181e-01 -4.44892290e-05  7.87908013e-01]
19,[2.49997377e-01 2.43470839e-05 1.14485658e-03 1.00000000e+00],[-2.03389508e-01 -5.88315189e-05  7.87971469e-01]
20,[2.49997496e-01 3.24395076e-05 1.11852520e-03 1.00000000e+00],[-1.99985429e-01 -7.36524721e-05  7.88026350e-01]
