step,action,eef_pos
0,[ 1.27070148e-04  8.37100144e-06 -9.99999992e-01  1.00000000e+00],[ 5.40824435e-04 -4.73279190e-06  1.30008074e+00]
1,[-1.06027162e-03  9.27851003e-06 -9.99999438e-01  1.00000000e+00],[2.54465223e-03 2.55610524e-06 1.29161366e+00]
2,[-5.07286724e-03 -5.09569928e-06 -9.99987133e-01  1.00000000e+00],[4.83536564e-03 1.75721475e-05 1.28122338e+00]
3,[-9.84303999e-03 -3.57704802e-05 -9.99951555e-01  1.00000000e+00],[6.89721702e-03 3.73995979e-05 1.27020621e+00]
4,[-1.43615504e-02 -7.78743381e-05 -9.99896865e-01  1.00000000e+00],[8.58528637e-03 5.91055361e-05 1.25880381e+00]
5,[-1.83101053e-02 -1.26056202e-04 -9.99832348e-01  1.00000000e+00],[9.85516589e-03 8.16025877e-05 1.24706176e+00]
6,[-2.15569896e-02 -1.78495842e-04 -9.99767605e-01  1.00000000e+00],[1.06956308e-02 1.04798855e-04 1.23499227e+00]
7,[-2.40286027e-02 -2.35439135e-04 -9.99711244e-01  1.00000000e+00],[1.11166575e-02 1.28811867e-04 1.22260924e+00]
8,[-2.56882830e-02 -2.97657429e-04 -9.99669957e-01  1.00000000e+00],[1.11478142e-02 1.51565265e-04 1.20993684e+00]
9,[-2.65370564e-02 -3.60796825e-04 -9.99647765e-01  1.00000000e+00],[1.08322256e-02 1.71874389e-04 1.19700704e+00]
10,[-2.66049217e-02 -4.22138979e-04 -9.99645937e-01  1.00000000e+00],[1.02210720e-02 1.89143281e-04 1.18385623e+00]
11,[-2.59425394e-02 -4.80072637e-04 -9.99663320e-01  1.00000000e+00],[9.36924397e-03 2.02645646e-04 1.17052241e+00]
12,[-2.46145918e-02 -5.32384458e-04 -9.99696873e-01  1.00000000e+00],[8.33191847e-03 2.11565151e-04 1.15704289e+00]
13,[-2.26942723e-02 -5.76255896e-04 -9.99742286e-01  1.00000000e+00],[7.16201115e-03 2.15815673e-04 1.14345256e+00]
14,[-2.02588431e-02 -6.10467612e-04 -9.99794582e-01  1.00000000e+00],[5.90831976e-03 2.17581293e-04 1.12978276e+00]
15,[-1.73858898e-02 -6.40257219e-04 -9.99848649e-01  1.00000000e+00],[4.61423976e-03 2.19053740e-04 1.11606046e+00]
16,[-1.41500653e-02 -6.71751986e-04 -9.99899657e-01  1.00000000e+00],[3.31698519e-03 2.21265812e-04 1.10230795e+00]
17,[-1.06202782e-02 -7.08445878e-04 -9.99943352e-01  1.00000000e+00],[2.04724019e-03 2.24741337e-04 1.08854278e+00]
18,[-6.85728012e-03 -7.52776501e-04 -9.99976205e-01  1.00000000e+00],[8.29174854e-04 2.30916952e-04 1.07477800e+00]
19,[-2.91164018e-03 -8.10862837e-04 -9.99995432e-01  1.00000000e+00],[-3.19233748e-04  2.41150392e-04  1.06102257e+00]
20,[ 1.17788492e-03 -8.89778761e-04 -9.99998910e-01  1.00000000e+00],[-1.38563875e-03  2.56296278e-04  1.04728195e+00]
21,[ 5.38560123e-03 -9.96153980e-04 -9.99985001e-01  1.00000000e+00],[-2.36257603e-03  2.77417026e-04  1.03355867e+00]
22,[ 0.00969977 -0.00113896 -0.99995231  1.        ],[-3.24659755e-03  3.05655573e-04  1.01985306e+00]
23,[ 0.01412324 -0.00132965 -0.99989938  1.        ],[-4.06326474e-03  3.41157687e-04  1.00615241e+00]
24,[ 0.0187948  -0.00157804 -0.99982212  1.        ],[-4.81646728e-03  3.82682724e-04  9.92454527e-01]
25,[ 0.02378359 -0.00188968 -0.99971534  1.        ],[-5.49694979e-03  4.29330562e-04  9.78760629e-01]
26,[ 0.02910886 -0.0022735  -0.99957366  1.        ],[-6.10456372e-03  4.79961448e-04  9.65068126e-01]
27,[ 0.03484834 -0.00273989 -0.99938886  1.        ],[-6.63919757e-03  5.32948921e-04  9.51374813e-01]
28,[ 0.04110648 -0.00329974 -0.99914932  1.        ],[-7.09962755e-03  5.86131254e-04  9.37678966e-01]
29,[ 0.0480189  -0.00396435 -0.99883856  1.        ],[-7.48303654e-03  6.36827976e-04  9.23979341e-01]
30,[ 0.05576463 -0.00474573 -0.99843266  1.        ],[-7.78452817e-03  6.81913732e-04  9.10275197e-01]
31,[ 0.06458647 -0.00565768 -0.99789608  1.        ],[-7.99650952e-03  7.17938757e-04  8.96566356e-01]
32,[0. 0. 0. 1.],[-8.75778124e-03  7.47117884e-04  8.87574465e-01]
