step,action,eef_pos
0,[7.99340350e-04 3.50978298e-05 9.99999680e-01 1.00000000e+00],[-2.34214032e-03 -6.85899167e-06  7.96485426e-01]
1,[4.74578476e-03 1.38980990e-05 9.99988739e-01 1.00000000e+00],[-6.79475767e-03 -3.36862534e-05  7.94700756e-01]
2,[1.37171991e-02 6.80055226e-05 9.99905912e-01 1.00000000e+00],[-1.08378133e-02 -6.65398457e-05  8.01171282e-01]
3,[2.21655358e-02 1.36087539e-04 9.99754305e-01 1.00000000e+00],[-1.44060449e-02 -9.02574457e-05  8.11613224e-01]
4,[3.01001571e-02 1.88584952e-04 9.99546870e-01 1.00000000e+00],[-1.74707521e-02 -1.01866890e-04  8.23028259e-01]
5,[3.73867108e-02 2.17991071e-04 9.99300849e-01 1.00000000e+00],[-1.99743659e-02 -1.16239919e-04  8.34811502e-01]
6,[4.38393367e-02 2.55121036e-04 9.99038562e-01 1.00000000e+00],[-2.19398902e-02 -1.28529895e-04  8.46836283e-01]
7,[4.94468536e-02 2.89673233e-04 9.98776714e-01 1.00000000e+00],[-2.34266857e-02 -1.25728956e-04  8.59059918e-01]
8,[5.42816667e-02 2.91324917e-04 9.98525621e-01 1.00000000e+00],[-2.45074099e-02 -1.07363583e-04  8.71450976e-01]
9,[5.84531412e-02 2.56075151e-04 9.98290121e-01 1.00000000e+00],[-2.52550285e-02 -7.63230631e-05  8.83979289e-01]
10,[6.20813491e-02 1.87615655e-04 9.98071075e-01 1.00000000e+00],[-2.57367576e-02 -3.60316522e-05  8.96616195e-01]
11,[6.52844698e-02 9.13987435e-05 9.97866689e-01 1.00000000e+00],[-2.60113800e-02  1.04478320e-05  9.09335715e-01]
12,[ 6.81725781e-02 -2.73824628e-05  9.97673543e-01  1.00000000e+00],[-2.61282840e-02  6.08964418e-05  9.22115282e-01]
13,[ 7.08445651e-02 -1.65115395e-04  9.97487353e-01  1.00000000e+00],[-2.61274814e-02  1.13959082e-04  9.34935996e-01]
14,[ 7.33868495e-02 -3.20088180e-04  9.97303498e-01  1.00000000e+00],[-2.60401963e-02  1.68901012e-04  9.47782556e-01]
15,[ 7.58731973e-02 -4.92126083e-04  9.97117353e-01  1.00000000e+00],[-2.58897890e-02  2.25314286e-04  9.60642986e-01]
16,[ 7.83653097e-02 -6.81999526e-04  9.96924477e-01  1.00000000e+00],[-2.56928596e-02  2.82845723e-04  9.73508242e-01]
17,[ 8.09139706e-02 -8.90759957e-04  9.96720691e-01  1.00000000e+00],[-2.54604036e-02  3.40015003e-04  9.86371752e-01]
18,[ 0.08356056 -0.00111592  0.99650208  1.        ],[-2.51989306e-02  3.93044402e-04  9.99228950e-01]
19,[ 0.08633876 -0.00134668  0.99626493  1.        ],[-2.49115038e-02  4.37599065e-04  1.01207680e+00]
20,[ 0.08927646 -0.00156824  0.99600565  1.        ],[-2.45986413e-02  4.68876684e-04  1.02491335e+00]
21,[ 0.09239762 -0.0017612   0.99572063  1.        ],[-2.42685672e-02  4.86698132e-04  1.03773257e+00]
22,[ 0.09575947 -0.00192042  0.99540265  1.        ],[-2.39427382e-02  4.92076603e-04  1.05051966e+00]
23,[ 0.09948172 -0.00204457  0.99503729  1.        ],[-2.36000785e-02  4.86714732e-04  1.06327928e+00]
24,[ 0.10353353 -0.00213522  0.99462367  1.        ],[-2.32314296e-02  4.73054351e-04  1.07601160e+00]
25,[ 0.10792953 -0.00219774  0.99415612  1.        ],[-2.28293359e-02  4.59727477e-04  1.08871664e+00]
26,[ 0.11269606 -0.00226943  0.99362692  1.        ],[-2.23861317e-02  4.49673957e-04  1.10139447e+00]
27,[ 0.1178652  -0.00236758  0.99302678  1.        ],[-2.18939204e-02  4.42304541e-04  1.11404489e+00]
28,[ 0.12347643 -0.00249449  0.99234437  1.        ],[-2.13446076e-02  4.37192448e-04  1.12666733e+00]
29,[ 0.12957957 -0.00265412  0.99156548  1.        ],[-2.07298437e-02  4.34042771e-04  1.13926077e+00]
30,[ 0.13623842 -0.00285257  0.99067197  1.        ],[-2.00408855e-02  4.32618294e-04  1.15182363e+00]
31,[ 0.14353588 -0.00309848  0.98964026  1.        ],[-1.92683872e-02  4.32690237e-04  1.16435380e+00]
32,[ 0.15158138 -0.00340391  0.98843892  1.        ],[-1.84021158e-02  4.34011234e-04  1.17684852e+00]
33,[ 0.1605224  -0.0037859   0.98702494  1.        ],[-1.74305666e-02  4.35791270e-04  1.18930419e+00]
34,[ 0.17056313 -0.00426434  0.98533752  1.        ],[-1.63404233e-02  4.34743184e-04  1.20171623e+00]
