step,action,eef_pos
0,[ 2.49892772e-01 -1.05408775e-05 -7.32135301e-03  1.00000000e+00],[-2.49763001e-01  2.49091767e-05  7.94546371e-01]
1,[ 2.49989656e-01 -1.24599790e-05 -2.27416924e-03  1.00000000e+00],[-2.49246304e-01  4.09858281e-05  7.91224042e-01]
2,[ 2.49999248e-01 -2.05237898e-05 -6.12943270e-04  1.00000000e+00],[-2.48651062e-01  5.72533202e-05  7.89914659e-01]
3,[ 2.49999995e-01 -2.87040996e-05  4.27857076e-05  1.00000000e+00],[-2.47924528e-01  7.71042744e-05  7.89154555e-01]
4,[ 2.49999637e-01 -3.87127757e-05  4.24483991e-04  1.00000000e+00],[-2.47205532e-01  1.14646719e-04  7.88721997e-01]
5,[ 2.49999168e-01 -5.76453448e-05  6.42590529e-04  1.00000000e+00],[-2.45796854e-01  1.29632873e-04  7.88279138e-01]
6,[ 2.49998486e-01 -6.53655254e-05  8.67720034e-04  1.00000000e+00],[-2.43989670e-01  1.42675780e-04  7.87907494e-01]
7,[ 2.49997747e-01 -7.22052011e-05  1.05897337e-03  1.00000000e+00],[-2.41849752e-01  1.55344653e-04  7.87621667e-01]
8,[ 2.49997065e-01 -7.89584771e-05  1.20885755e-03  1.00000000e+00],[-2.39419041e-01  1.67340054e-04  7.87416378e-01]
9,[ 2.49996502e-01 -8.54777292e-05  1.31972062e-03  1.00000000e+00],[-2.36737381e-01  1.78470844e-04  7.87281468e-01]
10,[ 2.49996084e-01 -9.16654728e-05  1.39628144e-03  1.00000000e+00],[-2.33844494e-01  1.88628361e-04  7.87205727e-01]
11,[ 2.49995812e-01 -9.74616862e-05  1.44376260e-03  1.00000000e+00],[-2.30779142e-01  1.97764271e-04  7.87178050e-01]
12,[ 2.49995673e-01 -1.02833521e-04  1.46735841e-03  1.00000000e+00],[-2.27578022e-01  2.05873451e-04  7.87187929e-01]
13,[ 2.49995643e-01 -1.07767660e-04  1.47202223e-03  1.00000000e+00],[-2.24274845e-01  2.12981740e-04  7.87225734e-01]
14,[ 2.49995698e-01 -1.12265112e-04  1.46234747e-03  1.00000000e+00],[-2.20899678e-01  2.19136733e-04  7.87282883e-01]
15,[ 2.49995811e-01 -1.16337445e-04  1.44248977e-03  1.00000000e+00],[-2.17478536e-01  2.24410863e-04  7.87351942e-01]
16,[ 2.4999596e-01 -1.2000938e-04  1.4161160e-03  1.0000000e+00],[-2.14033211e-01  2.29247437e-04  7.87426663e-01]
17,[ 2.49996125e-01 -1.23506184e-04  1.38637548e-03  1.00000000e+00],[-2.10581299e-01  2.33939143e-04  7.87501971e-01]
18,[ 2.49996291e-01 -1.26978490e-04  1.35589106e-03  1.00000000e+00],[-2.07136405e-01  2.38487021e-04  7.87573910e-01]
19,[ 2.49996445e-01 -1.30422576e-04  1.32676792e-03  1.00000000e+00],[-2.03708467e-01  2.42890030e-04  7.87639562e-01]
20,[ 2.49996581e-01 -1.33834128e-04  1.30061824e-03  1.00000000e+00],[-2.00304179e-01  2.47150945e-04  7.87696936e-01]
21,[ 2.49996693e-01 -1.37211516e-04  1.27859906e-03  1.00000000e+00],[-1.96927469e-01  2.51275355e-04  7.87744845e-01]
22,[ 2.49996778e-01 -1.40555310e-04  1.26146106e-03  1.00000000e+00],[-1.93579997e-01  2.55270684e-04  7.87782773e-01]
23,[ 2.49996836e-01 -1.43867766e-04  1.24960504e-03  1.00000000e+00],[-1.90261632e-01  2.59145309e-04  7.87810747e-01]
24,[ 2.49996866e-01 -1.47152307e-04  1.24313919e-03  1.00000000e+00],[-1.86970905e-01  2.62907842e-04  7.87829209e-01]
25,[ 2.49996870e-01 -1.50413075e-04  1.24193869e-03  1.00000000e+00],[-1.83705427e-01  2.66566555e-04  7.87838897e-01]
26,[ 2.49996849e-01 -1.53654519e-04  1.24570504e-03  1.00000000e+00],[-1.80462250e-01  2.70128985e-04  7.87840737e-01]
27,[ 2.49996806e-01 -1.56881081e-04  1.25402133e-03  1.00000000e+00],[-1.77238169e-01  2.73601649e-04  7.87835752e-01]
28,[ 2.49996741e-01 -1.60096933e-04  1.26640109e-03  1.00000000e+00],[-1.74029955e-01  2.76989875e-04  7.87824987e-01]
29,[ 2.49996658e-01 -1.63305781e-04  1.28232945e-03  1.00000000e+00],[-1.70834528e-01  2.80288319e-04  7.87809448e-01]
30,[ 2.49996558e-01 -1.66505147e-04  1.30129612e-03  1.00000000e+00],[-1.67649079e-01  2.83114682e-04  7.87790069e-01]
31,[ 2.49996443e-01 -1.69466825e-04  1.32282058e-03  1.00000000e+00],[-1.64471144e-01  2.85059306e-04  7.87767676e-01]
32,[ 2.49996315e-01 -1.71939053e-04  1.34646961e-03  1.00000000e+00],[-1.61298638e-01  2.86167921e-04  7.87742975e-01]
33,[ 2.49996175e-01 -1.73939029e-04  1.37186824e-03  1.00000000e+00],[-1.58129863e-01  2.86534732e-04  7.87716550e-01]
34,[ 2.49996026e-01 -1.75514097e-04  1.39870532e-03  1.00000000e+00],[-1.54963494e-01  2.86247167e-04  7.87688860e-01]
35,[ 2.49995866e-01 -1.76708789e-04  1.42673437e-03  1.00000000e+00],[-1.51798543e-01  2.85382961e-04  7.87660253e-01]
