step,action,eef_pos
0,[ 1.69266149e-05 -2.49971440e-01 -3.77871479e-03  1.00000000e+00],[-6.00878440e-04  3.49375759e-01  7.89634849e-01]
1,[ 2.14790879e-04 -2.49999874e-01  1.30527415e-04  1.00000000e+00],[-0.00122442  0.34804714  0.7860187 ]
2,[ 4.38509964e-04 -2.49995549e-01  1.42584564e-03  1.00000000e+00],[-0.00133516  0.34680248  0.78578106]
3,[ 4.79019597e-04 -2.49994959e-01  1.51364894e-03  1.00000000e+00],[-0.00123449  0.34530468  0.78618323]
4,[ 4.43860422e-04 -2.49995839e-01  1.37231417e-03  1.00000000e+00],[-0.00101819  0.34344045  0.78665116]
5,[ 3.67075460e-04 -2.49996815e-01  1.20731385e-03  1.00000000e+00],[-7.42537446e-04  3.41235131e-01  7.87072893e-01]
6,[ 2.68552019e-04 -2.49997614e-01  1.05864088e-03  1.00000000e+00],[-4.42423537e-04  3.38749601e-01  7.87427735e-01]
7,[ 1.60588246e-04 -2.49998205e-01  9.33665462e-04  1.00000000e+00],[-1.51647383e-04  3.36031141e-01  7.87710898e-01]
8,[ 5.52622635e-05 -2.49998602e-01  8.34178252e-04  1.00000000e+00],[1.05484231e-04 3.33127228e-01 7.87925406e-01]
9,[-3.86032570e-05 -2.49998844e-01  7.59223326e-04  1.00000000e+00],[3.14306153e-04 3.30082079e-01 7.88077849e-01]
10,[-1.15539313e-04 -2.49998975e-01  7.06585038e-04  1.00000000e+00],[4.68038635e-04 3.26934412e-01 7.88176481e-01]
11,[-1.72851615e-04 -2.49999033e-01  6.73444749e-04  1.00000000e+00],[5.65902756e-04 3.23716604e-01 7.88230188e-01]
12,[-2.09992080e-04 -2.49999049e-01  6.56731924e-04  1.00000000e+00],[6.11253481e-04 3.20454647e-01 7.88247749e-01]
13,[-2.27924119e-04 -2.49999042e-01  6.53379298e-04  1.00000000e+00],[6.09994073e-04 3.17168587e-01 7.88237330e-01]
14,[-2.28574794e-04 -2.49999023e-01  6.60501415e-04  1.00000000e+00],[5.69334565e-04 3.13873217e-01 7.88206185e-01]
15,[-2.14397969e-04 -2.49998995e-01  6.75508432e-04  1.00000000e+00],[4.96874672e-04 3.10578889e-01 7.88160497e-01]
16,[-1.88044385e-04 -2.49998960e-01  6.96167765e-04  1.00000000e+00],[3.99965043e-04 3.07292336e-01 7.88105345e-01]
17,[-1.52125350e-04 -2.49998915e-01  7.20625704e-04  1.00000000e+00],[2.85299202e-04 3.04017464e-01 7.88044743e-01]
18,[-1.09055918e-04 -2.49998859e-01  7.47399140e-04  1.00000000e+00],[1.58685274e-04 3.00756053e-01 7.87981743e-01]
19,[-6.09615944e-05 -2.49998790e-01  7.75347053e-04  1.00000000e+00],[2.49513409e-05 2.97508368e-01 7.87918561e-01]
20,[-9.63354809e-06 -2.49998708e-01  8.03629940e-04  1.00000000e+00],[-1.12054031e-04  2.94273671e-01  7.87856712e-01]
21,[ 4.34805172e-05 -2.49998613e-01  8.31663513e-04  1.00000000e+00],[-2.49398168e-04  2.91050614e-01  7.87797153e-01]
22,[ 9.72609148e-05 -2.49998505e-01  8.59071699e-04  1.00000000e+00],[-3.84962167e-04  2.87837549e-01  7.87740402e-01]
23,[ 1.50884689e-04 -2.49998386e-01  8.85642044e-04  1.00000000e+00],[-5.17318983e-04  2.84632754e-01  7.87686658e-01]
24,[ 2.03785327e-04 -2.49998256e-01  9.11285411e-04  1.00000000e+00],[-6.45606189e-04  2.81434580e-01  7.87635888e-01]
25,[ 2.55608953e-04 -2.49998117e-01  9.36001233e-04  1.00000000e+00],[-7.69403671e-04  2.78241546e-01  7.87587913e-01]
26,[ 3.06171022e-04 -2.49997970e-01  9.59848812e-04  1.00000000e+00],[-0.00088862  0.27505239  0.78754246]
27,[ 3.55415859e-04 -2.49997815e-01  9.82924358e-04  1.00000000e+00],[-0.0010034   0.27186608  0.78749922]
28,[ 4.03380690e-04 -2.49997653e-01  1.00534332e-03  1.00000000e+00],[-0.00111405  0.26868183  0.78745787]
29,[ 4.50165028e-04 -2.49997484e-01  1.02722733e-03  1.00000000e+00],[-0.00122093  0.26549904  0.78741809]
30,[ 4.95905679e-04 -2.49997309e-01  1.04869509e-03  1.00000000e+00],[-0.00132447  0.2623173   0.7873796 ]
31,[ 5.40757115e-04 -2.49997126e-01  1.06985638e-03  1.00000000e+00],[-0.0014251   0.25913635  0.78734216]
32,[ 5.84876717e-04 -2.49996936e-01  1.09080861e-03  1.00000000e+00],[-0.00152319  0.25595603  0.78730556]
33,[ 6.28414337e-04 -2.49996739e-01  1.11163510e-03  1.00000000e+00],[-0.00161909  0.25277629  0.78726961]
34,[ 6.71505398e-04 -2.49996533e-01  1.13240485e-03  1.00000000e+00],[-0.00171311  0.24959713  0.7872342 ]
35,[ 7.14266841e-04 -2.49996320e-01  1.15317308e-03  1.00000000e+00],[-0.0018055   0.24641858  0.78719922]
36,[ 7.56795307e-04 -2.49996098e-01  1.17398245e-03  1.00000000e+00],[-0.00189642  0.24324071  0.78716458]
37,[ 7.99166938e-04 -2.49995867e-01  1.19486452e-03  1.00000000e+00],[-0.00198604  0.24006358  0.78713025]
38,[ 8.41438336e-04 -2.49995627e-01  1.21584136e-03  1.00000000e+00],[-0.00207445  0.23688728  0.7870962 ]
39,[ 8.83648235e-04 -2.49995378e-01  1.23692718e-03  1.00000000e+00],[-0.00216169  0.23371186  0.7870624 ]
40,[ 9.25819575e-04 -2.49995120e-01  1.25812977e-03  1.00000000e+00],[-0.0022478   0.23053738  0.78702886]
41,[ 9.67961890e-04 -2.49994852e-01  1.27945196e-03  1.00000000e+00],[-0.00233277  0.22736389  0.78699558]
42,[ 0.00101007 -0.24999457  0.00130089  1.        ],[-0.00241658  0.2241914   0.78696258]
43,[ 0.00105214 -0.24999429  0.00132245  1.        ],[-0.00249919  0.22101995  0.78692987]
44,[ 0.00109415 -0.24999399  0.00134411  1.        ],[-0.00258056  0.21784952  0.78689747]
45,[ 0.00113608 -0.24999369  0.00136588  1.        ],[-0.00266061  0.21468012  0.78686541]
46,[ 0.0011779  -0.24999337  0.00138774  1.        ],[-0.00273929  0.21151173  0.78683371]
47,[ 0.00121957 -0.24999305  0.00140968  1.        ],[-0.00281654  0.20834432  0.78680238]
48,[ 0.00126107 -0.24999272  0.0014317   1.        ],[-0.00289228  0.20517787  0.78677146]
49,[ 0.00130237 -0.24999238  0.00145379  1.        ],[-0.00296644  0.20201234  0.78674097]
50,[ 0.00134343 -0.24999203  0.00147593  1.        ],[-0.00303898  0.19884769  0.78671092]
51,[ 0.00138421 -0.24999168  0.00149813  1.        ],[-0.00310981  0.19568388  0.78668133]
52,[ 0.00142468 -0.24999132  0.00152036  1.        ],[-0.00317888  0.19252086  0.78665223]
53,[ 0.00146481 -0.24999095  0.00154264  1.        ],[-0.00324613  0.18935859  0.78662362]
54,[ 0.00150457 -0.24999057  0.00156494  1.        ],[-0.00331151  0.18619702  0.78659552]
55,[ 0.00154392 -0.24999019  0.00158726  1.        ],[-0.00337496  0.1830361   0.78656796]
56,[ 0.00158283 -0.24998981  0.0016096   1.        ],[-0.00343644  0.17987578  0.78654094]
57,[ 0.00162128 -0.24998942  0.00163195  1.        ],[-0.0034959   0.17671601  0.78651447]
58,[ 0.00165922 -0.24998902  0.0016543   1.        ],[-0.0035533   0.17355673  0.78648856]
