step,action,eef_pos
0,[ 7.51225035e-04 -9.99772568e-01 -2.13131027e-02  1.00000000e+00],[-0.00129733  0.34532234  0.79304807]
1,[ 0.00186577 -0.99998865 -0.00438363  1.        ],[-0.00208512  0.33723957  0.78851374]
2,[ 0.00303403 -0.99999306  0.00216264  1.        ],[-0.00211178  0.32861303  0.78860463]
3,[ 0.00311188 -0.99999304  0.0020562   1.        ],[-0.00195514  0.31921641  0.78955048]
4,[ 2.92152418e-03 -9.99995507e-01  6.71712260e-04  1.00000000e+00],[-0.0017457   0.30898386  0.79047307]
5,[ 2.64906515e-03 -9.99996234e-01 -7.17882202e-04  1.00000000e+00],[-0.0015831   0.2979862   0.79119686]
6,[ 0.0024431  -0.99999531 -0.00184703  1.        ],[-0.00154608  0.28634033  0.79169779]
7,[ 0.00242963 -0.99999349 -0.00266803  1.        ],[-0.00168377  0.27418048  0.79198965]
8,[ 0.00269755 -0.99999128 -0.00318759  1.        ],[-0.00201572  0.26164011  0.79209857]
9,[ 0.00329555 -0.99998868 -0.00343101  1.        ],[-0.0025381   0.24884024  0.79205508]
10,[ 0.00423829 -0.99998513 -0.00343172  1.        ],[-0.00323152  0.23588391  0.79189024]
11,[ 0.00551552 -0.99997959 -0.00322623  1.        ],[-0.00406779  0.22285434  0.79163325]
12,[ 0.00710071 -0.99997073 -0.00285099  1.        ],[-0.00501506  0.20981542  0.79131011]
13,[ 0.00895803 -0.99995714 -0.00234014  1.        ],[-0.00604125  0.19681338  0.79094281]
14,[ 0.01104741 -0.99993749 -0.00172408  1.        ],[-0.00711619  0.18387919  0.79054927]
15,[ 0.01332802 -0.99991065 -0.00102873  1.        ],[-0.00821261  0.1710311   0.79014354]
16,[ 1.57602767e-02 -9.99875761e-01 -2.75467450e-04  1.00000000e+00],[-0.00930654  0.15827713  0.78973636]
17,[ 1.83069002e-02 -9.99832280e-01  5.18610676e-04  1.00000000e+00],[-0.01037721  0.14561734  0.7893357 ]
18,[ 0.02093333 -0.99977998  0.00134005  1.        ],[-0.01140684  0.13304569  0.78894744]
19,[ 0.02360778 -0.99971892  0.0021784   1.        ],[-0.0123804   0.12055164  0.78857583]
20,[ 0.02630117 -0.99964949  0.00302554  1.        ],[-0.01328529  0.10812136  0.78822398]
21,[ 0.0289871  -0.99957227  0.00387509  1.        ],[-0.01411128  0.09573879  0.78789414]
22,[ 0.03164197 -0.99948811  0.004722    1.        ],[-0.01485043  0.08338647  0.78758794]
23,[ 0.03424539 -0.99939798  0.00556227  1.        ],[-0.01549719  0.07104622  0.78730645]
24,[ 0.03678072 -0.99930291  0.00639283  1.        ],[-0.01604844  0.05869985  0.78705031]
25,[ 0.0392358  -0.99920396  0.00721151  1.        ],[-0.01650356  0.04632971  0.78681971]
26,[ 0.04160359 -0.99910203  0.00801715  1.        ],[-0.01686436  0.03391931  0.78661444]
27,[ 0.04388282 -0.99899784  0.00880958  1.        ],[-0.01713498  0.02145369  0.78643388]
28,[ 0.04607841 -0.99889179  0.00958981  1.        ],[-0.0173209   0.00891733  0.78627991]
29,[ 0.04820007 -0.99878405  0.01035214  1.        ],[-0.01742988 -0.00369919  0.7861661 ]
30,[ 0.0502649  -0.99867472  0.01105634  1.        ],[-0.01751192 -0.01640096  0.7860729 ]
31,[ 0.05241813 -0.99855604  0.01175491  1.        ],[-0.01758498 -0.0291883   0.78598184]
32,[ 0.05472759 -0.99842301  0.01250521  1.        ],[-0.01764959 -0.0420579   0.78588971]
33,[ 0.05721566 -0.99827292  0.01332454  1.        ],[-0.01770544 -0.05500626  0.78579751]
34,[ 0.05990585 -0.99810275  0.01421902  1.        ],[-0.0177519  -0.06803001  0.78570709]
35,[ 0.06282507 -0.99790891  0.01519286  1.        ],[-0.01778823 -0.0811255   0.78562039]
36,[ 0.0660051  -0.99768694  0.016251    1.        ],[-0.01781373 -0.09428892  0.78553911]
37,[ 0.06948455 -0.99743127  0.01740021  1.        ],[-0.01782769 -0.10751623  0.78546472]
38,[ 0.0733105  -0.99713477  0.01864987  1.        ],[-0.01782893 -0.12080125  0.78539835]
39,[ 0.07753824 -0.9967885   0.02001265  1.        ],[-0.01781652 -0.13414081  0.78534106]
40,[ 0.08223894 -0.99638059  0.0215051   1.        ],[-0.01778785 -0.14752723  0.7852938 ]
41,[ 0.08749254 -0.99589619  0.02314822  1.        ],[-0.01773904 -0.16095182  0.78525748]
42,[ 0.0933939  -0.9953161   0.02496879  1.        ],[-0.01766462 -0.17440507  0.78523311]
43,[ 0.10005697 -0.99461528  0.02700093  1.        ],[-0.01755727 -0.18787675  0.78522191]
44,[ 0.10762014 -0.99376059  0.02928805  1.        ],[-0.01740744 -0.20135586  0.78522553]
45,[ 0.11625416 -0.99270754  0.03188591  1.        ],[-0.01720288 -0.21483069  0.78524614]
46,[ 0.12617399 -0.99139519  0.03486703  1.        ],[-0.01692817 -0.2282887   0.78528673]
47,[ 0.13765736 -0.98973807  0.03832764  1.        ],[-0.01656414 -0.24171644  0.7853513 ]
48,[ 0.15107509 -0.9876126   0.04239901  1.        ],[-0.016087   -0.25509928  0.78544526]
