step,action,eef_pos
0,[ 2.10458197e-04  2.49930390e-01 -5.89539361e-03  1.00000000e+00],[-0.00124669 -0.34906937  0.79561361]
1,[ 4.45825088e-04  2.49991543e-01 -2.00746080e-03  1.00000000e+00],[-0.0019516  -0.34766314  0.79201365]
2,[ 6.99328640e-04  2.49997981e-01 -7.21564191e-04  1.00000000e+00],[-0.00220282 -0.34633753  0.79167551]
3,[ 7.90852504e-04  2.49998025e-01 -6.01539870e-04  1.00000000e+00],[-0.00226017 -0.34477203  0.79195774]
4,[ 8.13269045e-04  2.49997685e-01 -7.04447640e-04  1.00000000e+00],[-0.0021984  -0.34285232  0.79231247]
5,[ 7.93232850e-04  2.49997349e-01 -8.34393510e-04  1.00000000e+00],[-0.00205669 -0.34061028  0.79263501]
6,[ 7.44508717e-04  2.49997072e-01 -9.53857897e-04  1.00000000e+00],[-0.00187159 -0.33809792  0.79290163]
7,[ 6.79978094e-04  2.49996853e-01 -1.05420751e-03  1.00000000e+00],[-0.0016758  -0.33535952  0.79310751]
8,[ 6.11278429e-04  2.49996683e-01 -1.13351712e-03  1.00000000e+00],[-0.00149363 -0.33244116  0.79325519]
9,[ 5.47156455e-04  2.49996557e-01 -1.19246430e-03  1.00000000e+00],[-0.00134086 -0.32938597  0.79335039]
10,[ 4.93401182e-04  2.49996473e-01 -1.23285814e-03  1.00000000e+00],[-0.00122618 -0.32623182  0.79340025]
11,[ 4.53308278e-04  2.49996429e-01 -1.25703924e-03  1.00000000e+00],[-0.00115275 -0.32301029  0.79341238]
12,[ 4.28202063e-04  2.49996420e-01 -1.26756452e-03  1.00000000e+00],[-0.00111975 -0.31974673  0.79339429]
13,[ 4.17969518e-04  2.49996440e-01 -1.26698681e-03  1.00000000e+00],[-0.00112376 -0.31646057  0.79335288]
14,[ 4.21535910e-04  2.49996481e-01 -1.25770106e-03  1.00000000e+00],[-0.0011599  -0.31316608  0.79329425]
15,[ 4.37251946e-04  2.49996533e-01 -1.24184849e-03  1.00000000e+00],[-0.00122261 -0.30987318  0.79322357]
16,[ 4.63192054e-04  2.49996588e-01 -1.22126657e-03  1.00000000e+00],[-0.00130629 -0.30658823  0.79314503]
17,[ 4.97372783e-04  2.49996637e-01 -1.19747388e-03  1.00000000e+00],[-0.0014057  -0.30331485  0.79306194]
18,[ 5.37902621e-04  2.49996676e-01 -1.17168018e-03  1.00000000e+00],[-0.00151615 -0.30005462  0.7929768 ]
19,[ 5.83076226e-04  2.49996699e-01 -1.14481280e-03  1.00000000e+00],[-0.00163367 -0.29680768  0.7928914 ]
20,[ 6.31425583e-04  2.49996705e-01 -1.11755250e-03  1.00000000e+00],[-0.00175502 -0.29357323  0.79280698]
21,[ 6.81739006e-04  2.49996693e-01 -1.09037316e-03  1.00000000e+00],[-0.00187768 -0.2903499   0.79272429]
22,[ 7.33057560e-04  2.49996663e-01 -1.06358117e-03  1.00000000e+00],[-0.00199976 -0.28713607  0.79264377]
23,[ 7.84656324e-04  2.49996616e-01 -1.03735235e-03  1.00000000e+00],[-0.00211993 -0.28393007  0.79256559]
24,[ 8.36016565e-04  2.49996555e-01 -1.01176474e-03  1.00000000e+00],[-0.00223734 -0.28073031  0.79248972]
25,[ 8.86793661e-04  2.49996480e-01 -9.86826460e-04  1.00000000e+00],[-0.0023515  -0.2775354   0.79241604]
26,[ 9.36784286e-04  2.49996392e-01 -9.62498472e-04  1.00000000e+00],[-0.00246219 -0.27434413  0.79234435]
27,[ 9.85895043e-04  2.49996294e-01 -9.38712591e-04  1.00000000e+00],[-0.00256942 -0.27115556  0.79227442]
28,[ 1.03411410e-03  2.49996185e-01 -9.15385152e-04  1.00000000e+00],[-0.00267334 -0.26796893  0.792206  ]
29,[ 1.08148665e-03  2.49996068e-01 -8.92427025e-04  1.00000000e+00],[-0.00277418 -0.26478372  0.79213887]
30,[ 1.12809459e-03  2.49995942e-01 -8.69750580e-04  1.00000000e+00],[-0.00287222 -0.26159954  0.7920728 ]
31,[ 1.17404018e-03  2.49995807e-01 -8.47274239e-04  1.00000000e+00],[-0.00296774 -0.25841616  0.79200763]
32,[ 1.21943359e-03  2.49995665e-01 -8.24925105e-04  1.00000000e+00],[-0.00306104 -0.25523345  0.79194317]
33,[ 1.26438374e-03  2.49995514e-01 -8.02640282e-04  1.00000000e+00],[-0.00315238 -0.25205136  0.79187932]
34,[ 1.30899197e-03  2.49995355e-01 -7.80367144e-04  1.00000000e+00],[-0.00324198 -0.24886989  0.79181596]
35,[ 1.35334801e-03  2.49995188e-01 -7.58062969e-04  1.00000000e+00],[-0.00333003 -0.24568909  0.79175302]
36,[ 1.39752779e-03  2.49995011e-01 -7.35694199e-04  1.00000000e+00],[-0.0034167  -0.24250901  0.79169043]
37,[ 1.44159257e-03  2.49994826e-01 -7.13235382e-04  1.00000000e+00],[-0.00350208 -0.23932972  0.79162816]
