step,action,eef_pos
0,[-8.81498533e-05  9.99917341e-01 -1.28570317e-02  1.00000000e+00],[-6.09026652e-04 -3.45636840e-01  7.87066204e-01]
1,[8.75486989e-04 9.99990724e-01 4.21738493e-03 1.00000000e+00],[-0.00134761 -0.33762157  0.78247088]
2,[0.00195969 0.99993814 0.01094883 1.        ],[-0.00122823 -0.32908083  0.78270064]
3,[0.00180855 0.9999406  0.01074825 1.        ],[-0.00091057 -0.31975888  0.78384586]
4,[0.00135949 0.99995686 0.00918819 1.        ],[-5.50210841e-04 -3.09585824e-01  7.84969243e-01]
5,[8.34151715e-04 9.99970567e-01 7.62692074e-03 1.00000000e+00],[-2.55762645e-04 -2.98633480e-01  7.85882688e-01]
6,[3.94301991e-04 9.99979776e-01 6.34754310e-03 1.00000000e+00],[-1.10453034e-04 -2.87020056e-01  7.86559782e-01]
7,[1.73387668e-04 9.99985403e-01 5.40040678e-03 1.00000000e+00],[-1.65324854e-04 -2.74881408e-01  7.87014306e-01]
8,[2.64566938e-04 9.99988550e-01 4.77796169e-03 1.00000000e+00],[-4.39801282e-04 -2.62352910e-01  7.87273180e-01]
9,[7.18208080e-04 9.99989828e-01 4.45297481e-03 1.00000000e+00],[-0.00092824 -0.24955769  0.78736822]
10,[0.0015482  0.99998917 0.00438949 1.        ],[-0.00160835 -0.23660086  0.78733206]
11,[0.00274177 0.9999859  0.00454807 1.        ],[-0.00244847 -0.22356763  0.78719568]
12,[0.00426875 0.99997894 0.00488915 1.        ],[-0.00341315 -0.21052357  0.78698681]
13,[0.00608902 0.99996701 0.00537549 1.        ],[-0.00446688 -0.19751628  0.78672909]
14,[0.00815802 0.99994888 0.00597377 1.        ],[-0.00557632 -0.1845777   0.7864419 ]
15,[0.01043047 0.99992345 0.00665541 1.        ],[-0.00671151 -0.17172665  0.7861405 ]
16,[0.01286262 0.99988991 0.00739673 1.        ],[-0.00784622 -0.15897139  0.78583662]
17,[0.01541349 0.99984775 0.00817875 1.        ],[-0.00895793 -0.1463119   0.78553896]
18,[0.01804532 0.99979678 0.00898655 1.        ],[-0.01002757 -0.13374187  0.7852539 ]
19,[0.02072373 0.99973712 0.00980865 1.        ],[-0.01103924 -0.12125028  0.784986  ]
20,[0.02341768 0.99966919 0.01063627 1.        ],[-0.0119799  -0.10882282  0.7847385 ]
21,[0.02609946 0.99959363 0.01146274 1.        ],[-0.01283918 -0.09644293  0.78451365]
22,[0.02874478 0.99951131 0.01228303 1.        ],[-0.01360933 -0.08409269  0.78431296]
23,[0.03133312 0.99942323 0.01309343 1.        ],[-0.01428517 -0.07175361  0.78413735]
24,[0.0338482  0.99933044 0.01389135 1.        ],[-0.01486411 -0.05940727  0.78398721]
25,[0.03627859 0.99923396 0.01467532 1.        ],[-0.01534613 -0.04703598  0.78386251]
26,[0.03861829 0.99913467 0.01544489 1.        ],[-0.01573369 -0.03462331  0.78376278]
27,[0.04086719 0.99903324 0.01620076 1.        ],[-0.01603149 -0.02215447  0.78368718]
28,[0.04303142 0.99893001 0.01694475 1.        ],[-0.01624629 -0.00961406  0.78363448]
29,[0.04512393 0.99882493 0.01768016 1.        ],[-0.0163852   0.00300697  0.78360418]
30,[0.04716    0.99871771 0.01840849 1.        ],[-0.01649174  0.01571304  0.78360399]
31,[0.04926517 0.99860297 0.01910655 1.        ],[-0.016596    0.02850381  0.78361331]
32,[0.05154235 0.99847381 0.01983522 1.        ],[-0.01669442  0.04137592  0.7836225 ]
33,[0.05400259 0.99832767 0.02062976 1.        ],[-0.01678614  0.05432645  0.78363098]
34,[0.05666817 0.99816152 0.02150113 1.        ],[-0.01687032  0.06735161  0.78364027]
35,[0.05956555 0.99797181 0.02245486 1.        ],[-0.0169461   0.08044772  0.78365226]
36,[0.06272639 0.99775414 0.0234963  1.        ],[-0.0170126   0.09361095  0.78366872]
37,[0.06618894 0.99750302 0.02463239 1.        ],[-0.01706888  0.10683661  0.78369113]
38,[0.06999936 0.99721146 0.02587263 1.        ],[-0.01711387  0.1201202   0.78372079]
39,[0.07421406 0.99687051 0.02722969 1.        ],[-0.01714624  0.13345755  0.78375887]
40,[0.07890225 0.99646856 0.02871995 1.        ],[-0.01716316  0.14684109  0.78380643]
41,[0.08414275 0.99599097 0.03036412 1.        ],[-0.01716056  0.16026225  0.78386451]
42,[0.09002924 0.99541882 0.03218857 1.        ],[-0.01713286  0.1737117   0.78393424]
43,[0.09667417 0.99472742 0.03422679 1.        ],[-0.01707262  0.18717935  0.78401698]
44,[0.10421409 0.99388411 0.03652134 1.        ],[-0.01697019  0.20065442  0.78411447]
45,[0.11281735 0.99284507 0.0391268  1.        ],[-0.01681329  0.21412537  0.78422901]
46,[0.12269565 0.99155039 0.04211403 1.        ],[-0.01658651  0.22757986  0.78436364]
47,[0.13412219 0.98991615 0.04557687 1.        ],[-0.01627073  0.24100462  0.78452243]
48,[0.14746102 0.98782125 0.04964303 1.        ],[-0.01584229  0.25438524  0.78471081]
