step,action,eef_pos
0,[-4.99619385e-01 -1.44260892e-05 -1.95056286e-02  1.00000000e+00],[2.44373882e-01 1.03146191e-05 7.96757072e-01]
1,[-4.99953303e-01 -1.04310281e-05 -6.83333149e-03  1.00000000e+00],[2.40190606e-01 1.32785060e-05 7.91399878e-01]
2,[-4.99997961e-01 -1.35441721e-05 -1.42788544e-03  1.00000000e+00],[2.37711699e-01 1.81905983e-05 7.92456986e-01]
3,[-4.99993655e-01 -1.86486888e-05 -2.51885969e-03  1.00000000e+00],[2.36267578e-01 2.21940057e-05 7.95560639e-01]
4,[-4.99967311e-01 -2.28192827e-05 -5.71730062e-03  1.00000000e+00],[2.35229216e-01 2.44890859e-05 7.99124198e-01]
5,[-4.99911626e-01 -2.52300941e-05 -9.40028489e-03  1.00000000e+00],[2.34379021e-01 2.48964442e-05 8.02759800e-01]
6,[-4.99826607e-01 -2.56904298e-05 -1.31667293e-02  1.00000000e+00],[2.33606957e-01 2.33616996e-05 8.06354383e-01]
7,[-4.99714338e-01 -2.41398022e-05 -1.68990944e-02  1.00000000e+00],[2.32828134e-01 1.98709098e-05 8.09856982e-01]
8,[-4.99577690e-01 -2.05602419e-05 -2.05458310e-02  1.00000000e+00],[2.31953278e-01 1.44405205e-05 8.13231941e-01]
9,[-4.99420111e-01 -1.49638703e-05 -2.40739068e-02  1.00000000e+00],[2.30905039e-01 7.27684802e-06 8.16453498e-01]
10,[-4.99245250e-01 -7.55436420e-06 -2.74623517e-02  1.00000000e+00],[ 2.29611859e-01 -7.35221850e-07  8.19475995e-01]
11,[-4.99058395e-01  7.65032450e-07 -3.06711400e-02  1.00000000e+00],[ 2.27985250e-01 -8.97576996e-06  8.22253523e-01]
12,[-4.98865550e-01  9.36786736e-06 -3.36624849e-02  1.00000000e+00],[ 2.25933497e-01 -1.71777361e-05  8.24740659e-01]
13,[-4.98673240e-01  1.79984753e-05 -3.64005414e-02  1.00000000e+00],[ 2.23368325e-01 -2.52257801e-05  8.26893893e-01]
14,[-4.98488258e-01  2.65644204e-05 -3.88517174e-02  1.00000000e+00],[ 2.20210523e-01 -3.27838248e-05  8.28674079e-01]
15,[-4.98317330e-01  3.47434760e-05 -4.09858196e-02  1.00000000e+00],[ 2.16396123e-01 -3.90087899e-05  8.30049532e-01]
16,[-4.98166707e-01  4.16660420e-05 -4.27776789e-02  1.00000000e+00],[ 2.11883352e-01 -4.38432800e-05  8.30999726e-01]
17,[-4.98041694e-01  4.72755325e-05 -4.42093721e-02  1.00000000e+00],[ 2.06659117e-01 -4.74411344e-05  8.31518938e-01]
18,[-4.97946161e-01  5.17303385e-05 -4.52727102e-02  1.00000000e+00],[ 2.00743383e-01 -4.99756700e-05  8.31618998e-01]
19,[-4.97882132e-01  5.52021262e-05 -4.59715132e-02  1.00000000e+00],[ 1.94190037e-01 -5.16263287e-05  8.31330383e-01]
20,[-4.97849532e-01  5.78629447e-05 -4.63232179e-02  1.00000000e+00],[ 1.87083284e-01 -5.24473678e-05  8.30700911e-01]
