step,action,eef_pos
0,[ 4.99790255e-01  7.36213984e-05 -1.44808631e-02  1.00000000e+00],[-2.48528837e-01 -7.02100749e-05  7.94144851e-01]
1,[ 4.99982715e-01  7.04148311e-05 -4.15693851e-03  1.00000000e+00],[-2.45892271e-01 -1.44433849e-04  7.90562893e-01]
2,[ 4.99999657e-01  1.45630168e-04 -5.67555835e-04  1.00000000e+00],[-2.43928208e-01 -1.64145455e-04  7.89167528e-01]
3,[4.99999262e-01 1.66163027e-04 8.42704167e-04 1.00000000e+00],[-2.43469577e-01 -1.06055262e-04  7.89023915e-01]
4,[4.99999010e-01 1.07458552e-04 9.89000584e-04 1.00000000e+00],[-2.40611114e-01 -1.00989466e-04  7.88494090e-01]
5,[4.99997634e-01 1.02921627e-04 1.53472187e-03 1.00000000e+00],[-2.36812534e-01 -8.51787065e-05  7.87855650e-01]
6,[4.99995142e-01 8.74852976e-05 2.20241789e-03 1.00000000e+00],[-2.32460011e-01 -5.97121632e-05  7.87308322e-01]
7,[4.99992215e-01 6.18820547e-05 2.78949185e-03 1.00000000e+00],[-2.27629405e-01 -2.79714935e-05  7.86895055e-01]
8,[4.99989435e-01 2.92809678e-05 3.25030131e-03 1.00000000e+00],[-2.22362810e-01  7.25716030e-06  7.86617004e-01]
9,[ 4.99987177e-01 -7.68156811e-06  3.58083827e-03  1.00000000e+00],[-2.16704256e-01  4.33860774e-05  7.86463351e-01]
10,[ 4.99985642e-01 -4.64800041e-05  3.78885273e-03  1.00000000e+00],[-2.10703301e-01  7.79592761e-05  7.86418806e-01]
11,[ 4.99984887e-01 -8.46064263e-05  3.88654248e-03  1.00000000e+00],[-2.04413294e-01  1.08646293e-04  7.86466049e-01]
12,[ 4.99984866e-01 -1.19542062e-04  3.88835876e-03  1.00000000e+00],[-1.97888867e-01  1.33259238e-04  7.86587009e-01]
13,[ 4.99985462e-01 -1.48759405e-04  3.80997591e-03  1.00000000e+00],[-1.91183537e-01  1.49820898e-04  7.86763782e-01]
14,[ 4.99986520e-01 -1.69789720e-04  3.66755642e-03  1.00000000e+00],[-1.84347639e-01  1.57336845e-04  7.86979373e-01]
15,[ 4.99987877e-01 -1.81114176e-04  3.47711543e-03  1.00000000e+00],[-1.77426683e-01  1.57405801e-04  7.87218282e-01]
16,[ 4.99989378e-01 -1.84128019e-04  3.25396066e-03  1.00000000e+00],[-1.70460150e-01  1.54554251e-04  7.87466928e-01]
17,[ 4.99990893e-01 -1.83788448e-04  3.01220707e-03  1.00000000e+00],[-1.63480830e-01  1.49375443e-04  7.87713926e-01]
18,[ 4.99992326e-01 -1.80628870e-04  2.76438267e-03  1.00000000e+00],[-1.56514608e-01  1.42017075e-04  7.87950202e-01]
19,[ 4.99993613e-01 -1.74674241e-04  2.52115367e-03  1.00000000e+00],[-1.49580649e-01  1.33094629e-04  7.88168968e-01]
20,[ 4.99994723e-01 -1.66541128e-04  2.29116843e-03  1.00000000e+00],[-1.42691934e-01  1.23023922e-04  7.88365586e-01]
21,[ 4.99995645e-01 -1.56640409e-04  2.08102035e-03  1.00000000e+00],[-1.35856046e-01  1.11817711e-04  7.88537343e-01]
22,[ 4.99996387e-01 -1.44894584e-04  1.89532695e-03  1.00000000e+00],[-1.29076081e-01  9.88134191e-05  7.88683163e-01]
23,[ 4.99996966e-01 -1.30333757e-04  1.73689336e-03  1.00000000e+00],[-1.22351563e-01  8.34022793e-05  7.88803314e-01]
24,[ 4.99997405e-01 -1.11993415e-04  1.60692139e-03  1.00000000e+00],[-1.15674838e-01  6.49664053e-05  7.88911213e-01]
25,[ 4.99997776e-01 -8.88304438e-05  1.48872993e-03  1.00000000e+00],[-1.09039719e-01  4.17780936e-05  7.89008774e-01]
26,[ 4.99998091e-01 -5.81801008e-05  1.38038007e-03  1.00000000e+00],[-1.02440608e-01  1.37191757e-05  7.89090706e-01]
27,[ 4.99998336e-01 -1.94630383e-05  1.28999203e-03  1.00000000e+00],[-9.58716606e-02 -1.83317997e-05  7.89157796e-01]
28,[4.99998517e-01 2.65007912e-05 1.21750648e-03 1.00000000e+00],[-8.9327858e-02 -5.2642898e-05  7.8921182e-01]
29,[4.99998645e-01 7.75691622e-05 1.16138097e-03 1.00000000e+00],[-8.28048436e-02 -8.96704722e-05  7.89254586e-01]
30,[4.99998728e-01 1.34718959e-04 1.11989315e-03 1.00000000e+00],[-7.62989176e-02 -1.29173869e-04  7.89287709e-01]
31,[4.99998770e-01 1.97937449e-04 1.09146789e-03 1.00000000e+00],[-6.98070528e-02 -1.69966431e-04  7.89312548e-01]
32,[4.99998774e-01 2.65732124e-04 1.07478948e-03 1.00000000e+00],[-6.33268722e-02 -2.10715147e-04  7.89330203e-01]
33,[4.99998745e-01 3.36253664e-04 1.06884407e-03 1.00000000e+00],[-5.68565923e-02 -2.50027068e-04  7.89341528e-01]
34,[4.99998683e-01 4.07399442e-04 1.07292801e-03 1.00000000e+00],[-5.03949465e-02 -2.86493988e-04  7.89347159e-01]
35,[4.99998592e-01 4.76860853e-04 1.08663537e-03 1.00000000e+00],[-4.39410983e-02 -3.18737258e-04  7.89347547e-01]
36,[4.99998474e-01 5.42177135e-04 1.10983222e-03 1.00000000e+00],[-3.74945535e-02 -3.45454618e-04  7.89343002e-01]
37,[4.99998333e-01 6.00800020e-04 1.14262342e-03 1.00000000e+00],[-3.10550786e-02 -3.65466894e-04  7.89333719e-01]
38,[4.99998172e-01 6.50167148e-04 1.18531670e-03 1.00000000e+00],[-2.46226296e-02 -3.77761548e-04  7.89319819e-01]
39,[4.99997993e-01 6.87780232e-04 1.23838793e-03 1.00000000e+00],[-1.81972930e-02 -3.81530967e-04  7.89301370e-01]
40,[4.99997798e-01 7.11284746e-04 1.30245047e-03 1.00000000e+00],[-1.17792391e-02 -3.76202443e-04  7.89278412e-01]
41,[4.99997584e-01 7.18545570e-04 1.37823027e-03 1.00000000e+00],[-5.36868845e-03 -3.61458154e-04  7.89250975e-01]
42,[4.99997348e-01 7.07714481e-04 1.46654754e-03 1.00000000e+00],[ 1.03411125e-03 -3.37243058e-04  7.89219086e-01]
43,[4.99997082e-01 6.77283727e-04 1.56830533e-03 1.00000000e+00],[ 7.42889952e-03 -3.03761181e-04  7.89182780e-01]
44,[4.99996770e-01 6.26124089e-04 1.68448483e-03 1.00000000e+00],[ 1.38154085e-02 -2.61699053e-04  7.89142102e-01]
45,[4.99996395e-01 5.54009821e-04 1.81614686e-03 1.00000000e+00],[ 2.01933517e-02 -2.13968622e-04  7.89097108e-01]
46,[4.99995924e-01 4.65536745e-04 1.96444464e-03 1.00000000e+00],[ 2.65624287e-02 -1.63453229e-04  7.89047857e-01]
47,[4.99995327e-01 3.65765928e-04 2.13064842e-03 1.00000000e+00],[ 3.29223291e-02 -1.12335570e-04  7.88994418e-01]
48,[4.99994568e-01 2.58742295e-04 2.31615468e-03 1.00000000e+00],[ 3.92727281e-02 -6.24351798e-05  7.88936868e-01]
49,[4.99993615e-01 1.48140252e-04 2.52249866e-03 1.00000000e+00],[ 4.56132813e-02 -1.52164049e-05  7.88875294e-01]
50,[4.99992428e-01 3.72239805e-05 2.75137459e-03 1.00000000e+00],[5.19436182e-02 2.81896908e-05 7.88809793e-01]
51,[ 4.99990967e-01 -7.11645372e-05  3.00466294e-03  1.00000000e+00],[5.82633340e-02 6.69451277e-05 7.88740468e-01]
52,[ 4.99989182e-01 -1.74571929e-04  3.28446389e-03  1.00000000e+00],[6.45719815e-02 1.00457009e-04 7.88667428e-01]
53,[ 4.99987016e-01 -2.70871686e-04  3.59313811e-03  1.00000000e+00],[7.08690611e-02 1.28330920e-04 7.88590785e-01]
54,[ 4.99984400e-01 -3.58193055e-04  3.93335537e-03  1.00000000e+00],[7.71540114e-02 1.50329577e-04 7.88510650e-01]
55,[ 4.99981250e-01 -4.34849374e-04  4.30815277e-03  1.00000000e+00],[8.34261983e-02 1.66337892e-04 7.88427138e-01]
56,[ 4.99977462e-01 -4.99269370e-04  4.72100470e-03  1.00000000e+00],[8.96849033e-02 1.76335813e-04 7.88340358e-01]
57,[ 4.99972907e-01 -5.49936537e-04  5.17590703e-03  1.00000000e+00],[9.59293114e-02 1.80376384e-04 7.88250420e-01]
58,[ 4.99967423e-01 -5.85330777e-04  5.67747973e-03  1.00000000e+00],[1.02158496e-01 1.78569893e-04 7.88157427e-01]
59,[ 4.99960807e-01 -6.03876080e-04  6.23109228e-03  1.00000000e+00],[1.08371404e-01 1.71071720e-04 7.88061483e-01]
60,[ 4.99952806e-01 -6.03887837e-04  6.84301868e-03  1.00000000e+00],[1.14566837e-01 1.58073377e-04 7.87962683e-01]
61,[ 4.99943096e-01 -5.83518039e-04  7.52063028e-03  1.00000000e+00],[1.20743427e-01 1.39796301e-04 7.87861120e-01]
62,[ 4.99931266e-01 -5.40696230e-04  8.27263762e-03  1.00000000e+00],[1.26899617e-01 1.16487658e-04 7.87756886e-01]
63,[ 4.99916788e-01 -4.73062184e-04  9.10939625e-03  1.00000000e+00],[1.33033625e-01 8.85170644e-05 7.87650069e-01]
64,[ 4.99898979e-01 -3.78310350e-04  1.00432957e-02  1.00000000e+00],[1.39143409e-01 5.96747666e-05 7.87540767e-01]
65,[ 4.99876942e-01 -2.69086750e-04  1.10892259e-02  1.00000000e+00],[1.45226644e-01 3.29029057e-05 7.87429081e-01]
66,[ 4.99849516e-01 -1.56972174e-04  1.22652606e-02  1.00000000e+00],[1.51280660e-01 1.00454664e-05 7.87315124e-01]
67,[ 4.99815180e-01 -5.08601109e-05  1.35935040e-02  1.00000000e+00],[ 1.57302372e-01 -7.33796059e-06  7.87199028e-01]
68,[4.99771900e-01 3.95620317e-05 1.51012205e-02 1.00000000e+00],[ 1.63288200e-01 -1.88446163e-05  7.87080950e-01]
69,[4.99716916e-01 1.08600831e-04 1.68223794e-02 1.00000000e+00],[ 1.69233994e-01 -2.42928264e-05  7.86961108e-01]
70,[4.99646426e-01 1.50283820e-04 1.87996380e-02 1.00000000e+00],[ 1.75134927e-01 -2.33845752e-05  7.86839809e-01]
71,[4.99555111e-01 1.56039173e-04 2.10871315e-02 1.00000000e+00],[ 1.80985374e-01 -1.66763594e-05  7.86717499e-01]
72,[4.99435398e-01 1.20681146e-04 2.37543411e-02 1.00000000e+00],[ 1.86778756e-01 -5.59500982e-06  7.86594844e-01]
73,[4.99276322e-01 4.41853997e-05 2.68914979e-02 1.00000000e+00],[1.92507365e-01 7.86826152e-06 7.86472845e-01]
74,[ 4.99061697e-01 -6.83000169e-05  3.06172739e-02  1.00000000e+00],[1.98162144e-01 2.20251308e-05 7.86353037e-01]
75,[ 4.98767134e-01 -2.11918705e-04  3.50899037e-02  1.00000000e+00],[2.03732442e-01 3.54304665e-05 7.86237769e-01]
76,[ 4.98354989e-01 -3.81627004e-04  4.05235693e-02  1.00000000e+00],[2.09205725e-01 4.68978354e-05 7.86130672e-01]
77,[ 4.97765617e-01 -5.72240338e-04  4.72129535e-02  1.00000000e+00],[2.14567254e-01 5.54977097e-05 7.86037392e-01]
78,[ 4.96901680e-01 -7.78288693e-04  5.55708096e-02  1.00000000e+00],[2.19799747e-01 6.05395622e-05 7.85966780e-01]
79,[ 4.95598946e-01 -9.93479860e-04  6.61868405e-02  1.00000000e+00],[2.24883033e-01 6.15469929e-05 7.85932857e-01]
