step,action,eef_pos
0,[-1.28468794e-04  6.91900569e-05  2.49999957e-01  1.00000000e+00],[-5.34800622e-04 -2.76842266e-04  7.92314859e-01]
1,[2.68643861e-04 1.39064863e-04 2.49999817e-01 1.00000000e+00],[-2.52550461e-03 -4.84075131e-04  7.90157650e-01]
2,[1.26313386e-03 2.42110700e-04 2.49996692e-01 1.00000000e+00],[-4.25365727e-03 -7.26014934e-04  7.91700015e-01]
3,[2.13400457e-03 3.64232257e-04 2.49990627e-01 1.00000000e+00],[-0.00566215 -0.00098294  0.79412128]
4,[2.85441410e-03 4.95522832e-04 2.49983213e-01 1.00000000e+00],[-0.00673463 -0.00123411  0.79684531]
5,[3.41372822e-03 6.25562097e-04 2.49975909e-01 1.00000000e+00],[-0.00750986 -0.00146417  0.79973676]
6,[3.82903951e-03 7.46533629e-04 2.49969560e-01 1.00000000e+00],[-0.00803814 -0.00164985  0.80274855]
7,[4.12364160e-03 8.46385947e-04 2.49964556e-01 1.00000000e+00],[-0.00837176 -0.00180751  0.80585162]
8,[4.32225314e-03 9.33198505e-04 2.49960891e-01 1.00000000e+00],[-0.00855857 -0.00194272  0.80902277]
9,[0.00444779 0.00100961 0.24995839 1.        ],[-0.00864014 -0.00205543  0.81224243]
10,[0.00452041 0.00107537 0.24995682 1.        ],[-0.00865099 -0.00214677  0.81549447]
11,[0.0045571  0.00113086 0.2499559  1.        ],[-0.00861875 -0.00221896  0.81876604]
12,[0.00457162 0.001177   0.24995543 1.        ],[-0.0085646  -0.00227492  0.82204727]
13,[0.00457475 0.00121514 0.24995519 1.        ],[-0.00850412 -0.00232311  0.82533091]
14,[0.00457454 0.00124965 0.24995502 1.        ],[-0.0084482  -0.00237129  0.82861184]
15,[0.00457677 0.00128463 0.2499548  1.        ],[-0.00840371 -0.00242194  0.83188682]
16,[0.00458521 0.00132145 0.24995446 1.        ],[-0.00837446 -0.00247713  0.83515401]
17,[0.00460206 0.00136127 0.24995393 1.        ],[-0.0083619  -0.00253815  0.83841266]
18,[0.00462831 0.00140486 0.24995321 1.        ],[-0.00836582 -0.0026022   0.84166279]
19,[0.00466402 0.00145075 0.24995228 1.        ],[-0.00838483 -0.00266579  0.84490497]
20,[0.00470865 0.00149702 0.24995117 1.        ],[-0.00841692 -0.00272704  0.84814011]
21,[0.00476125 0.00154262 0.2499499  1.        ],[-0.00845972 -0.00278463  0.8513693 ]
22,[0.00482067 0.00158679 0.24994848 1.        ],[-0.00851084 -0.00283762  0.85459367]
23,[0.00488569 0.00162895 0.24994695 1.        ],[-0.008568   -0.00288562  0.85781429]
24,[0.00495512 0.00166884 0.24994532 1.        ],[-0.00862916 -0.00292849  0.86103214]
25,[0.00502789 0.00170632 0.24994361 1.        ],[-0.00869256 -0.00296628  0.86424807]
26,[0.00510305 0.00174138 0.24994185 1.        ],[-0.00875677 -0.00299915  0.86746277]
27,[0.00517982 0.00177406 0.24994004 1.        ],[-0.00882065 -0.00302737  0.87067681]
28,[0.00525756 0.00180447 0.2499382  1.        ],[-0.00888335 -0.00305124  0.87389062]
29,[0.00533579 0.00183273 0.24993633 1.        ],[-0.00894427 -0.00307113  0.87710451]
30,[0.00541416 0.00185902 0.24993445 1.        ],[-0.00900298 -0.00308739  0.88031868]
31,[0.00549241 0.00188351 0.24993256 1.        ],[-0.00905927 -0.00310038  0.88353328]
32,[0.00557041 0.00190638 0.24993066 1.        ],[-0.009113   -0.00311045  0.88674835]
33,[0.00564809 0.00192781 0.24992876 1.        ],[-0.00916416 -0.00311796  0.88996393]
34,[0.00572541 0.00194798 0.24992684 1.        ],[-0.0092128  -0.00312323  0.89318   ]
35,[0.0058024  0.00196707 0.24992491 1.        ],[-0.00925899 -0.00312658  0.89639651]
36,[0.0058791  0.00198525 0.24992298 1.        ],[-0.00930286 -0.00312829  0.89961342]
37,[0.00595558 0.0020027  0.24992103 1.        ],[-0.0093445  -0.00312866  0.90283068]
38,[0.00603191 0.00201956 0.24991906 1.        ],[-0.00938405 -0.00312797  0.90604822]
39,[0.00610815 0.00203602 0.24991708 1.        ],[-0.00942161 -0.00312647  0.90926598]
40,[0.00618438 0.00205222 0.24991507 1.        ],[-0.00945729 -0.00312442  0.91248393]
41,[0.00626066 0.00206834 0.24991304 1.        ],[-0.00949115 -0.00312206  0.915702  ]
42,[0.00633704 0.00208454 0.24991098 1.        ],[-0.00952329 -0.00311964  0.91892015]
43,[0.00641359 0.00210097 0.24990889 1.        ],[-0.00955375 -0.0031174   0.92213836]
44,[0.00649034 0.0021178  0.24990676 1.        ],[-0.0095826  -0.00311555  0.92535658]
45,[0.00656734 0.00213521 0.2499046  1.        ],[-0.00960987 -0.00311434  0.92857479]
46,[0.00664461 0.00215336 0.24990241 1.        ],[-0.0096356  -0.00311396  0.93179296]
47,[0.0067222  0.00217243 0.24990017 1.        ],[-0.00965982 -0.00311465  0.93501106]
48,[0.00680012 0.00219259 0.24989788 1.        ],[-0.00968255 -0.00311661  0.93822906]
49,[0.00687841 0.00221401 0.24989555 1.        ],[-0.00970382 -0.00312004  0.94144694]
50,[0.0069571  0.00223689 0.24989317 1.        ],[-0.00972364 -0.00312513  0.94466467]
51,[0.0070362  0.0022614  0.24989073 1.        ],[-0.00974204 -0.00313209  0.94788221]
52,[0.00711574 0.00228773 0.24988824 1.        ],[-0.00975903 -0.00314108  0.95109953]
53,[0.00719575 0.00231605 0.24988569 1.        ],[-0.00977464 -0.00315229  0.95431661]
54,[0.00727625 0.00234657 0.24988307 1.        ],[-0.00978889 -0.00316588  0.95753339]
55,[0.00735728 0.00237946 0.24988039 1.        ],[-0.00980179 -0.003182    0.96074984]
56,[0.00743886 0.00241491 0.24987763 1.        ],[-0.00981336 -0.00320084  0.96396591]
57,[0.00752103 0.00245315 0.2498748  1.        ],[-0.0098236  -0.00322283  0.96718161]
58,[0.00760379 0.00249457 0.24987189 1.        ],[-0.00983246 -0.00324764  0.97039701]
59,[0.00768711 0.00253904 0.24986889 1.        ],[-0.00983985 -0.00327494  0.97361217]
60,[0.00777098 0.00258637 0.24986581 1.        ],[-0.00984573 -0.00330476  0.97682713]
61,[0.00785534 0.00263668 0.24986265 1.        ],[-0.00985003 -0.00333663  0.98004193]
62,[0.00794018 0.00268968 0.2498594  1.        ],[-0.00985266 -0.00336907  0.9832566 ]
63,[0.00802543 0.00274425 0.24985608 1.        ],[-0.00985356 -0.00340068  0.98647122]
64,[0.00811105 0.0027993  0.24985271 1.        ],[-0.00985264 -0.00343044  0.98968583]
65,[0.008197   0.00285399 0.24984928 1.        ],[-0.00984985 -0.0034577   0.99290047]
66,[0.00828323 0.00290775 0.24984582 1.        ],[-0.00984515 -0.00348208  0.99611518]
67,[0.00836972 0.00296024 0.24984232 1.        ],[-0.0098385  -0.00350342  0.99933   ]
68,[0.00845646 0.00301128 0.24983879 1.        ],[-0.00982987 -0.00352172  1.00254493]
69,[0.00854341 0.00306082 0.24983523 1.        ],[-0.00981925 -0.00353707  1.00575999]
