step,action,eef_pos,drawer_pos 
0,[0 0 0 0 0 0 1],[-0.13928116  0.01532312  1.02365536  1.        ],-0.0016768823160049073
1,[0 0 0 0 0 0 1],[-0.13926721  0.01567381  1.02363097  1.        ],-0.0013261859658950416
2,[0 0 0 0 0 0 1],[-0.13925637  0.01600257  1.02361026  1.        ],-0.000997433415750433
3,[0 0 0 0 0 0 1],[-0.13924919  0.01627719  1.02359423  1.        ],-0.0007228146826017343
4,[0 0 0 0 0 0 1],[-0.13924548  0.01646794  1.02358397  1.        ],-0.0005320632452130263
5,[0 0 0 0 0 0 1],[-0.13924494  0.01655617  1.02357994  1.        ],-0.00044382653591141033
6,[0 0 0 0 0 0 1],[-0.13924502  0.01657552  1.02357909  1.        ],-0.00042448221346990875
7,[0 0 0 0 0 0 1],[-0.13924505  0.01656382  1.02357967  1.        ],-0.0004361812227750596
8,[0 0 0 0 0 0 1],[-0.13924507  0.0165278   1.02358144  1.        ],-0.0004721994107756769
9,[0 0 0 0 0 0 1],[-0.13924466  0.01645206  1.02358441  1.        ],-0.0005479438541168939
10,[0 0 0 0 0 0 1],[-0.13924301  0.01630423  1.02358886  1.        ],-0.0006957667641505523
11,[0 0 0 0 0 0 1],[-0.13924023  0.0160964   1.02359433  1.        ],-0.0009035964214980131
12,[0 0 0 0 0 0 1],[-0.13923652  0.01584751  1.02360033  1.        ],-0.0011524864278039948
13,[0 0 0 0 0 0 1],[-0.13923211  0.01557479  1.02360645  1.        ],-0.0014252108827243152
14,[0 0 0 0 0 0 1],[-0.13922721  0.01529321  1.02361237  1.        ],-0.0017067881897670986
15,[0 0 0 0 0 0 1],[-0.13922206  0.01501544  1.02361788  1.        ],-0.001984558353962376
16,[0 0 0 0 0 0 1],[-0.13921688  0.01475182  1.02362283  1.        ],-0.0022481774040370127
17,[0 0 0 0 0 0 1],[-0.13921189  0.01451044  1.02362713  1.        ],-0.002489555595921688
18,[0 0 0 0 0 0 1],[-0.13920733  0.01429655  1.02363071  1.        ],-0.0027034472767945815
19,[0 0 0 0 0 0 1],[-0.13920375  0.01410668  1.0236333   1.        ],-0.002893324140359272
20,[0 0 0 0 0 0 1],[-0.13920132  0.0139364   1.02363489  1.        ],-0.0030635971403166276
21,[0 0 0 0 0 0 1],[-0.13919981  0.01378561  1.02363574  1.        ],-0.003214394368034723
22,[0 0 0 0 0 0 1],[-0.13919864  0.01365196  1.02363626  1.        ],-0.003348042917756259
23,[0 0 0 0 0 0 1],[-0.13919751  0.01353833  1.02363669  1.        ],-0.0034616745047260835
24,[0 0 0 0 0 0 1],[-0.13919647  0.01345455  1.02363704  1.        ],-0.003545447350089121
25,[0 0 0 0 0 0 1],[-0.13919553  0.01340403  1.02363739  1.        ],-0.003595973265904353
26,[0 0 0 0 0 0 1],[-0.13919466  0.01337067  1.02363777  1.        ],-0.0036293296960722733
27,[0 0 0 0 0 0 1],[-0.13919383  0.01334396  1.02363816  1.        ],-0.0036560373020816227
28,[0 0 0 0 0 0 1],[-0.13919305  0.01332138  1.02363854  1.        ],-0.0036786247889072834
29,[0 0 0 0 0 0 1],[-0.13919232  0.01330196  1.02363891  1.        ],-0.003698035295457215
30,[0 0 0 0 0 0 1],[-0.13919163  0.01328506  1.02363927  1.        ],-0.003714935630760542
31,[0 0 0 0 0 0 1],[-0.13919097  0.01327012  1.02363961  1.        ],-0.0037298757674478974
32,[0 0 0 0 0 0 1],[-0.13919034  0.01325684  1.02363993  1.        ],-0.0037431618734241508
33,[0 0 0 0 0 0 1],[-0.13918975  0.01324524  1.02364024  1.        ],-0.0037547605570797896
34,[0 0 0 0 0 0 1],[-0.13918918  0.01323514  1.02364054  1.        ],-0.003764863679970575
35,[0 0 0 0 0 0 1],[-0.13918865  0.01322635  1.02364083  1.        ],-0.0037736535841419883
36,[0 0 0 0 0 0 1],[-0.13918814  0.01321871  1.02364111  1.        ],-0.0037812889291100864
37,[0 0 0 0 0 0 1],[-0.13918766  0.01321209  1.02364137  1.        ],-0.003787909307060827
38,[0 0 0 0 0 0 1],[-0.1391872   0.01320636  1.02364163  1.        ],-0.003793637811576262
39,[0 0 0 0 0 0 1],[-0.13918677  0.01320142  1.02364187  1.        ],-0.0037985830196853605
40,[0 0 0 0 0 0 1],[-0.13918635  0.01319716  1.0236421   1.        ],-0.0038028406958334014
41,[0 0 0 0 0 0 1],[-0.13918596  0.0131935   1.02364233  1.        ],-0.0038064952894555255
42,[0 0 0 0 0 0 1],[-0.13918558  0.01319038  1.02364254  1.        ],-0.0038096212570772076
43,[0 0 0 0 0 0 1],[-0.13918523  0.01318772  1.02364274  1.        ],-0.0038122842304140446
