step,action,eef_pos,drawer_pos 
0,[0 0 0 0 0 0 1],[-0.13945433  0.01604418  1.02219772  1.        ],-0.0009558170250090862
1,[0 0 0 0 0 0 1],[-0.13944388  0.0161205   1.02218659  1.        ],-0.0008795033037106333
2,[0 0 0 0 0 0 1],[-0.13943836  0.0161589   1.02218036  1.        ],-0.000841096009314507
3,[0 0 0 0 0 0 1],[-0.13943717  0.01617588  1.02217824  1.        ],-0.0008241239304256284
4,[0 0 0 0 0 0 1],[-0.13943681  0.01617616  1.02217771  1.        ],-0.0008238434618300823
5,[0 0 0 0 0 0 1],[-0.13943638  0.01615449  1.02217811  1.        ],-0.0008455136241696699
6,[0 0 0 0 0 0 1],[-0.13943575  0.01611606  1.02217936  1.        ],-0.0008839420248469218
7,[0 0 0 0 0 0 1],[-0.13943484  0.01605113  1.02218144  1.        ],-0.0009488670039936101
8,[0 0 0 0 0 0 1],[-0.139433    0.01593371  1.0221846   1.        ],-0.0010662889518086027
9,[0 0 0 0 0 0 1],[-0.13943031  0.01577079  1.02218856  1.        ],-0.0012292062654892695
10,[0 0 0 0 0 0 1],[-0.13942697  0.01557614  1.02219297  1.        ],-0.0014238607532217774
11,[0 0 0 0 0 0 1],[-0.13942314  0.0153625   1.02219753  1.        ],-0.0016375005931375253
12,[0 0 0 0 0 0 1],[-0.139419    0.01514106  1.02220203  1.        ],-0.0018589350630055096
13,[0 0 0 0 0 0 1],[-0.1394147   0.01492136  1.02220628  1.        ],-0.0020786433932336954
14,[0 0 0 0 0 0 1],[-0.13941043  0.01471121  1.02221016  1.        ],-0.002288791259964675
15,[0 0 0 0 0 0 1],[-0.13940632  0.01451681  1.0222136   1.        ],-0.0024831943262479186
16,[0 0 0 0 0 0 1],[-0.13940251  0.01434276  1.02221655  1.        ],-0.0026572413948487885
17,[0 0 0 0 0 0 1],[-0.13939916  0.01419161  1.02221896  1.        ],-0.0028083868038425303
18,[0 0 0 0 0 0 1],[-0.13939661  0.01406027  1.02222065  1.        ],-0.0029397256617732567
19,[0 0 0 0 0 0 1],[-0.13939493  0.01394594  1.02222164  1.        ],-0.0030540633115621607
20,[0 0 0 0 0 0 1],[-0.13939374  0.01384607  1.02222221  1.        ],-0.0031539330693198322
21,[0 0 0 0 0 0 1],[-0.13939261  0.01376035  1.02222268  1.        ],-0.0032396511266940178
22,[0 0 0 0 0 0 1],[-0.13939156  0.01369437  1.02222309  1.        ],-0.00330563062631355
23,[0 0 0 0 0 0 1],[-0.13939064  0.01365931  1.0222235   1.        ],-0.0033406850755944573
24,[0 0 0 0 0 0 1],[-0.13938978  0.01364163  1.02222394  1.        ],-0.003358366075187906
25,[0 0 0 0 0 0 1],[-0.13938896  0.01362866  1.02222439  1.        ],-0.0033713405323244836
