step,action,eef_pos,drawer_pos 
0,[0 0 0 0 0 0 1],[-0.13939714  0.01617755  1.02361921  1.        ],-0.0008224469602283006
1,[0 0 0 0 0 0 1],[-0.13940209  0.01742408  1.02362757  1.        ],0.0004240786244896072
2,[0 0 0 0 0 0 1],[-0.13940625  0.01835392  1.02361811  1.        ],0.0013539219933557355
3,[0 0 0 0 0 0 1],[-0.13940812  0.01888747  1.02359864  1.        ],0.0018874652615425702
4,[0 0 0 0 0 0 1],[-0.13940985  0.01931663  1.02358352  1.        ],0.002316625567092511
5,[0 0 0 0 0 0 1],[-0.13941289  0.01963278  1.02357371  1.        ],0.0026327848820695138
6,[0 0 0 0 0 0 1],[-0.13941598  0.01982268  1.02356876  1.        ],0.0028226812949225626
7,[0 0 0 0 0 0 1],[-0.13941702  0.01988786  1.0235671   1.        ],0.002887861160673237
8,[0 0 0 0 0 0 1],[-0.13941744  0.01989847  1.02356707  1.        ],0.002898474981405226
9,[0 0 0 0 0 0 1],[-0.13941764  0.01988483  1.0235681   1.        ],0.00288483111906275
10,[0 0 0 0 0 0 1],[-0.13941774  0.01984838  1.02356994  1.        ],0.0028483809942036857
11,[0 0 0 0 0 0 1],[-0.13941737  0.01977876  1.02357259  1.        ],0.0027787599625983365
12,[0 0 0 0 0 0 1],[-0.1394158   0.01964953  1.02357629  1.        ],0.002649529683244483
13,[0 0 0 0 0 0 1],[-0.13941319  0.01947255  1.02358068  1.        ],0.002472551895151054
14,[0 0 0 0 0 0 1],[-0.1394098   0.01926569  1.02358534  1.        ],0.0022656862121215766
15,[0 0 0 0 0 0 1],[-0.13940587  0.01904445  1.02358998  1.        ],0.002044454991952875
16,[0 0 0 0 0 0 1],[-0.13940166  0.01882176  1.02359436  1.        ],0.0018217563727962252
17,[0 0 0 0 0 0 1],[-0.13939739  0.01860798  1.02359833  1.        ],0.0016079834684050477
18,[0 0 0 0 0 0 1],[-0.13939324  0.018411    1.02360181  1.        ],0.0014110043769319236
19,[0 0 0 0 0 0 1],[-0.13938946  0.0182352   1.02360471  1.        ],0.0012351990145481606
20,[0 0 0 0 0 0 1],[-0.13938658  0.01807708  1.02360674  1.        ],0.0010770781449292548
21,[0 0 0 0 0 0 1],[-0.13938473  0.01793318  1.02360791  1.        ],0.0009331782859788758
22,[0 0 0 0 0 0 1],[-0.13938353  0.01780158  1.02360852  1.        ],0.0008015832091973311
23,[0 0 0 0 0 0 1],[-0.13938241  0.01768334  1.023609    1.        ],0.0006833408140080773
24,[0 0 0 0 0 0 1],[-0.13938132  0.01758464  1.0236094   1.        ],0.0005846369365221996
25,[0 0 0 0 0 0 1],[-0.1393803   0.01751453  1.02360974  1.        ],0.0005145271110941381
26,[0 0 0 0 0 0 1],[-0.13937938  0.01747686  1.0236101   1.        ],0.000476861498037124
27,[0 0 0 0 0 0 1],[-0.13937852  0.01745556  1.0236105   1.        ],0.00045556159762720483
28,[0 0 0 0 0 0 1],[-0.1393777   0.01743919  1.0236109   1.        ],0.00043918739339719043
29,[0 0 0 0 0 0 1],[-0.13937692  0.01742531  1.02361129  1.        ],0.0004253060252924039
30,[0 0 0 0 0 0 1],[-0.13937619  0.01741332  1.02361167  1.        ],0.00041332356369754714
31,[0 0 0 0 0 0 1],[-0.13937549  0.01740294  1.02361204  1.        ],0.0004029430017661942
32,[0 0 0 0 0 0 1],[-0.13937483  0.01739395  1.02361239  1.        ],0.0003939496754084802
33,[0 0 0 0 0 0 1],[-0.1393742   0.01738617  1.02361273  1.        ],0.000386165088688311
34,[0 0 0 0 0 0 1],[-0.1393736   0.01737943  1.02361305  1.        ],0.0003794349811022425
35,[0 0 0 0 0 0 1],[-0.13937303  0.01737362  1.02361336  1.        ],0.0003736247851826163
36,[0 0 0 0 0 0 1],[-0.13937249  0.01736862  1.02361366  1.        ],0.00036861686241202937
37,[0 0 0 0 0 0 1],[-0.13937198  0.01736431  1.02361395  1.        ],0.0003643083317812698
38,[0 0 0 0 0 0 1],[-0.13937149  0.01736061  1.02361422  1.        ],0.0003606092191672204
39,[0 0 0 0 0 0 1],[-0.13937103  0.01735744  1.02361449  1.        ],0.00035744084685313676
40,[0 0 0 0 0 0 1],[-0.13937058  0.01735473  1.02361474  1.        ],0.0003547344256384505
41,[0 0 0 0 0 0 1],[-0.13937016  0.01735243  1.02361498  1.        ],0.0003524298224249385
42,[0 0 0 0 0 0 1],[-0.13936976  0.01735047  1.02361521  1.        ],0.0003504744808667977
43,[0 0 0 0 0 0 1],[-0.13936938  0.01734882  1.02361543  1.        ],0.00034882247617859866
44,[0 0 0 0 0 0 1],[-0.13936902  0.01734743  1.02361564  1.        ],0.0003474336874833249
45,[0 0 0 0 0 0 1],[-0.13936867  0.01734627  1.02361584  1.        ],0.0003462723791065707
46,[0 0 0 0 0 0 1],[-0.13936834  0.01734524  1.02361603  1.        ],0.00034524379545748315
47,[0 0 0 0 0 0 1],[-0.13936803  0.01734423  1.02361621  1.        ],0.0003442339559986199
