step,action,eef_pos,drawer_pos 
0,[0 0 0 0 0 0 1],[-0.13948876  0.01795665  1.02220525  1.        ],0.0009566500192005195
1,[0 0 0 0 0 0 1],[-0.13949207  0.01841588  1.02219122  1.        ],0.0014158791339285437
2,[0 0 0 0 0 0 1],[-0.13949436  0.01872153  1.02217988  1.        ],0.0017215301695960826
3,[0 0 0 0 0 0 1],[-0.13949782  0.01896232  1.0221726   1.        ],0.001962317821593569
4,[0 0 0 0 0 0 1],[-0.13950086  0.0191196   1.02216858  1.        ],0.0021196021957441656
5,[0 0 0 0 0 0 1],[-0.13950205  0.01918506  1.02216687  1.        ],0.0021850598968834976
6,[0 0 0 0 0 0 1],[-0.13950263  0.01920333  1.02216644  1.        ],0.0022033281416849737
7,[0 0 0 0 0 0 1],[-0.13950276  0.01920217  1.02216665  1.        ],0.002202169367928126
8,[0 0 0 0 0 0 1],[-0.13950263  0.01918436  1.02216744  1.        ],0.0021843589382997686
9,[0 0 0 0 0 0 1],[-0.13950233  0.01915063  1.0221687   1.        ],0.002150630197955486
10,[0 0 0 0 0 0 1],[-0.13950181  0.01910129  1.0221703   1.        ],0.0021012905874457505
11,[0 0 0 0 0 0 1],[-0.13950058  0.01901945  1.02217245  1.        ],0.0020194543846324374
12,[0 0 0 0 0 0 1],[-0.13949859  0.01890472  1.02217504  1.        ],0.0019047191214818342
13,[0 0 0 0 0 0 1],[-0.13949608  0.01876966  1.02217784  1.        ],0.0017696604738850173
14,[0 0 0 0 0 0 1],[-0.13949326  0.01862551  1.02218063  1.        ],0.001625513208247508
15,[0 0 0 0 0 0 1],[-0.13949031  0.01848138  1.02218326  1.        ],0.0014813769913075217
16,[0 0 0 0 0 0 1],[-0.1394874   0.01834435  1.02218564  1.        ],0.0013443538398159038
17,[0 0 0 0 0 0 1],[-0.13948467  0.01821974  1.02218771  1.        ],0.0012197446047696736
18,[0 0 0 0 0 0 1],[-0.13948233  0.01810973  1.02218934  1.        ],0.0011097250672368539
19,[0 0 0 0 0 0 1],[-0.13948066  0.01801171  1.02219038  1.        ],0.0010117149430176435
20,[0 0 0 0 0 0 1],[-0.1394795   0.01792261  1.02219099  1.        ],0.0009226056444689885
21,[0 0 0 0 0 0 1],[-0.1394784   0.01784227  1.02219148  1.        ],0.0008422708271581744
22,[0 0 0 0 0 0 1],[-0.13947734  0.01777565  1.0221919   1.        ],0.0007756522062648263
23,[0 0 0 0 0 0 1],[-0.13947634  0.01772706  1.02219229  1.        ],0.0007270596208347087
24,[0 0 0 0 0 0 1],[-0.13947548  0.01770608  1.0221927   1.        ],0.0007060757253838333
25,[0 0 0 0 0 0 1],[-0.1394747   0.01770161  1.02219316  1.        ],0.0007016076139773446
26,[0 0 0 0 0 0 1],[-0.13947394  0.01770044  1.02219362  1.        ],0.0007004377556705035
27,[0 0 0 0 0 0 1],[-0.13947322  0.01769958  1.02219406  1.        ],0.0006995790669715139
28,[0 0 0 0 0 0 1],[-0.13947253  0.01769874  1.02219448  1.        ],0.0006987398146025975
29,[0 0 0 0 0 0 1],[-0.13947192  0.01768637  1.02219477  1.        ],0.0006863706971781923
30,[0 0 0 0 0 0 1],[-0.13947136  0.0176625   1.02219498  1.        ],0.0006624975325478198
31,[0 0 0 0 0 0 1],[-0.13947083  0.01764064  1.02219517  1.        ],0.0006406370756045394
32,[0 0 0 0 0 0 1],[-0.13947035  0.01762048  1.02219535  1.        ],0.000620479511029573
33,[0 0 0 0 0 0 1],[-0.13946989  0.01760173  1.02219552  1.        ],0.0006017317048355904
34,[0 0 0 0 0 0 1],[-0.13946947  0.01758421  1.02219568  1.        ],0.0005842105956631281
35,[0 0 0 0 0 0 1],[-0.13946908  0.01756779  1.02219582  1.        ],0.000567791598554114
36,[0 0 0 0 0 0 1],[-0.13946872  0.01755238  1.02219596  1.        ],0.0005523820532158039
37,[0 0 0 0 0 0 1],[-0.13946838  0.01753791  1.02219608  1.        ],0.000537907424507135
38,[0 0 0 0 0 0 1],[-0.13946806  0.0175243   1.0221962   1.        ],0.0005243041181687141
39,[0 0 0 0 0 0 1],[-0.13946777  0.01751152  1.0221963   1.        ],0.0005115156952133285
40,[0 0 0 0 0 0 1],[-0.1394675   0.01749949  1.0221964   1.        ],0.0004994908359790863
41,[0 0 0 0 0 0 1],[-0.13946726  0.01748818  1.02219649  1.        ],0.0004881822074914999
42,[0 0 0 0 0 0 1],[-0.13946703  0.01747755  1.02219657  1.        ],0.00047754579960423635
43,[0 0 0 0 0 0 1],[-0.13946681  0.01746754  1.02219664  1.        ],0.00046754050667067656
44,[0 0 0 0 0 0 1],[-0.13946662  0.01745812  1.02219671  1.        ],0.00045812055629367715
45,[0 0 0 0 0 0 1],[-0.13946644  0.01744922  1.02219677  1.        ],0.00044921838745242207
46,[0 0 0 0 0 0 1],[-0.13946627  0.01744077  1.02219682  1.        ],0.0004407740766647038
47,[0 0 0 0 0 0 1],[-0.13946611  0.01743274  1.02219687  1.        ],0.00043273542860444714
48,[0 0 0 0 0 0 1],[-0.13946595  0.01742506  1.02219691  1.        ],0.0004250576865204199
49,[0 0 0 0 0 0 1],[-0.13946581  0.0174177   1.02219694  1.        ],0.00041770346626187824
50,[ 0.  -0.2  0.   0.   0.   0.   1. ],[-0.13945813  0.01668525  1.022202    1.        ],-0.00031475322372834236
51,[ 0.  -0.2  0.   0.   0.   0.   1. ],[-0.13945519  0.01552018  1.0222045   1.        ],-0.001479821663910549
52,[ 0.  -0.2  0.   0.   0.   0.   1. ],[-0.13945505  0.01424937  1.02220512  1.        ],-0.002750633706824315
53,[ 0.  -0.2  0.   0.   0.   0.   1. ],[-0.13945508  0.01291849  1.02220563  1.        ],-0.0040815070975630825
54,[ 0.  -0.2  0.   0.   0.   0.   1. ],[-0.13945508  0.01152354  1.02220615  1.        ],-0.005476457545402309
55,[ 0.  -0.2  0.   0.   0.   0.   1. ],[-0.13945511  0.01006929  1.02220665  1.        ],-0.006930712034968804
56,[ 0.  -0.2  0.   0.   0.   0.   1. ],[-0.13945513  0.00855367  1.02220715  1.        ],-0.008446332323146132
57,[ 0.  -0.2  0.   0.   0.   0.   1. ],[-0.13945516  0.00697166  1.02220763  1.        ],-0.010028336267516045
58,[ 0.  -0.2  0.   0.   0.   0.   1. ],[-0.13945519  0.00532051  1.0222081   1.        ],-0.01167948747906708
59,[ 0.  -0.2  0.   0.   0.   0.   1. ],[-0.13945521  0.00360021  1.02220856  1.        ],-0.013399787549572911
60,[ 0.  -0.2  0.   0.   0.   0.   1. ],[-0.13945525  0.00181306  1.02220899  1.        ],-0.015186941570184907
61,[ 0.  -0.2  0.   0.   0.   0.   1. ],[-1.39455289e-01 -3.69594523e-05  1.02220940e+00  1.00000000e+00],-0.01703695945227015
62,[ 0.  -0.2  0.   0.   0.   0.   1. ],[-0.13945534 -0.0019447   1.02220979  1.        ],-0.018944703799124697
63,[ 0.  -0.2  0.   0.   0.   0.   1. ],[-0.1394555  -0.0039042   1.02221022  1.        ],-0.020904203481964624
