step,action,eef_pos,good,drop_pos
0,[ 0.02078972 -0.3         0.21648076  1.        ],[ 0.18422488 -0.24283519  1.08628472],False,[ 0.13917477 -0.10952223  0.99039901]
1,[-0.04478468 -0.3         0.20668464  1.        ],[ 0.18741395 -0.24944729  1.09111768],False,[ 0.13917477 -0.10952223  0.99039901]
2,[-0.03219257 -0.3         0.20532201  1.        ],[ 0.19019705 -0.25564397  1.09684892],False,[ 0.13917477 -0.10952223  0.99039901]
3,[ 0  0  0 -1],[ 0.19311344 -0.25988085  1.10138039],False,[ 0.13917477 -0.10952223  0.99039901]
4,[ 0  0  0 -1],[ 0.19619863 -0.26259893  1.10473795],False,[ 0.13917477 -0.10952223  0.99039901]
5,[ 0  0  0 -1],[ 0.19921719 -0.26479305  1.10767925],False,[ 0.13917477 -0.10952223  0.99039901]
6,[ 0  0  0 -1],[ 0.20207404 -0.26664147  1.11034047],False,[ 0.13917477 -0.10952223  0.99039901]
7,[ 0  0  0 -1],[ 0.20472655 -0.26821253  1.11275084],False,[ 0.13917477 -0.10952223  0.99039901]
8,[ 0  0  0 -1],[ 0.20715028 -0.2695545   1.11491956],False,[ 0.13917477 -0.10952223  0.99039901]
9,[ 0  0  0 -1],[ 0.20934574 -0.27070954  1.11690606],False,[ 0.13917477 -0.10952223  0.99039901]
10,[ 0  0  0 -1],[ 0.21129909 -0.27170345  1.11869759],False,[ 0.13917477 -0.10952223  0.99039901]
11,[ 0  0  0 -1],[ 0.21301054 -0.27255765  1.12027501],False,[ 0.13917477 -0.10952223  0.99039901]
12,[ 0  0  0 -1],[ 0.21449038 -0.27329165  1.12164515],False,[ 0.13917477 -0.10952223  0.99039901]
13,[ 0  0  0 -1],[ 0.21574099 -0.27391428  1.12282532],False,[ 0.13917477 -0.10952223  0.99039901]
14,[ 0  0  0 -1],[ 0.21678522 -0.27444044  1.12384273],False,[ 0.13917477 -0.10952223  0.99039901]
15,[ 0  0  0 -1],[ 0.21765316 -0.27488686  1.12470576],False,[ 0.13917477 -0.10952223  0.99039901]
16,[ 0  0  0 -1],[ 0.21836429 -0.27526344  1.12541602],False,[ 0.13917477 -0.10952223  0.99039901]
17,[ 0  0  0 -1],[ 0.2189386  -0.27557885  1.12598174],False,[ 0.13917477 -0.10952223  0.99039901]
18,[ 0  0  0 -1],[ 0.21940523 -0.27584211  1.126448  ],False,[ 0.13917477 -0.10952223  0.99039901]
19,[ 0  0  0 -1],[ 0.21977634 -0.27605992  1.12682744],False,[ 0.13917477 -0.10952223  0.99039901]
20,[ 0  0  0 -1],[ 0.2200623  -0.27623914  1.12712742],False,[ 0.13917477 -0.10952223  0.99039901]
21,[ 0  0  0 -1],[ 0.22027626 -0.27638633  1.12735953],False,[ 0.13917477 -0.10952223  0.99039901]
22,[ 0  0  0 -1],[ 0.22043038 -0.27650728  1.12753498],False,[ 0.13917477 -0.10952223  0.99039901]
23,[ 0  0  0 -1],[ 0.22053564 -0.27660711  1.12766401],False,[ 0.13917477 -0.10952223  0.99039901]
24,[ 0  0  0 -1],[ 0.22060191 -0.27669029  1.1277559 ],False,[ 0.13917477 -0.10952223  0.99039901]
25,[ 0  0  0 -1],[ 0.2206379  -0.27676068  1.12781889],False,[ 0.13917477 -0.10952223  0.99039901]
26,[ 0  0  0 -1],[ 0.22065129 -0.27682166  1.12786027],False,[ 0.13917477 -0.10952223  0.99039901]
27,[ 0  0  0 -1],[ 0.22064871 -0.27687608  1.12788636],False,[ 0.13917477 -0.10952223  0.99039901]
28,[ 0  0  0 -1],[ 0.22063588 -0.27692628  1.12790259],False,[ 0.13917477 -0.10952223  0.99039901]
29,[ 0  0  0 -1],[ 0.22061807 -0.27697316  1.12791361],False,[ 0.13917477 -0.10952223  0.99039901]
30,[ 0  0  0 -1],[ 0.22059968 -0.27701739  1.12792325],False,[ 0.13917477 -0.10952223  0.99039901]
31,[ 0  0  0 -1],[ 0.22058406 -0.27706     1.12793463],False,[ 0.13917477 -0.10952223  0.99039901]
32,[ 0  0  0 -1],[ 0.22057379 -0.27710201  1.12795021],False,[ 0.13917477 -0.10952223  0.99039901]
33,[ 0  0  0 -1],[ 0.22056459 -0.27714294  1.12796398],False,[ 0.13917477 -0.10952223  0.99039901]
34,[ 0  0  0 -1],[ 0.22055194 -0.27717938  1.12796673],False,[ 0.13917477 -0.10952223  0.99039901]
35,[ 0  0  0 -1],[ 0.22054    -0.27721346  1.12796855],False,[ 0.13917477 -0.10952223  0.99039901]
36,[ 0  0  0 -1],[ 0.22052872 -0.27724581  1.12797035],False,[ 0.13917477 -0.10952223  0.99039901]
37,[ 0  0  0 -1],[ 0.22051802 -0.27727663  1.12797213],False,[ 0.13917477 -0.10952223  0.99039901]
