step,action,eef_pos,good,drop_pos,success,failure
0,[-0.06823205  0.11669937 -0.26781644  1.        ],[-0.02744137  0.00805461  1.21739174],True,[-0.11416288  0.15630529  0.87      ],False,False
1,[-0.06713395  0.11476569 -0.26892726  1.        ],[-0.02737181  0.00927555  1.21641539],True,[-0.11416288  0.15630529  0.87      ],False,False
2,[-0.06741845  0.11421126 -0.26909207  1.        ],[-0.0272116   0.01062301  1.21409888],True,[-0.11416288  0.15630529  0.87      ],False,False
3,[-0.06799253  0.1139179  -0.26907198  1.        ],[-0.02715917  0.01202641  1.21140879],True,[-0.11416288  0.15630529  0.87      ],False,False
4,[-0.06855765  0.11368965 -0.26902512  1.        ],[-0.02727043  0.01345952  1.20852802],True,[-0.11416288  0.15630529  0.87      ],False,False
5,[-0.06904145  0.11349984 -0.26898153  1.        ],[-0.02755279  0.01490681  1.20549827],True,[-0.11416288  0.15630529  0.87      ],False,False
6,[-0.06942919  0.11334917 -0.26894526  1.        ],[-0.02799773  0.01635867  1.20233641],True,[-0.11416288  0.15630529  0.87      ],False,False
7,[-0.06972195  0.11324011 -0.26891547  1.        ],[-0.02858885  0.0178096   1.19905767],True,[-0.11416288  0.15630529  0.87      ],False,False
8,[-0.06992715  0.11317228 -0.26889074  1.        ],[-0.02930594  0.01925691  1.19567858],True,[-0.11416288  0.15630529  0.87      ],False,False
9,[-0.07005518  0.11314277 -0.26886983  1.        ],[-0.03012745  0.02069966  1.19221636],True,[-0.11416288  0.15630529  0.87      ],False,False
10,[-0.07011771  0.11314699 -0.26885175  1.        ],[-0.03103219  0.022138    1.18868781],True,[-0.11416288  0.15630529  0.87      ],False,False
11,[-0.07012662  0.1131796  -0.2688357   1.        ],[-0.03200048  0.02357261  1.18510856],True,[-0.11416288  0.15630529  0.87      ],False,False
12,[-0.07009326  0.11323507 -0.26882105  1.        ],[-0.03301474  0.02500445  1.18149252],True,[-0.11416288  0.15630529  0.87      ],False,False
13,[-0.07002804  0.11330808 -0.26880728  1.        ],[-0.03405994  0.02643453  1.17785163],True,[-0.11416288  0.15630529  0.87      ],False,False
14,[-0.06994016  0.11339385 -0.26879399  1.        ],[-0.0351236   0.02786377  1.17419572],True,[-0.11416288  0.15630529  0.87      ],False,False
15,[-0.06983743  0.11348821 -0.26878088  1.        ],[-0.03619582  0.029293    1.17053259],True,[-0.11416288  0.15630529  0.87      ],False,False
16,[-0.06972631  0.11358769 -0.2687677   1.        ],[-0.03726905  0.03072292  1.16686817],True,[-0.11416288  0.15630529  0.87      ],False,False
17,[-0.06961188  0.11368954 -0.2687543   1.        ],[-0.03833781  0.03215403  1.16320672],True,[-0.11416288  0.15630529  0.87      ],False,False
18,[-0.06949798  0.11379166 -0.26874056  1.        ],[-0.03939844  0.03358675  1.15955108],True,[-0.11416288  0.15630529  0.87      ],False,False
19,[-0.06938735  0.11389256 -0.2687264   1.        ],[-0.04044874  0.03502132  1.15590293],True,[-0.11416288  0.15630529  0.87      ],False,False
20,[-0.06928176  0.11399126 -0.2687118   1.        ],[-0.04148771  0.0364579   1.15226305],True,[-0.11416288  0.15630529  0.87      ],False,False
21,[-0.06918221  0.1140872  -0.26869673  1.        ],[-0.04251519  0.03789658  1.14863153],True,[-0.11416288  0.15630529  0.87      ],False,False
