step,action,eef_pos,good,target_pos,in_target
0,[ 0.01501755  0.3         0.         -1.        ],[-0.19304092  0.18565515],False,[-0.1421367  -0.23584676],False
1,[ 0.01501755  0.3         0.         -1.        ],[-0.1937993   0.18915041],False,[-0.1421367  -0.23584676],False
2,[ 0.01501755  0.3         0.         -1.        ],[-0.19459537  0.19302179],False,[-0.1421367  -0.23584676],False
3,[ 0.01501755  0.3         0.         -1.        ],[-0.1952698  0.197118 ],False,[-0.1421367  -0.23584676],False
4,[ 0.01501755  0.3         0.         -1.        ],[-0.19585491  0.2013082 ],False,[-0.1421367  -0.23584676],False
5,[ 0.01501755  0.3         0.         -1.        ],[-0.19637277  0.20550925],False,[-0.1421367  -0.23584676],False
6,[ 0.01501755  0.3         0.         -1.        ],[-0.19682702  0.20967307],False,[-0.1421367  -0.23584676],False
7,[ 0.01501755  0.3         0.         -1.        ],[-0.19721255  0.21377705],False,[-0.1421367  -0.23584676],False
8,[ 0.01501755  0.3         0.         -1.        ],[-0.19752286  0.2178159 ],False,[-0.1421367  -0.23584676],False
9,[ 0.01501755  0.3         0.         -1.        ],[-0.1977539   0.22179478],False,[-0.1421367  -0.23584676],False
10,[ 0.01501755  0.3         0.         -1.        ],[-0.19790526  0.22572423],False,[-0.1421367  -0.23584676],False
11,[ 0.01501755  0.3         0.         -1.        ],[-0.19798029  0.22961664],False,[-0.1421367  -0.23584676],False
12,[ 0.01501755  0.3         0.         -1.        ],[-0.19798534  0.23348391],False,[-0.1421367  -0.23584676],False
13,[ 0.01501755  0.3         0.         -1.        ],[-0.197929    0.23733629],False,[-0.1421367  -0.23584676],False
14,[ 0.01501755  0.3         0.         -1.        ],[-0.19782116  0.24118175],False,[-0.1421367  -0.23584676],False
15,[ 0.01501755  0.3         0.         -1.        ],[-0.19767223  0.24502594],False,[-0.1421367  -0.23584676],False
16,[ 0.01501755  0.3         0.         -1.        ],[-0.19749244  0.24887241],False,[-0.1421367  -0.23584676],False
17,[ 0.01501755  0.3         0.         -1.        ],[-0.19729132  0.25272298],False,[-0.1421367  -0.23584676],False
18,[ 0.01501755  0.3         0.         -1.        ],[-0.19707732  0.2565781 ],False,[-0.1421367  -0.23584676],False
19,[ 0.03347147 -0.3         0.         -1.        ],[-0.19679642  0.25723822],True,[-0.1421367  -0.23584676],False
20,[ 0.03347147 -0.3         0.         -1.        ],[-0.19652563  0.25552176],True,[-0.1421367  -0.23584676],False
21,[ 0.03347147 -0.3         0.         -1.        ],[-0.19631256  0.25317945],True,[-0.1421367  -0.23584676],False
22,[ 0.03347147 -0.3         0.         -1.        ],[-0.19614991  0.25040145],True,[-0.1421367  -0.23584676],False
23,[ 0.03347147 -0.3         0.         -1.        ],[-0.19601376  0.24727253],True,[-0.1421367  -0.23584676],False
24,[ 0.03347147 -0.3         0.         -1.        ],[-0.19589171  0.24385797],True,[-0.1421367  -0.23584676],False
25,[ 0.03347147 -0.3         0.         -1.        ],[-0.19577307  0.24022259],True,[-0.1421367  -0.23584676],False
26,[ 0.03347147 -0.3         0.         -1.        ],[-0.19564773  0.23642675],True,[-0.1421367  -0.23584676],False
27,[ 0.03347147 -0.3         0.         -1.        ],[-0.19550652  0.23252231],True,[-0.1421367  -0.23584676],False
28,[ 0.03347147 -0.3         0.         -1.        ],[-0.19534181  0.22855104],True,[-0.1421367  -0.23584676],False
29,[ 0.03347147 -0.3         0.         -1.        ],[-0.1951478   0.22454467],True,[-0.1421367  -0.23584676],False
30,[ 0.03347147 -0.3         0.         -1.        ],[-0.1949207   0.22052593],True,[-0.1421367  -0.23584676],False
31,[ 0.03347147 -0.3         0.         -1.        ],[-0.19465875  0.21650993],True,[-0.1421367  -0.23584676],False
32,[ 0.03347147 -0.3         0.         -1.        ],[-0.19436201  0.21250577],True,[-0.1421367  -0.23584676],False
33,[ 0.03347147 -0.3         0.         -1.        ],[-0.19403206  0.20851804],True,[-0.1421367  -0.23584676],False
34,[ 0.03347147 -0.3         0.         -1.        ],[-0.19367168  0.20454812],True,[-0.1421367  -0.23584676],False
35,[ 0.03347147 -0.3         0.         -1.        ],[-0.1932844   0.20059529],True,[-0.1421367  -0.23584676],False
36,[ 0.03347147 -0.3         0.         -1.        ],[-0.1928742   0.19665759],True,[-0.1421367  -0.23584676],False
37,[ 0.03347147 -0.3         0.         -1.        ],[-0.19244516  0.19273244],True,[-0.1421367  -0.23584676],False
38,[ 0.03347147 -0.3         0.         -1.        ],[-0.19200119  0.18881712],True,[-0.1421367  -0.23584676],False
39,[ 0.03347147 -0.3         0.         -1.        ],[-0.1915459   0.18490904],True,[-0.1421367  -0.23584676],False
40,[ 0.03347147 -0.3         0.         -1.        ],[-0.19108242  0.18100587],True,[-0.1421367  -0.23584676],False
41,[ 0.03347147 -0.3         0.         -1.        ],[-0.19061336  0.17710568],True,[-0.1421367  -0.23584676],False
42,[ 0.03347147 -0.3         0.         -1.        ],[-0.19014081  0.1732069 ],True,[-0.1421367  -0.23584676],False
43,[ 0.03347147 -0.3         0.         -1.        ],[-0.18966636  0.16930834],True,[-0.1421367  -0.23584676],False
44,[ 0.03347147 -0.3         0.         -1.        ],[-0.18919113  0.16540911],True,[-0.1421367  -0.23584676],False
45,[ 0.03347147 -0.3         0.         -1.        ],[-0.18871587  0.1615086 ],True,[-0.1421367  -0.23584676],False
46,[ 0.03347147 -0.3         0.         -1.        ],[-0.188241    0.15760642],True,[-0.1421367  -0.23584676],False
47,[ 0.03347147 -0.3         0.         -1.        ],[-0.1877667   0.15370231],True,[-0.1421367  -0.23584676],False
48,[ 0.03347147 -0.3         0.         -1.        ],[-0.18729299  0.14979618],True,[-0.1421367  -0.23584676],False
49,[ 0.03347147 -0.3         0.         -1.        ],[-0.18681976  0.14588799],True,[-0.1421367  -0.23584676],False
50,[ 0.03347147 -0.3         0.         -1.        ],[-0.18634685  0.14197777],True,[-0.1421367  -0.23584676],False
51,[ 0.03347147 -0.3         0.         -1.        ],[-0.18587407  0.13806559],True,[-0.1421367  -0.23584676],False
52,[ 0.03347147 -0.3         0.         -1.        ],[-0.18540124  0.13415155],True,[-0.1421367  -0.23584676],False
53,[ 0.03347147 -0.3         0.         -1.        ],[-0.18492821  0.13023575],True,[-0.1421367  -0.23584676],False
54,[ 0.03347147 -0.3         0.         -1.        ],[-0.18445484  0.12631829],True,[-0.1421367  -0.23584676],False
55,[ 0.03347147 -0.3         0.         -1.        ],[-0.18398105  0.12239928],True,[-0.1421367  -0.23584676],False
56,[ 0.03347147 -0.3         0.         -1.        ],[-0.18350679  0.11847882],True,[-0.1421367  -0.23584676],False
57,[ 0.03347147 -0.3         0.         -1.        ],[-0.18303201  0.11455701],True,[-0.1421367  -0.23584676],False
58,[ 0.03347147 -0.3         0.         -1.        ],[-0.18255673  0.11063392],True,[-0.1421367  -0.23584676],False
59,[ 0.03347147 -0.3         0.         -1.        ],[-0.18208095  0.10670964],True,[-0.1421367  -0.23584676],False
60,[ 0.03347147 -0.3         0.         -1.        ],[-0.18160467  0.1027842 ],True,[-0.1421367  -0.23584676],False
61,[ 0.03347147 -0.3         0.         -1.        ],[-0.1811279   0.09885767],True,[-0.1421367  -0.23584676],False
62,[ 0.03347147 -0.3         0.         -1.        ],[-0.18065066  0.09493006],True,[-0.1421367  -0.23584676],False
63,[ 0.03347147 -0.3         0.         -1.        ],[-0.18017293  0.09100138],True,[-0.1421367  -0.23584676],False
64,[ 0.03347147 -0.3         0.         -1.        ],[-0.1796947   0.08707164],True,[-0.1421367  -0.23584676],False
65,[ 0.03347147 -0.3         0.         -1.        ],[-0.17921595  0.08314081],True,[-0.1421367  -0.23584676],False
66,[ 0.03347147 -0.3         0.         -1.        ],[-0.17873664  0.07920887],True,[-0.1421367  -0.23584676],False
67,[ 0.03347147 -0.3         0.         -1.        ],[-0.17825673  0.07527578],True,[-0.1421367  -0.23584676],False
68,[ 0.03347147 -0.3         0.         -1.        ],[-0.17777666  0.07134185],True,[-0.1421367  -0.23584676],False
