step,action,eef_pos,target_pos,obstacle_pos,target_half_size,obstacle_half_size,good
0,"[ 0.          0.          0.00100329  0.          0.          0.
 -1.        ]",[-0.08429191  0.27958048  1.01077284],"[ 0.13693485 -0.04513561  0.852       0.          0.          0.
  1.        ]","[-0.0884537  -0.20856449  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
1,"[ 0.0000000e+00  0.0000000e+00  8.1310627e-04  0.0000000e+00
  0.0000000e+00  0.0000000e+00 -1.0000000e+00]",[-0.08425384  0.27958802  1.01082147],"[ 0.13693485 -0.04513561  0.852       0.          0.          0.
  1.        ]","[-0.0884537  -0.20856449  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
2,"[ 0.00000000e+00  0.00000000e+00  6.67218262e-04  0.00000000e+00
  0.00000000e+00  0.00000000e+00 -1.00000000e+00]",[-0.08422225  0.27959675  1.01086119],"[ 0.13693485 -0.04513561  0.852       0.          0.          0.
  1.        ]","[-0.0884537  -0.20856449  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
3,"[ 2.44642857e-01 -1.07142857e-02  5.48031151e-04  0.00000000e+00
  0.00000000e+00  0.00000000e+00 -1.00000000e+00]",[-0.08289856  0.27948411  1.01073135],"[ 0.13693485 -0.04513561  0.852       0.          0.          0.
  1.        ]","[-0.0884537  -0.20856449  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
4,"[ 3.73214286e-01  0.00000000e+00  9.37575465e-04  0.00000000e+00
  0.00000000e+00  0.00000000e+00 -1.00000000e+00]",[-0.07996499  0.27921076  1.01013514],"[ 0.13693485 -0.04513561  0.852       0.          0.          0.
  1.        ]","[-0.0884537  -0.20856449  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
5,"[ 0.38571429  0.          0.0027262   0.          0.          0.
 -1.        ]",[-0.07630144  0.27885923  1.00923802],"[ 0.13693485 -0.04513561  0.852       0.          0.          0.
  1.        ]","[-0.0884537  -0.20856449  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
6,"[ 0.38392857 -0.025       0.00541756  0.          0.          0.
 -1.        ]",[-0.0724109   0.2783977   1.00832803],"[ 0.13693485 -0.04513561  0.852       0.          0.          0.
  1.        ]","[-0.0884537  -0.20856449  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
7,"[ 0.375      -0.04464286  0.00814751  0.          0.          0.
 -1.        ]",[-0.06843914  0.27779119  1.00754292],"[ 0.13693485 -0.04513561  0.852       0.          0.          0.
  1.        ]","[-0.0884537  -0.20856449  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
8,"[ 0.36071429 -0.07142857  0.01050286  0.          0.          0.
 -1.        ]",[-0.06444848  0.27700625  1.00693985],"[ 0.13693485 -0.04513561  0.852       0.          0.          0.
  1.        ]","[-0.0884537  -0.20856449  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
9,"[ 0.32678571 -0.11071429  0.01231207  0.          0.          0.
 -1.        ]",[-0.06056526  0.27594299  1.00655589],"[ 0.13693485 -0.04513561  0.852       0.          0.          0.
  1.        ]","[-0.0884537  -0.20856449  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
10,"[ 0.325      -0.12678571  0.01346394  0.          0.          0.
 -1.        ]",[-0.05670068  0.27465149  1.00638948],"[ 0.13693485 -0.04513561  0.852       0.          0.          0.
  1.        ]","[-0.0884537  -0.20856449  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
11,"[ 0.32857143 -0.13035714  0.01396316  0.          0.          0.
 -1.        ]",[-0.05273376  0.27322478  1.00635134],"[ 0.13693485 -0.04513561  0.852       0.          0.          0.
  1.        ]","[-0.0884537  -0.20856449  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
12,"[ 0.325      -0.13035714  0.01407759  0.          0.          0.
 -1.        ]",[-0.04869055  0.27171097  1.00638122],"[ 0.13693485 -0.04513561  0.852       0.          0.          0.
  1.        ]","[-0.0884537  -0.20856449  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
13,"[ 0.32321429 -0.125       0.01398797  0.          0.          0.
 -1.        ]",[-0.04460499  0.2701585   1.00645423],"[ 0.13693485 -0.04513561  0.852       0.          0.          0.
  1.        ]","[-0.0884537  -0.20856449  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
14,"[ 0.32678571 -0.11964286  0.01376892  0.          0.          0.
 -1.        ]",[-0.04046631  0.26859628  1.00654376],"[ 0.13693485 -0.04513561  0.852       0.          0.          0.
  1.        ]","[-0.0884537  -0.20856449  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
15,"[ 0.33035714 -0.13035714  0.01350034  0.          0.          0.
 -1.        ]",[-0.03627317  0.26695401  1.00662987],"[ 0.13693485 -0.04513561  0.852       0.          0.          0.
  1.        ]","[-0.0884537  -0.20856449  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
16,"[ 0.33571429 -0.14107143  0.01324201  0.          0.          0.
 -1.        ]",[-0.03202614  0.26518674  1.00670888],"[ 0.13693485 -0.04513561  0.852       0.          0.          0.
  1.        ]","[-0.0884537  -0.20856449  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
17,"[ 0.33035714 -0.1375      0.01300496  0.          0.          0.
 -1.        ]",[-0.02778246  0.26336928  1.00678003],"[ 0.13693485 -0.04513561  0.852       0.          0.          0.
  1.        ]","[-0.0884537  -0.20856449  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
18,"[ 0.32142857 -0.14821429  0.01279153  0.          0.          0.
 -1.        ]",[-0.02360343  0.26148666  1.00685758],"[ 0.13693485 -0.04513561  0.852       0.          0.          0.
  1.        ]","[-0.0884537  -0.20856449  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
19,"[ 0.30892857 -0.15535714  0.01255889  0.          0.          0.
 -1.        ]",[-0.01952809  0.25952201  1.00696002],"[ 0.13693485 -0.04513561  0.852       0.          0.          0.
  1.        ]","[-0.0884537  -0.20856449  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
20,"[ 0.29642857 -0.16607143  0.01225157  0.          0.          0.
 -1.        ]",[-0.01557491  0.25746752  1.00709512],"[ 0.13693485 -0.04513561  0.852       0.          0.          0.
  1.        ]","[-0.0884537  -0.20856449  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
21,"[ 0.2875     -0.17321429  0.01184624  0.          0.          0.
 -1.        ]",[-0.01173138  0.25532721  1.00725864],"[ 0.13693485 -0.04513561  0.852       0.          0.          0.
  1.        ]","[-0.0884537  -0.20856449  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
22,"[ 0.27321429 -0.16428571  0.0113557   0.          0.          0.
 -1.        ]",[-0.00801913  0.25319188  1.00743701],"[ 0.13693485 -0.04513561  0.852       0.          0.          0.
  1.        ]","[-0.0884537  -0.20856449  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
23,"[ 0.24642857 -0.16071429  0.0108206   0.          0.          0.
 -1.        ]",[-0.00452707  0.25109787  1.00763489],"[ 0.13693485 -0.04513561  0.852       0.          0.          0.
  1.        ]","[-0.0884537  -0.20856449  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
24,"[ 0.18035714 -0.17857143  0.01022694  0.          0.          0.
 -1.        ]",[-0.00150728  0.2489473   1.00791616],"[ 0.13693485 -0.04513561  0.852       0.          0.          0.
  1.        ]","[-0.0884537  -0.20856449  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
25,"[ 0.18392857 -0.17678571  0.00938312  0.          0.          0.
 -1.        ]",[0.0012545  0.24677573 1.00830498],"[ 0.13693485 -0.04513561  0.852       0.          0.          0.
  1.        ]","[-0.0884537  -0.20856449  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
26,"[ 0.2        -0.18214286  0.00821669  0.          0.          0.
 -1.        ]",[0.00401289 0.24458895 1.00865689],"[ 0.13693485 -0.04513561  0.852       0.          0.          0.
  1.        ]","[-0.0884537  -0.20856449  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
27,"[ 0.20892857 -0.18928571  0.00716095  0.          0.          0.
 -1.        ]",[0.00678702 0.24235011 1.0089122 ],"[ 0.13693485 -0.04513561  0.852       0.          0.          0.
  1.        ]","[-0.0884537  -0.20856449  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
28,"[ 0.21428571 -0.20178571  0.006395    0.          0.          0.
 -1.        ]",[0.00956536 0.23998806 1.00908099],"[ 0.13693485 -0.04513561  0.852       0.          0.          0.
  1.        ]","[-0.0884537  -0.20856449  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
29,"[ 0.21785714 -0.20178571  0.00588864  0.          0.          0.
 -1.        ]",[0.01233898 0.23753067 1.00917608],"[ 0.13693485 -0.04513561  0.852       0.          0.          0.
  1.        ]","[-0.0884537  -0.20856449  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
30,"[ 0.23035714 -0.20714286  0.00560338  0.          0.          0.
 -1.        ]",[0.01515239 0.23500474 1.0092038 ],"[ 0.13693485 -0.04513561  0.852       0.          0.          0.
  1.        ]","[-0.0884537  -0.20856449  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
31,"[ 0.25535714 -0.23214286  0.00552022  0.          0.          0.
 -1.        ]",[0.01810691 0.23227943 1.00915132],"[ 0.13693485 -0.04513561  0.852       0.          0.          0.
  1.        ]","[-0.0884537  -0.20856449  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
32,"[ 0.26071429 -0.24821429  0.00567766  0.          0.          0.
 -1.        ]",[0.02116411 0.22930203 1.00902154],"[ 0.13693485 -0.04513561  0.852       0.          0.          0.
  1.        ]","[-0.0884537  -0.20856449  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
