step,action,eef_pos,target_pos,obstacle_pos,target_half_size,obstacle_half_size,good
0,"[ 0.00000000e+00  0.00000000e+00 -2.66453526e-15  0.00000000e+00
  0.00000000e+00  0.00000000e+00 -1.00000000e+00]",[-1.77768294e-01 -6.07153217e-19  1.01104387e+00],"[-0.07215588  0.13467947  0.852       0.          0.          0.
  1.        ]","[-0.05074928  0.1451219   0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
1,"[ 0.00000000e+00  0.00000000e+00 -2.66453526e-15  0.00000000e+00
  0.00000000e+00  0.00000000e+00 -1.00000000e+00]",[-1.77768294e-01 -6.07153217e-19  1.01104387e+00],"[-0.07215588  0.13467947  0.852       0.          0.          0.
  1.        ]","[-0.05074928  0.1451219   0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
2,"[ 1.80357143e-01 -1.01785714e-01 -2.66453526e-15  0.00000000e+00
  0.00000000e+00  0.00000000e+00 -1.00000000e+00]",[-1.76793084e-01 -5.12802680e-04  1.01095726e+00],"[-0.07215588  0.13467947  0.852       0.          0.          0.
  1.        ]","[-0.05074928  0.1451219   0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
3,"[ 2.91071429e-01 -1.51785714e-01  2.59830031e-04  0.00000000e+00
  0.00000000e+00  0.00000000e+00 -1.00000000e+00]",[-0.17445563 -0.00162798  1.01063943],"[-0.07215588  0.13467947  0.852       0.          0.          0.
  1.        ]","[-0.05074928  0.1451219   0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
4,"[ 0.325      -0.17142857  0.00121333  0.          0.          0.
 -1.        ]",[-0.17129854 -0.0030879   1.01016681],"[-0.07215588  0.13467947  0.852       0.          0.          0.
  1.        ]","[-0.05074928  0.1451219   0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
5,"[ 0.33571429 -0.15892857  0.00263119  0.          0.          0.
 -1.        ]",[-0.16775955 -0.00464588  1.00966722],"[-0.07215588  0.13467947  0.852       0.          0.          0.
  1.        ]","[-0.05074928  0.1451219   0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
6,"[ 0.34107143 -0.15178571  0.00412994  0.          0.          0.
 -1.        ]",[-0.1640143  -0.006228    1.00921033],"[-0.07215588  0.13467947  0.852       0.          0.          0.
  1.        ]","[-0.05074928  0.1451219   0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
7,"[ 0.36428571 -0.11071429  0.00550064  0.          0.          0.
 -1.        ]",[-0.16000536 -0.00766579  1.00881576],"[-0.07215588  0.13467947  0.852       0.          0.          0.
  1.        ]","[-0.05074928  0.1451219   0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
8,"[ 0.37142857 -0.10714286  0.00668434  0.          0.          0.
 -1.        ]",[-0.15575661 -0.0090237   1.00847539],"[-0.07215588  0.13467947  0.852       0.          0.          0.
  1.        ]","[-0.05074928  0.1451219   0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
9,"[ 0.4125     -0.05535714  0.00770545  0.          0.          0.
 -1.        ]",[-0.15114347 -0.01014099  1.00817914],"[-0.07215588  0.13467947  0.852       0.          0.          0.
  1.        ]","[-0.05074928  0.1451219   0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
10,"[ 0.41428571 -0.04285714  0.0085942   0.          0.          0.
 -1.        ]",[-0.14625732 -0.01103697  1.00790635],"[-0.07215588  0.13467947  0.852       0.          0.          0.
  1.        ]","[-0.05074928  0.1451219   0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
11,"[ 0.4375      0.          0.00941256  0.          0.          0.
 -1.        ]",[-0.14112627 -0.01164808  1.00767516],"[-0.07215588  0.13467947  0.852       0.          0.          0.
  1.        ]","[-0.05074928  0.1451219   0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
12,"[ 0.44107143  0.          0.01010614  0.          0.          0.
 -1.        ]",[-0.1357973  -0.01205576  1.00747784],"[-0.07215588  0.13467947  0.852       0.          0.          0.
  1.        ]","[-0.05074928  0.1451219   0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
13,"[ 0.43392857  0.          0.01069808  0.          0.          0.
 -1.        ]",[-0.13040369 -0.01236131  1.00733288],"[-0.07215588  0.13467947  0.852       0.          0.          0.
  1.        ]","[-0.05074928  0.1451219   0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
14,"[ 0.42678571  0.          0.01113299  0.          0.          0.
 -1.        ]",[-0.12500674 -0.01258173  1.00725275],"[-0.07215588  0.13467947  0.852       0.          0.          0.
  1.        ]","[-0.05074928  0.1451219   0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
15,"[ 0.43392857  0.          0.01137336  0.          0.          0.
 -1.        ]",[-0.11955103 -0.01275529  1.00722326],"[-0.07215588  0.13467947  0.852       0.          0.          0.
  1.        ]","[-0.05074928  0.1451219   0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
16,"[ 0.4375      0.          0.01146184  0.          0.          0.
 -1.        ]",[-0.11401483 -0.01290437  1.0072171 ],"[-0.07215588  0.13467947  0.852       0.          0.          0.
  1.        ]","[-0.05074928  0.1451219   0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
17,"[ 0.44285714 -0.01785714  0.01148031  0.          0.          0.
 -1.        ]",[-0.10840468 -0.01312169  1.00722252],"[-0.07215588  0.13467947  0.852       0.          0.          0.
  1.        ]","[-0.05074928  0.1451219   0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
18,"[ 0.45       -0.04464286  0.01146406  0.          0.          0.
 -1.        ]",[-0.10271177 -0.01351848  1.00722977],"[-0.07215588  0.13467947  0.852       0.          0.          0.
  1.        ]","[-0.05074928  0.1451219   0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
19,"[ 0.44821429 -0.05178571  0.0114423   0.          0.          0.
 -1.        ]",[-0.09698119 -0.01403543  1.00723689],"[-0.07215588  0.13467947  0.852       0.          0.          0.
  1.        ]","[-0.05074928  0.1451219   0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
20,"[ 0.44642857 -0.04285714  0.01142095  0.          0.          0.
 -1.        ]",[-0.09124962 -0.01452666  1.00725257],"[-0.07215588  0.13467947  0.852       0.          0.          0.
  1.        ]","[-0.05074928  0.1451219   0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
21,"[ 0.44285714 -0.02857143  0.01137391  0.          0.          0.
 -1.        ]",[-0.08553512 -0.01490336  1.00727919],"[-0.07215588  0.13467947  0.852       0.          0.          0.
  1.        ]","[-0.05074928  0.1451219   0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
22,"[ 0.44821429 -0.025       0.01129406  0.          0.          0.
 -1.        ]",[-0.07980231 -0.01519714  1.00731058],"[-0.07215588  0.13467947  0.852       0.          0.          0.
  1.        ]","[-0.05074928  0.1451219   0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
23,"[ 0.45714286 -0.01785714  0.01119986  0.          0.          0.
 -1.        ]",[-0.07400401 -0.01542907  1.00732887],"[-0.07215588  0.13467947  0.852       0.          0.          0.
  1.        ]","[-0.05074928  0.1451219   0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
24,"[ 0.4625     -0.01071429  0.011145    0.          0.          0.
 -1.        ]",[-0.06814372 -0.01559736  1.00732547],"[-0.07215588  0.13467947  0.852       0.          0.          0.
  1.        ]","[-0.05074928  0.1451219   0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
25,"[ 0.46428571 -0.0375      0.0111552   0.          0.          0.
 -1.        ]",[-0.06225046 -0.01587912  1.00730622],"[-0.07215588  0.13467947  0.852       0.          0.          0.
  1.        ]","[-0.05074928  0.1451219   0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
26,"[ 0.47142857 -0.09821429  0.01121296  0.          0.          0.
 -1.        ]",[-0.05630839 -0.01656808  1.00727551],"[-0.07215588  0.13467947  0.852       0.          0.          0.
  1.        ]","[-0.05074928  0.1451219   0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
27,"[ 0.46964286 -0.13571429  0.01130507  0.          0.          0.
 -1.        ]",[-0.05034526 -0.01768838  1.00723525],"[-0.07215588  0.13467947  0.852       0.          0.          0.
  1.        ]","[-0.05074928  0.1451219   0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
