step,action,eef_pos,good,target_pos
65,[ 0.04465535 -0.3         0.         -1.        ],[-0.07126933  0.25677918],True,[-0.02260527 -0.06403894]
66,[ 0.04465535 -0.3         0.         -1.        ],[-0.07130365  0.25489237],True,[-0.02260527 -0.06403894]
67,[ 0.04465535 -0.3         0.         -1.        ],[-0.07108816  0.25238307],True,[-0.02260527 -0.06403894]
68,[ 0.04465535 -0.3         0.         -1.        ],[-0.0707318   0.24948901],True,[-0.02260527 -0.06403894]
69,[ 0.04465535 -0.3         0.         -1.        ],[-0.0702691   0.24629932],True,[-0.02260527 -0.06403894]
70,[ 0.04465535 -0.3         0.         -1.        ],[-0.06973182  0.2428736 ],True,[-0.02260527 -0.06403894]
71,[ 0.04465535 -0.3         0.         -1.        ],[-0.06914665  0.23926701],True,[-0.02260527 -0.06403894]
72,[ 0.04465535 -0.3         0.         -1.        ],[-0.06853414  0.23552889],True,[-0.02260527 -0.06403894]
73,[ 0.04465535 -0.3         0.         -1.        ],[-0.06790901  0.23170062],True,[-0.02260527 -0.06403894]
74,[ 0.04465535 -0.3         0.         -1.        ],[-0.06728097  0.22781502],True,[-0.02260527 -0.06403894]
75,[ 0.04465535 -0.3         0.         -1.        ],[-0.06665575  0.22389675],True,[-0.02260527 -0.06403894]
76,[ 0.04465535 -0.3         0.         -1.        ],[-0.06603617  0.21996333],True,[-0.02260527 -0.06403894]
77,[ 0.04465535 -0.3         0.         -1.        ],[-0.06542307  0.21602644],True,[-0.02260527 -0.06403894]
78,[ 0.04465535 -0.3         0.         -1.        ],[-0.06481602  0.21209316],True,[-0.02260527 -0.06403894]
79,[ 0.04465535 -0.3         0.         -1.        ],[-0.06421392  0.20816722],True,[-0.02260527 -0.06403894]
80,[ 0.04465535 -0.3         0.         -1.        ],[-0.0636154   0.20425001],True,[-0.02260527 -0.06403894]
81,[ 0.04465535 -0.3         0.         -1.        ],[-0.06301907  0.2003414 ],True,[-0.02260527 -0.06403894]
82,[ 0.04465535 -0.3         0.         -1.        ],[-0.0624237   0.19644041],True,[-0.02260527 -0.06403894]
83,[ 0.04465535 -0.3         0.         -1.        ],[-0.06182828  0.19254563],True,[-0.02260527 -0.06403894]
84,[ 0.04465535 -0.3         0.         -1.        ],[-0.06123204  0.18865557],True,[-0.02260527 -0.06403894]
85,[ 0.04465535 -0.3         0.         -1.        ],[-0.06063446  0.18476882],True,[-0.02260527 -0.06403894]
86,[ 0.04465535 -0.3         0.         -1.        ],[-0.06003521  0.18088417],True,[-0.02260527 -0.06403894]
87,[ 0.04465535 -0.3         0.         -1.        ],[-0.05943413  0.17700061],True,[-0.02260527 -0.06403894]
88,[ 0.04465535 -0.3         0.         -1.        ],[-0.05883118  0.1731174 ],True,[-0.02260527 -0.06403894]
89,[ 0.04465535 -0.3         0.         -1.        ],[-0.05822641  0.169234  ],True,[-0.02260527 -0.06403894]
90,[ 0.04465535 -0.3         0.         -1.        ],[-0.05761992  0.16535003],True,[-0.02260527 -0.06403894]
91,[ 0.04465535 -0.3         0.         -1.        ],[-0.0570118   0.16146526],True,[-0.02260527 -0.06403894]
92,[ 0.04465535 -0.3         0.         -1.        ],[-0.05640221  0.15757954],True,[-0.02260527 -0.06403894]
93,[ 0.04465535 -0.3         0.         -1.        ],[-0.05579125  0.15369283],True,[-0.02260527 -0.06403894]
94,[ 0.04465535 -0.3         0.         -1.        ],[-0.05517903  0.14980511],True,[-0.02260527 -0.06403894]
95,[ 0.04465535 -0.3         0.         -1.        ],[-0.05456565  0.14591638],True,[-0.02260527 -0.06403894]
96,[ 0.04465535 -0.3         0.         -1.        ],[-0.05395117  0.14202667],True,[-0.02260527 -0.06403894]
97,[ 0.04465535 -0.3         0.         -1.        ],[-0.05333566  0.13813601],True,[-0.02260527 -0.06403894]
98,[ 0.04559971 -0.3         0.         -1.        ],[-0.05271406  0.13424413],True,[-0.02260527 -0.06403894]
99,[ 0.04559971 -0.3         0.         -1.        ],[-0.05208773  0.13035076],True,[-0.02260527 -0.06403894]
100,[ 0.04559971 -0.3         0.         -1.        ],[-0.05145968  0.12645646],True,[-0.02260527 -0.06403894]
101,[ 0.04559971 -0.3         0.         -1.        ],[-0.05083023  0.12256144],True,[-0.02260527 -0.06403894]
102,[ 0.04559971 -0.3         0.         -1.        ],[-0.05019942  0.11866577],True,[-0.02260527 -0.06403894]
103,[ 0.04559971 -0.3         0.         -1.        ],[-0.04956727  0.11476941],True,[-0.02260527 -0.06403894]
104,[ 0.04559971 -0.3         0.         -1.        ],[-0.04893383  0.11087238],True,[-0.02260527 -0.06403894]
105,[ 0.04559971 -0.3         0.         -1.        ],[-0.04829916  0.10697463],True,[-0.02260527 -0.06403894]
106,[ 0.04559971 -0.3         0.         -1.        ],[-0.0476633   0.10307617],True,[-0.02260527 -0.06403894]
107,[ 0.04559971 -0.3         0.         -1.        ],[-0.04702633  0.09917698],True,[-0.02260527 -0.06403894]
108,[ 0.04559971 -0.3         0.         -1.        ],[-0.0463883   0.09527706],True,[-0.02260527 -0.06403894]
109,[ 0.04559971 -0.3         0.         -1.        ],[-0.04574926  0.0913764 ],True,[-0.02260527 -0.06403894]
110,[ 0.04559971 -0.3         0.         -1.        ],[-0.04510924  0.08747499],True,[-0.02260527 -0.06403894]
111,[ 0.04559971 -0.3         0.         -1.        ],[-0.0444683   0.08357285],True,[-0.02260527 -0.06403894]
112,[ 0.04559971 -0.3         0.         -1.        ],[-0.04382646  0.07966998],True,[-0.02260527 -0.06403894]
113,[ 0.04559971 -0.3         0.         -1.        ],[-0.04318373  0.07576637],True,[-0.02260527 -0.06403894]
114,[ 0.04559971 -0.3         0.         -1.        ],[-0.04253972  0.07186216],True,[-0.02260527 -0.06403894]
115,[ 0.04559971 -0.3         0.         -1.        ],[-0.04191102  0.06795487],True,[-0.02260527 -0.06403894]
116,[ 0.04559971 -0.3         0.         -1.        ],[-0.04131384  0.06404242],True,[-0.02260527 -0.06403894]
117,[ 0.04559971 -0.3         0.         -1.        ],[-0.04073544  0.06012697],True,[-0.02260527 -0.06403894]
118,[ 0.04559971 -0.3         0.         -1.        ],[-0.04017087  0.05620933],True,[-0.02260527 -0.06403894]
119,[ 0.04559971 -0.3         0.         -1.        ],[-0.03962156  0.05228983],True,[-0.02260527 -0.06403894]
120,[ 0.04559971 -0.3         0.         -1.        ],[-0.03908489  0.04836914],True,[-0.02260527 -0.06403894]
121,[ 0.04559971 -0.3         0.         -1.        ],[-0.03855759  0.04444758],True,[-0.02260527 -0.06403894]
122,[ 0.04559971 -0.3         0.         -1.        ],[-0.0380371   0.04052556],True,[-0.02260527 -0.06403894]
123,[ 0.04559971 -0.3         0.         -1.        ],[-0.03752045  0.03660359],True,[-0.02260527 -0.06403894]
124,[ 0.04559971 -0.3         0.         -1.        ],[-0.03700757  0.03268181],True,[-0.02260527 -0.06403894]
